viral,interactions_count,perm_3_days,perm_4_days,network_score,pvalue,adjusted_pvalue,pvalue_random_source_same_degree,adjusted_pvalue_random_source_same_degree
e,6,130.6,133.3,0.005882063906131832,0.099009900990099,0.1782178217821782,0.504950495049505,0.7574257425742574
m,30,136.2,135.7,0.030008470704917942,0.0297029702970297,0.11881188118811882,0.5841584158415841,0.7886138613861386
n,15,148.6,136.8,0.025154657481496857,0.0099009900990099,0.11881188118811882,0.7821782178217822,0.8768316831683168
spike,2,151.1,142.7,0.0012650373335456205,0.3960396039603961,0.3960396039603961,0.07920792079207921,0.5832583258325833
nsp1,6,133.1,127.3,0.005302265858402953,0.13861386138613865,0.21104742053152686,0.37623762376237624,0.6349009900990099
nsp10,5,134.7,124.1,0.007063347265963991,0.0396039603960396,0.11881188118811882,0.1782178217821782,0.5832583258325833
nsp11,1,134.2,135.3,0.0009312379903134643,0.19801980198019806,0.2545968882602546,0.16831683168316833,0.5832583258325833
nsp12,20,126.6,117.2,0.016098221008257276,0.0891089108910891,0.1782178217821782,0.8910891089108911,0.9253617669459254
nsp13,40,118.2,114.2,0.04901401346357983,0.0594059405940594,0.14581458145814585,0.1485148514851485,0.5832583258325833
nsp14,3,135.4,116.6,0.002434008745143793,0.2277227722772277,0.2561881188118812,0.693069306930693,0.8505850585058505
nsp15,3,130.2,121.5,0.003746442035946947,0.0396039603960396,0.11881188118811882,0.3465346534653465,0.6349009900990099
nsp2,7,109.0,116.3,0.007118051959224814,0.099009900990099,0.1782178217821782,0.22772277227722773,0.5832583258325833
nsp4,8,140.2,136.9,0.006021930073747593,0.27722772277227725,0.29940594059405945,0.2376237623762376,0.5832583258325833
nsp5,1,127.6,121.9,0.00280637606443257,0.0297029702970297,0.11881188118811882,1.0,1.0
nsp5_c145a,2,122.7,114.5,0.0015215941057391026,0.21782178217821785,0.2561881188118812,0.27722772277227725,0.6169078446306169
nsp6,4,139.4,132.9,0.002828279277804416,0.3762376237623761,0.3907083015993907,0.2079207920792079,0.5832583258325833
nsp7,32,111.9,104.6,0.03475369036332005,0.0297029702970297,0.11881188118811882,0.16831683168316833,0.5832583258325833
nsp8,24,133.65,129.3,0.024323570105045662,0.0198019801980198,0.11881188118811882,0.8118811881188119,0.8768316831683168
nsp9,16,128.7,124.1,0.013932984539001492,0.0594059405940594,0.14581458145814585,0.3564356435643564,0.6349009900990099
orf10,9,141.6,136.9,0.011886871321662612,0.0297029702970297,0.11881188118811882,0.7524752475247525,0.8768316831683168
orf3a,8,142.0,133.6,0.0062632999670674755,0.2277227722772277,0.2561881188118812,0.297029702970297,0.6169078446306169
orf3b,1,131.0,124.9,0.0011652815115417345,0.1485148514851485,0.21104742053152686,0.6237623762376238,0.8019801980198019
orf6,3,128.4,127.1,0.004769759764490323,0.0396039603960396,0.11881188118811882,0.06930693069306931,0.5832583258325833
orf7a,2,115.0,125.6,0.0016448577742615563,0.19801980198019806,0.2545968882602546,0.5841584158415841,0.7886138613861386
orf8,47,139.7,136.6,0.033960838541690436,0.1485148514851485,0.21104742053152686,0.4752475247524752,0.7548048922539312
orf9b,11,140.6,134.8,0.011480167174045154,0.06930693069306931,0.15594059405940594,0.1188118811881188,0.5832583258325833
orf9c,26,143.9,128.8,0.020832853296233363,0.13861386138613865,0.21104742053152686,0.2376237623762376,0.5832583258325833
