viral,interactions_count,perm_3_days,perm_4_days,pvalue_multi_net,adjusted_pvalue_multi_net
e,6,130.6,133.3,0.40594059405940597,0.4765389582436505
m,30,136.2,135.7,0.504950495049505,0.5680693069306931
n,15,148.6,136.8,0.7326732673267327,0.7912871287128712
spike,2,151.1,142.7,0.0891089108910891,0.400990099009901
nsp1,6,133.1,127.3,0.21782178217821782,0.4765389582436505
nsp10,5,134.7,124.1,0.06930693069306931,0.3742574257425743
nsp11,1,134.2,135.3,0.06930693069306931,0.3742574257425743
nsp12,20,126.6,117.2,0.8712871287128713,0.9047981721249049
nsp13,40,118.2,114.2,0.039603960396039604,0.3564356435643565
nsp14,3,135.4,116.6,0.2079207920792079,0.4765389582436505
nsp15,3,130.2,121.5,0.37623762376237624,0.4765389582436505
nsp2,7,109.0,116.3,0.3465346534653465,0.4765389582436505
nsp4,8,140.2,136.9,0.25742574257425743,0.4765389582436505
nsp5,1,127.6,121.9,0.32673267326732675,0.4765389582436505
nsp5_c145a,2,122.7,114.5,0.22772277227722773,0.4765389582436505
nsp6,4,139.4,132.9,0.24752475247524752,0.4765389582436505
nsp7,32,111.9,104.6,0.1485148514851485,0.4765389582436505
nsp8,24,133.65,129.3,0.9207920792079208,0.9207920792079208
nsp9,16,128.7,124.1,0.3564356435643564,0.4765389582436505
orf10,9,141.6,136.9,0.3069306930693069,0.4765389582436505
orf3a,8,142.0,133.6,0.27722772277227725,0.4765389582436505
orf3b,1,131.0,124.9,0.26732673267326734,0.4765389582436505
orf6,3,128.4,127.1,0.039603960396039604,0.3564356435643565
orf7a,2,115.0,125.6,0.40594059405940597,0.4765389582436505
orf8,47,139.7,136.6,0.297029702970297,0.4765389582436505
orf9b,11,140.6,134.8,0.0297029702970297,0.3564356435643565
orf9c,26,143.9,128.8,0.12871287128712872,0.4765389582436505
