viral,Preys,enterocytes,proximal,cardiomyocytes,bronchial,lung,lymphocytes,neuronal
e,6,0.003032001404783412,0.0019282194904024351,0.0028120543759718136,0.0023476123080715915,0.0023409114995856036,0.0023131519511438116,0.0024672166220378712
m,30,0.005959834127308106,0.004782185326831922,0.005287221066416114,0.005075653468666925,0.005463072921318716,0.0057976990893712135,0.004713673555997373
n,15,0.014448175288466415,0.00981035559266841,0.012715626044881486,0.011943366881023095,0.011896879367718008,0.01223287791935137,0.012065292621010531
spike,2,0.00642796463513025,0.03569034540473192,0.005246486872415016,0.0055899551204672835,0.008563511705599587,0.005945275104146032,0.004632860678892957
nsp1,6,0.010348581249283265,0.008568831085556491,0.011991166909666253,0.009600769403168596,0.00980912742886577,0.012293629638856746,0.010868794806561555
nsp10,5,0.025429517120143828,0.015448261668477403,0.019020125478114824,0.016185420557694567,0.016368370542673757,0.020224812832917403,0.017254676294850942
nsp11,1,0.01772663133245594,0.014475111551131535,0.019543793067544966,0.016212384855882417,0.021153934876031857,0.024467986918131582,0.023902158317985128
nsp12,20,0.017780872290859586,0.01517247841703875,0.016677400274117307,0.022866669066077275,0.04260064122706691,0.017452924703216556,0.028126914898597206
nsp13,40,0.023676790293808078,0.020370138803991276,0.031023386867948494,0.02706328314283845,0.02167004097513437,0.0236016130697337,0.039639282513222296
nsp14,3,0.019546759303540443,0.06496661852577079,0.02049414457021321,0.02085190964500469,0.028600111131484588,0.022211009358773286,0.021666286023967956
nsp15,3,0.03669016197598397,0.03071963770735282,0.036112505797950674,0.062293478572754954,0.041394877234122704,0.03632093617527324,0.04023830685298569
nsp2,7,0.028576852758623036,0.026443732814815366,0.030940588497730178,0.033068908668006956,0.027342626360777177,0.02923360460645579,0.030352194673827666
nsp4,8,0.032762401498069034,0.02267688270803054,0.0227821446983622,0.021937692602812336,0.028095723210862022,0.04757570160305193,0.024591937465013394
nsp5,1,0.09654026341609274,0.07569612121618718,0.09830460097726715,0.09375161407372846,0.09705775946154116,0.09158616201555922,0.10181080694525584
nsp5_c145a,2,0.027872938706023778,0.023666181554646986,0.028155817553026905,0.0259477063740546,0.030089376059977285,0.027230764817903014,0.029156612310897674
nsp6,4,0.029330213394891336,0.03231631820542766,0.03065157782601519,0.02656185583436828,0.03251386908966225,0.027341030548768193,0.0259686791538948
nsp7,32,0.04915104263142376,0.061670024504861094,0.049041303118318356,0.0438088240867316,0.04601756188012257,0.04641600415245475,0.045144900049515505
nsp8,24,0.05353157347859833,0.035721617521367655,0.04878549682678009,0.04242686994581852,0.04314661762266475,0.04356140326267536,0.04521995537681239
nsp9,16,0.04009555581897047,0.03974689926315401,0.04057999592489903,0.040681861945507894,0.03903824837306104,0.041870186131609366,0.04326279024895428
orf10,9,0.06223854596456313,0.057499332868460054,0.07014829400329015,0.06318639969623013,0.0633966866271492,0.06649306792970455,0.0769634812216622
orf3a,8,0.036953753832393015,0.05492849929389862,0.039762461768632566,0.03612206752609705,0.033269832709929024,0.04273541440762853,0.038060889844173496
orf3b,1,0.06747883370545771,0.06893913768094034,0.07969910130205225,0.060459557859510266,0.0726649863281312,0.06871845324831573,0.06376796487241586
orf6,3,0.06471126345492581,0.06060494605315544,0.07438655643998066,0.058608786309642634,0.06830745695940815,0.06378330918883449,0.06553522969346137
orf7a,2,0.05248515138860301,0.04738143192954043,0.0503592202521048,0.04980968135437317,0.05058757475926626,0.05493462398314994,0.051022695274875504
orf8,47,0.04769266396338408,0.0492633528583172,0.04350231442988505,0.07630357251934185,0.04315431968880108,0.052817216069132145,0.049524212968130095
orf9b,11,0.07041651091391711,0.06054688882646595,0.06527225769379702,0.06478463493859674,0.07157966649758805,0.055738726469952815,0.059369247510484946
orf9c,26,0.05909514605230054,0.060966449126777934,0.046704357362618326,0.06250946324352949,0.04387621546145655,0.05710241480388919,0.04467293920451548
