viral,Preys,"IKKβ,",IFNλ,TNF‐α,IL‐1β, IL‐2,IL‐6 ,IL‐8 ,IL‐12,IL‐13,IL‐33,IL‐4,IL‐5,IL‐10,IL‐17,IL‐22
e,6,0.1485148514851485,0.1485148514851485,0.32673267326732675,0.09900990099009901,0.10891089108910891,0.12871287128712872,1.0,0.16831683168316833,0.06930693069306931,0.039603960396039604,0.09900990099009901,0.09900990099009901,1.0,1.0,0.9702970297029703
m,30,0.48514851485148514,0.12871287128712872,0.8910891089108911,0.07920792079207921,0.009900990099009901,0.1188118811881188,1.0,0.0891089108910891,0.019801980198019802,0.5445544554455446,0.0297029702970297,0.10891089108910891,1.0,0.10891089108910891,0.42574257425742573
n,15,0.2376237623762376,0.0891089108910891,0.4158415841584158,0.2079207920792079,0.1188118811881188,0.12871287128712872,1.0,0.8118811881188119,0.1188118811881188,0.10891089108910891,0.07920792079207921,0.12871287128712872,1.0,1.0,1.0
spike,2,0.33663366336633666,0.0297029702970297,0.42574257425742573,0.10891089108910891,0.019801980198019802,0.0891089108910891,0.12871287128712872,0.21782178217821782,0.019801980198019802,0.44554455445544555,0.0297029702970297,0.04950495049504951,0.039603960396039604,0.009900990099009901,0.04950495049504951
nsp1,6,0.06930693069306931,0.06930693069306931,0.693069306930693,0.19801980198019803,0.09900990099009901,0.12871287128712872,1.0,0.06930693069306931,0.12871287128712872,0.13861386138613863,0.10891089108910891,0.1485148514851485,1.0,0.8613861386138614,0.9900990099009901
nsp10,5,0.16831683168316833,0.1188118811881188,0.18811881188118812,0.1188118811881188,0.09900990099009901,0.10891089108910891,0.9900990099009901,0.18811881188118812,0.04950495049504951,0.039603960396039604,0.019801980198019802,0.0297029702970297,1.0,0.43564356435643564,0.19801980198019803
nsp11,1,0.06930693069306931,0.019801980198019802,0.09900990099009901,0.0891089108910891,0.039603960396039604,0.04950495049504951,0.26732673267326734,0.04950495049504951,0.0297029702970297,0.06930693069306931,0.07920792079207921,0.06930693069306931,1.0,0.10891089108910891,0.297029702970297
nsp12,20,0.04950495049504951,0.25742574257425743,0.019801980198019802,0.10891089108910891,0.04950495049504951,0.10891089108910891,1.0,0.44554455445544555,0.019801980198019802,0.2079207920792079,0.0594059405940594,0.13861386138613863,1.0,0.039603960396039604,0.9801980198019802
nsp13,40,0.009900990099009901,0.039603960396039604,0.0594059405940594,0.18811881188118812,0.06930693069306931,0.0594059405940594,1.0,0.3465346534653465,0.04950495049504951,0.44554455445544555,0.07920792079207921,0.1485148514851485,1.0,0.8712871287128713,0.0891089108910891
nsp14,3,0.06930693069306931,0.09900990099009901,0.31683168316831684,0.12871287128712872,0.1188118811881188,0.019801980198019802,0.9207920792079208,0.09900990099009901,0.10891089108910891,0.18811881188118812,0.07920792079207921,0.0594059405940594,1.0,0.6237623762376238,0.9900990099009901
