viral,Preys,"IKKβ,",IFNλ,TNF‐α,IL‐1β, IL‐2,IL‐6 ,IL‐8 ,IL‐12,IL‐13,IL‐33,IL‐4,IL‐5,IL‐10,IL‐17,IL‐22
e,6,0.0007479153331970101,0.00010918216307898258,0.0008287371459887502,0.00021593737447868445,0.00010807384344321846,0.00016608597528554593,0.00014149439565329234,0.0001068309880283052,9.521496553858458e-05,0.00037083386640369043,0.0001204271361035985,7.658922196095795e-05,0.00010614846748695694,0.00012165564897728126,6.68762112403911e-05
m,30,0.0034749214590039145,0.0006009489658935612,0.004156297662839962,0.0011485508748246647,0.0013704449508461644,0.0007957299214882745,0.0007586756045153036,0.0005814146241165481,0.0007218411359933321,0.001017726455506734,0.0013670065643566027,0.00037888610943436065,0.0006592356408592948,0.0008521632021648575,0.00039629816941538163
n,15,0.0033771583635796953,0.0004912642373746659,0.003964836923956281,0.0008937125519557895,0.0004503774423572871,0.0006967158639678408,0.000578058287998716,0.00042568662796419685,0.00037977241417729094,0.0010493750382511743,0.0005094304628147173,0.00032451256849080055,0.00041578865078554736,0.0005203510210537352,0.00026110904158101086
spike,2,0.00011353966620595585,4.198737127211524e-05,0.00014155404508144718,4.3137955116837824e-05,2.849606599854446e-05,3.403336870272225e-05,3.10125033340877e-05,1.7285148314222186e-05,2.3237443032025997e-05,3.226861941617595e-05,2.7770927076613923e-05,1.3214678886573638e-05,4.036609324428142e-05,5.994923617543267e-05,2.3227428488166786e-05
nsp1,6,0.0006265705466526495,0.00010878917370010944,0.0006791017743632331,0.00017824596998438372,8.798527608585926e-05,0.0001417804755427723,0.00012522632428751127,0.00012013544489128164,8.592097404973864e-05,0.00019890893941419712,9.960551794758511e-05,6.144853086489966e-05,8.68472352542544e-05,0.00010988535988442893,5.574867556207864e-05
nsp10,5,0.0007118618778216843,0.00010850595437400838,0.0007989286934046852,0.00020665646545116892,0.00012116954492066564,0.00015889015027693672,0.00013927260397991802,0.0001030841667594001,0.00011061090648033177,0.00023662751893828652,0.00013980262847208195,8.875484550543751e-05,0.00010724133607163282,0.0001306086540440818,7.644861887711634e-05
nsp11,1,0.00012945684999577528,2.2955594673126564e-05,0.00013211945632170358,3.7037704498333536e-05,2.1716087037854836e-05,2.8409382964135398e-05,2.399457576556535e-05,1.967914720206946e-05,1.5891032129051123e-05,3.697682422001125e-05,2.0472117217799387e-05,1.2442370823310501e-05,1.823881178141681e-05,2.5687858597314892e-05,1.1012322280981574e-05
nsp12,20,0.0034097056003526876,0.00031864290774626927,0.004672025613857342,0.0006469378961619521,0.00041976974291108027,0.0004763388000233121,0.0003876114905641576,0.0002912524314939141,0.00040598696223164674,0.0006265114296308525,0.0003855612484935229,0.00021180191755173673,0.0002889310329365725,0.000981912958248043,0.00020285975614189552
nsp13,40,0.007666898615193868,0.001501723441906358,0.007560277886400935,0.0016817509359231546,0.0008159523770321482,0.00151209641338365,0.0010186840842451874,0.0007767298336165297,0.0007392562579545517,0.0014892416441960386,0.0010306602119773641,0.0005205443145728256,0.000799138740273165,0.0010122125681772465,0.0007546398836899988
nsp14,3,0.0003114442838662087,5.022410125448928e-05,0.00034252205505545726,9.30471985800559e-05,4.6268018639947236e-05,0.00020898254076990872,6.250548753113594e-05,4.7768665352652715e-05,3.925428737530972e-05,8.984977436377788e-05,5.2170480692274624e-05,3.2550529820023776e-05,4.41754405829461e-05,5.426829521835901e-05,2.694630212062456e-05
nsp15,3,0.0005072072337633123,7.444563977839261e-05,0.0005282904479618745,0.000147062725628668,7.267034252123943e-05,0.00011733510356718918,9.856194830810722e-05,0.0019831817831514713,6.493497535794987e-05,0.0001371027453679389,8.180053592017516e-05,5.308837655592341e-05,7.53499604547585e-05,8.329221262137949e-05,5.4805340724010436e-05
nsp2,7,0.0008792886452430314,0.0001277287552407805,0.0008589056562323823,0.0002451148485190664,0.00015574648666227207,0.0001862087860836398,0.00016239999523410474,0.00012745713016427046,0.0006383852327407189,0.00024971635028805115,0.00048771822666793637,8.494921518067866e-05,0.00013265545604558972,0.00020744486072225092,8.790102246232543e-05
