viral,Preys,IFI6,IFI27,IFITM1,MX1,RN7SK,ARC,DKK1,MT1G,SAMD9,IFIT3,IFIT2,NKX3-1,HSPA6,IFIT1,IFI44L,RSAD2,ISG15,OAS2,CXCL11,IFI44,CXCL10,SLC34A2,IFNλ,IFN b1,IFNL2,CCR1,CCR8,IL16,IL3,CCR2,CCR5,IL5
e,6,0.12871287128712872,1.0,0.44554455445544555,1.0,0.019801980198019802,0.9900990099009901,0.6237623762376238,1.0,0.10891089108910891,0.13861386138613863,0.1782178217821782,1.0,0.7128712871287128,0.1782178217821782,1.0,0.8217821782178217,0.7227722772277227,0.31683168316831684,1.0,1.0,1.0,1.0,0.1485148514851485,1.0,1.0,0.42574257425742573,1.0,1.0,0.06930693069306931,1.0,0.44554455445544555,0.09900990099009901
m,30,0.39603960396039606,1.0,0.9801980198019802,1.0,0.9702970297029703,1.0,0.10891089108910891,1.0,0.8712871287128713,1.0,1.0,1.0,1.0,1.0,0.504950495049505,0.07920792079207921,0.009900990099009901,1.0,0.5346534653465347,0.0891089108910891,0.3564356435643564,0.009900990099009901,0.12871287128712872,1.0,1.0,0.33663366336633666,0.22772277227722773,1.0,0.12871287128712872,0.6435643564356436,0.06930693069306931,0.10891089108910891
n,15,0.6435643564356436,1.0,1.0,1.0,0.0594059405940594,1.0,1.0,1.0,0.13861386138613863,0.009900990099009901,0.039603960396039604,1.0,0.38613861386138615,0.009900990099009901,1.0,1.0,0.5544554455445545,0.693069306930693,1.0,1.0,1.0,1.0,0.0891089108910891,1.0,1.0,1.0,1.0,1.0,0.06930693069306931,1.0,1.0,0.12871287128712872
spike,2,0.09900990099009901,1.0,1.0,0.36633663366336633,1.0,0.10891089108910891,0.2871287128712871,1.0,0.8910891089108911,1.0,1.0,1.0,1.0,1.0,1.0,0.21782178217821782,0.49504950495049505,1.0,0.900990099009901,1.0,0.8514851485148515,0.19801980198019803,0.0297029702970297,1.0,0.7425742574257426,0.009900990099009901,0.39603960396039606,1.0,0.0891089108910891,0.2871287128712871,0.09900990099009901,0.04950495049504951
nsp1,6,0.2079207920792079,1.0,1.0,1.0,0.09900990099009901,1.0,0.19801980198019803,1.0,0.15841584158415842,1.0,1.0,1.0,0.9504950495049505,1.0,1.0,0.009900990099009901,0.9702970297029703,0.8811881188118812,1.0,0.5247524752475248,1.0,1.0,0.06930693069306931,1.0,1.0,1.0,1.0,1.0,0.16831683168316833,1.0,1.0,0.1485148514851485
nsp10,5,0.13861386138613863,1.0,1.0,1.0,0.1782178217821782,1.0,0.27722772277227725,0.37623762376237624,0.19801980198019803,0.2079207920792079,0.26732673267326734,1.0,0.09900990099009901,0.009900990099009901,0.9108910891089109,0.4158415841584158,0.009900990099009901,0.38613861386138615,1.0,0.9801980198019802,1.0,1.0,0.1188118811881188,0.019801980198019802,1.0,0.1782178217821782,0.0297029702970297,1.0,0.0297029702970297,1.0,0.297029702970297,0.0297029702970297
nsp11,1,0.0891089108910891,1.0,0.9900990099009901,0.15841584158415842,0.19801980198019803,0.4752475247524752,0.1485148514851485,1.0,0.1188118811881188,0.12871287128712872,0.12871287128712872,1.0,0.24752475247524752,0.09900990099009901,0.10891089108910891,0.04950495049504951,0.0297029702970297,0.0594059405940594,0.37623762376237624,0.039603960396039604,0.6039603960396039,1.0,0.019801980198019802,0.7029702970297029,0.8613861386138614,0.1485148514851485,1.0,1.0,0.0297029702970297,1.0,0.13861386138613863,0.06930693069306931
nsp12,20,0.15841584158415842,1.0,1.0,1.0,0.31683168316831684,0.04950495049504951,1.0,1.0,0.9108910891089109,1.0,1.0,1.0,1.0,1.0,1.0,0.1782178217821782,0.009900990099009901,0.9504950495049505,1.0,1.0,1.0,1.0,0.25742574257425743,1.0,1.0,1.0,1.0,1.0,0.16831683168316833,1.0,1.0,0.13861386138613863
nsp13,40,0.37623762376237624,1.0,1.0,1.0,1.0,0.22772277227722773,0.6237623762376238,1.0,1.0,0.8415841584158416,1.0,1.0,1.0,1.0,1.0,0.0297029702970297,1.0,1.0,1.0,1.0,1.0,1.0,0.039603960396039604,1.0,1.0,0.9702970297029703,1.0,0.32673267326732675,0.16831683168316833,1.0,1.0,0.1485148514851485
nsp14,3,0.0891089108910891,0.1485148514851485,1.0,1.0,0.13861386138613863,1.0,0.33663366336633666,1.0,0.2376237623762376,1.0,1.0,1.0,0.27722772277227725,1.0,0.32673267326732675,0.24752475247524752,0.40594059405940597,0.2376237623762376,1.0,1.0,1.0,1.0,0.09900990099009901,1.0,1.0,0.46534653465346537,1.0,1.0,0.07920792079207921,1.0,0.42574257425742573,0.0594059405940594
