viral,Preys,IFI6,IFI27,IFITM1,MX1,RN7SK,ARC,DKK1,MT1G,SAMD9,IFIT3,IFIT2,NKX3-1,HSPA6,IFIT1,IFI44L,RSAD2,ISG15,OAS2,CXCL11,IFI44,CXCL10,SLC34A2,IFNλ,IFN b1,IFNL2,CCR1,CCR8,IL16,IL3,CCR2,CCR5,IL5
e,6,8.892001273115379e-05,6.765142085731271e-05,0.00011846813447768432,0.00027861646975014355,0.0016627758314396188,0.0001699533723473351,0.00017845912340773575,4.8119663940497136e-05,0.00017468437401773208,0.0004243803941613061,0.00036143457247656056,0.0002695441994462262,0.0006097018159095515,0.00034795879729996037,0.000111052316887682,0.00015569351483589225,0.0006651786492789052,0.00013203065052162102,0.00017604696848983522,7.50321294351688e-05,0.00015118992920472188,0.00020357331033310906,0.00010918216307898258,4.0228040867871047e-05,4.432060165167888e-05,0.0002524313397884677,0.00013307202913231486,0.0002944385652981632,9.441211493416165e-05,0.0002420541738252592,0.0002334418852358399,7.658922196095795e-05
m,30,0.00040328184164283314,0.0003316835479995194,0.0005643025828312808,0.0013404547624055086,0.0007455508499473599,0.0008132409662611238,0.001058433021563983,0.0002358655824125947,0.0007313697510045116,0.001747122759166438,0.0014073333901441516,0.0012688764698666982,0.0030764995846363115,0.0015432361320265322,0.0007746342220654594,0.001025658163589287,0.0057967931354254935,0.0005679729921531575,0.001187879875805913,0.0005577777194902887,0.0010753771764290428,0.004544209057067058,0.0006009489658935612,0.00021662788705851204,0.00021831003844482956,0.0013278498425519114,0.0008786013261233457,0.0014211673056181576,0.0004776500588709546,0.0015146703994072274,0.0014345895270402168,0.00037888610943436065
n,15,0.00033488424086578514,0.0002869988460005669,0.0004199921202044394,0.001161563315294673,0.0009795795104263951,0.0007089623321072037,0.0007456437133531095,0.00021287493579173668,0.0007271250551281048,0.003075229862215952,0.0027673826619280203,0.001069384494405483,0.0031026747926132196,0.0030352000329323765,0.0004977031027723286,0.0006827897726475241,0.0031349048171584975,0.000546500304415814,0.000708816129754555,0.00033730524776884644,0.0006045756619383289,0.0006331266547984954,0.0004912642373746659,0.00016484358060138847,0.00019253498363860062,0.0009432440305481427,0.00042920108961380535,0.0012178969690079592,0.00041246164321675225,0.0008877089423245653,0.0008941095757599112,0.00032451256849080055
spike,2,1.3278471394100265e-05,1.0717756226555374e-05,1.601284127415272e-05,5.8460894124049105e-05,2.2357331542652073e-05,3.914520839583496e-05,3.160399156554394e-05,7.548411695311602e-06,2.2844828657867913e-05,4.9701596099055876e-05,4.013742177091651e-05,3.706695393317848e-05,8.634272441865762e-05,4.077638346584902e-05,1.706623761318437e-05,2.910151157383293e-05,0.00011467210716528195,1.6814777427600877e-05,3.573996730124939e-05,1.1416120274531002e-05,3.1027877384118036e-05,4.7156298633167525e-05,4.198737127211524e-05,7.025802126912427e-06,9.515789067634677e-06,0.0003583100420902479,2.6494086674658567e-05,4.8564101172662294e-05,1.619388035849479e-05,5.279367255953053e-05,5.8616571129758323e-05,1.3214678886573638e-05
nsp1,6,7.107609799918312e-05,6.974860066675886e-05,8.49231246274405e-05,0.00021017659814388386,0.0001527767702642589,0.00014281696959158192,0.0001716060309989296,3.900725518628318e-05,0.00013974869479227962,0.000278256435126999,0.00022488833134188686,0.0002087550131944132,0.0005022741077397624,0.0002256283740376404,9.544720715930894e-05,0.0005012501759163724,0.0005531480226453074,9.837787236608362e-05,0.00015029492195013438,7.139721350589156e-05,0.00012761821772221937,0.00012737100974072514,0.00010878917370010944,3.3884775918497316e-05,3.339293898708889e-05,0.00018697223060119337,9.243047242801429e-05,0.0002631424394259149,7.327872414298247e-05,0.00017758991649196188,0.0001770817317984398,6.144853086489966e-05
nsp10,5,7.895079542838129e-05,7.181502055092526e-05,8.845068394353674e-05,0.0002592617383720736,0.00016686179158991116,0.00015457788072624097,0.0001790468683590702,6.938260617422325e-05,0.00015218352147760816,0.00039645128009354854,0.0003298032053079889,0.0002230957184006115,0.0009511060607863031,0.0010560675657093274,0.00012675491528361385,0.00015658921665314085,0.002320153542565621,0.00011736675210708775,0.00017878698693651936,7.217499215527859e-05,0.0001521841948680203,0.0001602310012663178,0.00010850595437400838,0.00017683524881858677,4.657123060852794e-05,0.0002490520144129295,0.0002896675607848812,0.000286636211964236,0.00013551037428721503,0.00023121118482373994,0.0002339843307342698,8.875484550543751e-05
nsp11,1,1.3059295257975771e-05,1.2212632148105625e-05,1.4739289153676401e-05,5.1835268789641695e-05,2.5562256234364632e-05,2.6712241673310264e-05,3.149378260566122e-05,8.586239336535075e-06,2.849894343814378e-05,6.94283296685252e-05,5.432357361312837e-05,3.5812099689531846e-05,9.6265397473324e-05,5.659407163779214e-05,2.6960879672960687e-05,3.56404410623305e-05,0.00014113223116258135,2.842963601750956e-05,3.238259013284538e-05,1.739074402391798e-05,2.7407291258098515e-05,2.511263047931899e-05,2.2955594673126564e-05,8.263731237892602e-06,8.00329539206745e-06,4.53979353490842e-05,1.7359678854895973e-05,4.942819487020945e-05,1.4677125590998742e-05,3.596815408125866e-05,3.824178516031251e-05,1.2442370823310501e-05
nsp12,20,0.0002496672583698636,0.0002045057229337194,0.0002873516696151825,0.0008240004598913442,0.0004978757440106796,0.0006567342918740143,0.000500087008063267,0.0001334425616713943,0.00041329140314744065,0.000998351260263421,0.0008314776302599242,0.0006407055449755121,0.001720040553712888,0.0008247020649730287,0.0003463680674857548,0.000533679873024267,0.0038442153901274336,0.0003404099186163949,0.000481966608495619,0.00019528410420247363,0.00041358350734700406,0.0004068913119488603,0.00031864290774626927,0.0001250179377724427,0.00011542085479423374,0.0006237808815893291,0.0003932741762906401,0.0009351326102162227,0.000253891378059269,0.0006056162884922635,0.0005979112097925646,0.00021180191755173673
nsp13,40,0.0005973716368648063,0.000493527392925482,0.0006065983395387407,0.0019124046984250718,0.0010497654804312762,0.0015012489261621818,0.001392885428169053,0.0003793232098554973,0.000983770288900721,0.0029268004440769356,0.0019825906236340825,0.0015582532923347362,0.004187218040008342,0.0019959440313298722,0.0008630930280626779,0.0015129382693489103,0.00446601683278168,0.0008417240023378153,0.0012814156671901915,0.0004910871172580454,0.0011305829091159956,0.0010749893253762086,0.001501723441906358,0.00027562762106924483,0.0003015398027106064,0.001806287450365383,0.0009326185735590736,0.003963288539483522,0.0006350174647009306,0.0015716242485040606,0.001483356190254038,0.0005205443145728256
nsp14,3,3.968355271782505e-05,4.715186345502705e-05,3.615336458617852e-05,0.00010490908953322562,7.836894344704154e-05,6.71256241518157e-05,7.84862457158608e-05,2.2266011316668214e-05,6.228774682994682e-05,0.0001398757795523341,0.00011511120931296455,8.5535118422082e-05,0.00027037371001381344,0.00011097747674744272,6.276243949654191e-05,7.126376520532491e-05,0.0002842557778725858,5.1800295830709456e-05,7.52561783144815e-05,2.7906788826972418e-05,6.448592955149416e-05,6.646848462513492e-05,5.022410125448928e-05,1.6120129149145305e-05,1.9951612648913967e-05,0.00010394235985975167,4.52310557907984e-05,0.00012134140268249339,3.941318418209148e-05,9.021302044280179e-05,9.421568563862678e-05,3.2550529820023776e-05
