viral,Preys,HK2*,GPI,PFKP,ENO2*,PKM*,LDHA,ALDOA,PGK1,BPGM*,PGD,PGLS,RBKS,DNAJC15*,ATP1A1*,UQCRB,IDH1*,CDK1*,ZDHHC14,IFITM1*,IFITM3*,ACAA1,HMGCS1*,ACAT2,BCKDK,MVD,FDFT1,SQLE*,DGAT1,MTTP,NFKB1*,JUN,FOXO1*,GCLC*,HMOX2*,IL6*,SOD2,ERN1,EIF2AK2,ATF4,CEBPB,DNAJB9
e,6,0.46534653465346537,0.5445544554455446,0.13861386138613863,0.2376237623762376,0.15841584158415842,0.1485148514851485,0.18811881188118812,0.10891089108910891,0.06930693069306931,0.13861386138613863,0.5643564356435643,0.2376237623762376,1.0,0.2871287128712871,0.1485148514851485,0.0891089108910891,0.22772277227722773,0.49504950495049505,0.44554455445544555,1.0,0.13861386138613863,0.0891089108910891,0.1485148514851485,0.3069306930693069,0.24752475247524752,1.0,1.0,1.0,0.4752475247524752,0.3069306930693069,0.009900990099009901,0.0891089108910891,0.40594059405940597,1.0,0.12871287128712872,0.1188118811881188,0.1485148514851485,0.13861386138613863,0.06930693069306931,0.07920792079207921,1.0
m,30,0.16831683168316833,0.07920792079207921,0.36633663366336633,0.26732673267326734,0.15841584158415842,0.009900990099009901,0.06930693069306931,0.3069306930693069,1.0,0.0297029702970297,0.07920792079207921,0.0891089108910891,1.0,0.009900990099009901,0.039603960396039604,0.18811881188118812,0.504950495049505,0.9900990099009901,0.9801980198019802,0.16831683168316833,0.1485148514851485,1.0,0.15841584158415842,0.13861386138613863,0.10891089108910891,0.25742574257425743,0.039603960396039604,0.039603960396039604,0.6237623762376238,0.9900990099009901,0.009900990099009901,0.6039603960396039,0.15841584158415842,0.009900990099009901,0.1188118811881188,0.009900990099009901,0.09900990099009901,1.0,1.0,1.0,0.6831683168316832
n,15,0.9504950495049505,0.6633663366336634,0.48514851485148514,0.44554455445544555,0.13861386138613863,0.5841584158415841,0.5841584158415841,0.44554455445544555,1.0,0.2871287128712871,0.8415841584158416,0.2376237623762376,1.0,0.9504950495049505,0.31683168316831684,0.3564356435643564,0.1188118811881188,1.0,1.0,1.0,0.22772277227722773,1.0,0.0297029702970297,1.0,0.2871287128712871,1.0,1.0,1.0,1.0,0.8613861386138614,0.009900990099009901,0.297029702970297,0.10891089108910891,1.0,0.12871287128712872,0.36633663366336633,0.22772277227722773,0.009900990099009901,0.36633663366336633,0.2871287128712871,1.0
spike,2,0.9603960396039604,0.7623762376237624,0.9306930693069307,1.0,0.06930693069306931,0.7524752475247525,0.33663366336633666,1.0,1.0,0.49504950495049505,1.0,0.18811881188118812,1.0,0.0891089108910891,0.039603960396039604,0.46534653465346537,0.43564356435643564,0.10891089108910891,1.0,1.0,0.009900990099009901,1.0,0.4752475247524752,1.0,0.6534653465346535,1.0,0.09900990099009901,0.009900990099009901,0.0594059405940594,1.0,0.297029702970297,0.42574257425742573,0.2079207920792079,0.13861386138613863,0.0891089108910891,0.22772277227722773,0.09900990099009901,1.0,0.9603960396039604,0.8811881188118812,0.0891089108910891
nsp1,6,0.0297029702970297,0.5148514851485149,0.1188118811881188,0.3564356435643564,0.16831683168316833,0.15841584158415842,0.2079207920792079,0.07920792079207921,1.0,0.1188118811881188,0.48514851485148514,0.21782178217821782,1.0,0.1485148514851485,0.6831683168316832,0.1188118811881188,0.0297029702970297,0.2871287128712871,1.0,1.0,0.15841584158415842,0.49504950495049505,0.13861386138613863,0.9702970297029703,0.07920792079207921,1.0,1.0,1.0,0.801980198019802,0.9900990099009901,0.0297029702970297,0.04950495049504951,0.36633663366336633,1.0,0.12871287128712872,0.10891089108910891,0.10891089108910891,0.9207920792079208,0.13861386138613863,0.06930693069306931,0.9900990099009901
nsp10,5,0.12871287128712872,0.10891089108910891,0.07920792079207921,0.06930693069306931,0.12871287128712872,0.1188118811881188,0.06930693069306931,0.10891089108910891,0.8910891089108911,0.0594059405940594,0.04950495049504951,0.1188118811881188,1.0,0.06930693069306931,0.07920792079207921,0.039603960396039604,0.12871287128712872,0.33663366336633666,1.0,0.9900990099009901,0.0594059405940594,0.8217821782178217,0.039603960396039604,0.31683168316831684,0.04950495049504951,0.9702970297029703,0.8712871287128713,1.0,0.45544554455445546,0.38613861386138615,0.009900990099009901,0.07920792079207921,0.12871287128712872,0.3069306930693069,0.10891089108910891,0.0594059405940594,0.039603960396039604,0.42574257425742573,0.13861386138613863,0.19801980198019803,1.0
nsp11,1,0.019801980198019802,0.0297029702970297,0.039603960396039604,0.009900990099009901,0.009900990099009901,0.019801980198019802,0.019801980198019802,0.009900990099009901,0.1782178217821782,0.019801980198019802,0.019801980198019802,0.039603960396039604,0.37623762376237624,0.039603960396039604,0.009900990099009901,0.019801980198019802,0.0594059405940594,0.5247524752475248,0.9900990099009901,0.9900990099009901,0.019801980198019802,0.24752475247524752,0.0297029702970297,0.13861386138613863,0.0297029702970297,1.0,1.0,0.5346534653465347,0.31683168316831684,0.09900990099009901,0.0594059405940594,0.0297029702970297,0.10891089108910891,0.1188118811881188,0.04950495049504951,0.009900990099009901,0.0297029702970297,0.13861386138613863,0.15841584158415842,0.0594059405940594,0.039603960396039604
nsp12,20,0.9405940594059405,0.43564356435643564,0.5742574257425742,0.24752475247524752,0.1188118811881188,0.0891089108910891,0.9603960396039604,0.2376237623762376,1.0,0.13861386138613863,0.5544554455445545,0.3465346534653465,1.0,0.9504950495049505,0.6039603960396039,0.12871287128712872,0.1485148514851485,0.9108910891089109,1.0,1.0,0.04950495049504951,0.7920792079207921,0.0891089108910891,0.39603960396039606,0.39603960396039606,1.0,1.0,1.0,1.0,0.8118811881188119,0.009900990099009901,0.12871287128712872,0.8712871287128713,1.0,0.10891089108910891,0.16831683168316833,0.0594059405940594,1.0,0.297029702970297,0.0891089108910891,1.0
nsp13,40,1.0,0.46534653465346537,0.6633663366336634,0.40594059405940597,0.0594059405940594,0.8316831683168316,1.0,0.5742574257425742,1.0,0.10891089108910891,0.9108910891089109,0.04950495049504951,1.0,0.7029702970297029,1.0,0.8712871287128713,0.22772277227722773,0.9900990099009901,1.0,1.0,0.25742574257425743,0.039603960396039604,0.2079207920792079,0.9900990099009901,0.9504950495049505,1.0,1.0,1.0,1.0,0.009900990099009901,0.009900990099009901,0.0594059405940594,0.6732673267326733,1.0,0.0594059405940594,0.07920792079207921,0.15841584158415842,1.0,0.2079207920792079,0.297029702970297,1.0
nsp14,3,0.19801980198019803,0.0297029702970297,0.04950495049504951,0.04950495049504951,0.12871287128712872,0.019801980198019802,0.0594059405940594,0.04950495049504951,0.8316831683168316,0.009900990099009901,0.07920792079207921,0.18811881188118812,1.0,0.06930693069306931,0.1485148514851485,0.019801980198019802,0.09900990099009901,0.9801980198019802,1.0,1.0,0.04950495049504951,0.26732673267326734,0.019801980198019802,0.039603960396039604,0.009900990099009901,1.0,1.0,1.0,1.0,0.06930693069306931,0.06930693069306931,0.039603960396039604,0.039603960396039604,0.21782178217821782,0.019801980198019802,0.019801980198019802,0.09900990099009901,0.8613861386138614,0.42574257425742573,0.1188118811881188,1.0
