viral,Preys,CD80,CD86 ,INFalpha ,INF beta ,INF g ,TNFa,IL-2, IL-10 ,IL-7 , IL-6 , IL-1β ,INF-ɑ,IP-10 ,CTLA-4 ,PD-1 ,Ki67 , IL-5 , IL-13 ,IL-22,CD64   ,CD66b ,CRP,ferritin l,ferritin h,LDH a ,IL6,FAS ,ACE2 ,ITGAM  cd1b,CD14,FCGR3Acd16,CD68,CD163,MRC1 cd206,PDCD1  PD1,IL1B,CXCL2 ,CXCL8 ,GDF11,NOG,IL10,CXCL10,TNFSF10,NRG1,TIMP1,C5,IL18,AREG,CCL4,CMTM2,IFNG,CTSL,CTSB,DDIT4,RRAS,CTSD,BIRC5,CTSZ,NTRK1,IGFBP3,CCNB1,RRM2,CCNB2,GTSE1,CDK1,STEAP3,TP53I3,TGFB2,CCL3L1,CXCL6,CCL8,SCGB3A1,CCL2,CXCL1,IL33,GRN,CXCL16,IL-8,IL-6,IL-1β,TNF,CCL3,CCL4 ,CCL7,CXCL9 ,CXCL10 ,CXCL11
e,6,0.039603960396039604,0.2079207920792079,1.0,1.0,0.1485148514851485,0.32673267326732675,0.10891089108910891,1.0,0.1782178217821782,0.12871287128712872,0.09900990099009901,1.0,1.0,0.06930693069306931,1.0,0.13861386138613863,0.09900990099009901,0.06930693069306931,0.9702970297029703,1.0,0.25742574257425743,1.0,0.594059405940594,1.0,0.1485148514851485,0.12871287128712872,0.06930693069306931,0.0297029702970297,1.0,0.10891089108910891,0.4158415841584158,0.9405940594059405,0.0891089108910891,1.0,1.0,0.09900990099009901,1.0,1.0,1.0,0.1782178217821782,1.0,1.0,0.0594059405940594,0.7722772277227723,0.16831683168316833,1.0,1.0,0.019801980198019802,1.0,1.0,0.1485148514851485,0.0891089108910891,0.7128712871287128,0.3465346534653465,0.26732673267326734,0.0891089108910891,0.09900990099009901,1.0,0.6831683168316832,0.1782178217821782,0.10891089108910891,0.07920792079207921,0.07920792079207921,1.0,0.22772277227722773,0.27722772277227725,0.09900990099009901,0.019801980198019802,1.0,1.0,1.0,1.0,1.0,1.0,0.039603960396039604,1.0,1.0,1.0,0.12871287128712872,0.09900990099009901,0.32673267326732675,1.0,1.0,1.0,1.0,1.0,1.0
m,30,0.0297029702970297,0.3564356435643564,0.1782178217821782,1.0,0.12871287128712872,0.8910891089108911,0.009900990099009901,1.0,0.0297029702970297,0.1188118811881188,0.07920792079207921,0.1782178217821782,0.3564356435643564,0.0891089108910891,0.039603960396039604,0.7227722772277227,0.10891089108910891,0.019801980198019802,0.42574257425742573,1.0,0.039603960396039604,1.0,1.0,0.13861386138613863,0.009900990099009901,0.1188118811881188,0.2871287128712871,0.0891089108910891,1.0,1.0,0.693069306930693,0.009900990099009901,0.594059405940594,0.8118811881188119,0.039603960396039604,0.07920792079207921,0.6633663366336634,1.0,0.7524752475247525,0.13861386138613863,1.0,0.3564356435643564,0.1188118811881188,0.12871287128712872,0.0594059405940594,0.8613861386138614,1.0,0.297029702970297,0.9900990099009901,1.0,0.12871287128712872,1.0,0.0297029702970297,1.0,0.009900990099009901,0.009900990099009901,0.9801980198019802,0.09900990099009901,0.7524752475247525,0.49504950495049505,0.5643564356435643,0.18811881188118812,0.1782178217821782,1.0,0.504950495049505,0.10891089108910891,0.9900990099009901,0.09900990099009901,0.9702970297029703,1.0,1.0,1.0,1.0,1.0,0.5445544554455446,0.9306930693069307,1.0,1.0,0.1188118811881188,0.07920792079207921,0.8910891089108911,0.04950495049504951,0.9900990099009901,1.0,1.0,0.3564356435643564,0.5346534653465347
n,15,0.0594059405940594,1.0,1.0,1.0,0.0891089108910891,0.4158415841584158,0.1188118811881188,1.0,0.5148514851485149,0.12871287128712872,0.2079207920792079,1.0,1.0,0.3069306930693069,1.0,0.009900990099009901,0.12871287128712872,0.1188118811881188,1.0,1.0,1.0,1.0,0.801980198019802,1.0,0.5841584158415841,0.12871287128712872,0.504950495049505,0.15841584158415842,1.0,1.0,0.9900990099009901,1.0,0.009900990099009901,1.0,1.0,0.2079207920792079,1.0,1.0,0.9900990099009901,0.13861386138613863,1.0,1.0,0.10891089108910891,1.0,1.0,1.0,1.0,0.801980198019802,1.0,1.0,0.0891089108910891,0.1485148514851485,1.0,1.0,1.0,0.31683168316831684,0.5742574257425742,1.0,1.0,0.9504950495049505,0.44554455445544555,0.2376237623762376,0.22772277227722773,1.0,0.1188118811881188,1.0,0.8910891089108911,0.37623762376237624,1.0,1.0,1.0,1.0,1.0,1.0,0.10891089108910891,1.0,1.0,1.0,0.12871287128712872,0.2079207920792079,0.4158415841584158,1.0,1.0,1.0,1.0,1.0,1.0
spike,2,0.04950495049504951,0.16831683168316833,1.0,1.0,0.0297029702970297,0.42574257425742573,0.019801980198019802,0.039603960396039604,0.0594059405940594,0.0891089108910891,0.10891089108910891,1.0,0.8514851485148515,0.09900990099009901,0.04950495049504951,0.39603960396039606,0.04950495049504951,0.019801980198019802,0.04950495049504951,0.26732673267326734,0.04950495049504951,0.7920792079207921,1.0,1.0,0.7524752475247525,0.0891089108910891,0.10891089108910891,0.0891089108910891,0.9801980198019802,0.5346534653465347,0.09900990099009901,0.45544554455445546,0.900990099009901,1.0,0.04950495049504951,0.10891089108910891,1.0,0.12871287128712872,0.2376237623762376,0.019801980198019802,0.039603960396039604,0.8514851485148515,0.039603960396039604,0.0297029702970297,0.09900990099009901,0.22772277227722773,0.38613861386138615,0.09900990099009901,0.04950495049504951,1.0,0.0297029702970297,0.7227722772277227,0.45544554455445546,1.0,0.504950495049505,0.2079207920792079,0.9207920792079208,1.0,1.0,0.12871287128712872,0.3564356435643564,0.6435643564356436,0.06930693069306931,0.45544554455445546,0.43564356435643564,0.019801980198019802,0.26732673267326734,0.12871287128712872,0.019801980198019802,0.3465346534653465,1.0,0.3069306930693069,0.40594059405940597,1.0,0.44554455445544555,0.9900990099009901,1.0,0.12871287128712872,0.0891089108910891,0.10891089108910891,0.42574257425742573,0.15841584158415842,0.04950495049504951,0.039603960396039604,1.0,0.8514851485148515,0.900990099009901
nsp1,6,0.10891089108910891,0.6435643564356436,1.0,1.0,0.06930693069306931,0.693069306930693,0.09900990099009901,1.0,0.1782178217821782,0.12871287128712872,0.19801980198019803,1.0,1.0,0.2376237623762376,1.0,0.0594059405940594,0.1485148514851485,0.12871287128712872,0.9900990099009901,1.0,0.6138613861386139,1.0,1.0,1.0,0.15841584158415842,0.12871287128712872,0.15841584158415842,0.07920792079207921,1.0,0.9900990099009901,0.5247524752475248,0.33663366336633666,0.9900990099009901,1.0,1.0,0.19801980198019803,1.0,1.0,0.009900990099009901,0.07920792079207921,1.0,1.0,0.15841584158415842,0.8811881188118812,0.5742574257425742,1.0,1.0,0.32673267326732675,1.0,1.0,0.06930693069306931,0.6831683168316832,0.2376237623762376,0.18811881188118812,0.25742574257425743,0.1782178217821782,0.16831683168316833,1.0,0.13861386138613863,0.019801980198019802,0.009900990099009901,0.0297029702970297,0.039603960396039604,0.07920792079207921,0.0297029702970297,0.27722772277227725,0.6039603960396039,0.09900990099009901,1.0,1.0,1.0,1.0,0.16831683168316833,1.0,0.13861386138613863,0.009900990099009901,1.0,1.0,0.12871287128712872,0.19801980198019803,0.693069306930693,1.0,1.0,1.0,1.0,1.0,1.0
nsp10,5,0.009900990099009901,0.009900990099009901,0.0594059405940594,0.019801980198019802,0.1188118811881188,0.18811881188118812,0.09900990099009901,1.0,0.12871287128712872,0.10891089108910891,0.1188118811881188,0.0594059405940594,1.0,0.009900990099009901,0.13861386138613863,0.3564356435643564,0.0297029702970297,0.04950495049504951,0.19801980198019803,0.693069306930693,0.0297029702970297,0.9900990099009901,1.0,0.09900990099009901,0.1188118811881188,0.10891089108910891,0.07920792079207921,0.019801980198019802,0.21782178217821782,1.0,0.039603960396039604,0.7821782178217822,0.19801980198019803,1.0,0.13861386138613863,0.1188118811881188,1.0,0.9900990099009901,0.7623762376237624,0.06930693069306931,1.0,1.0,0.09900990099009901,0.12871287128712872,0.04950495049504951,0.4752475247524752,0.8910891089108911,0.12871287128712872,1.0,1.0,0.1188118811881188,0.7821782178217822,0.07920792079207921,0.26732673267326734,0.06930693069306931,0.0891089108910891,0.07920792079207921,1.0,0.13861386138613863,0.09900990099009901,0.0891089108910891,0.07920792079207921,0.039603960396039604,0.009900990099009901,0.12871287128712872,0.07920792079207921,0.6237623762376238,0.1485148514851485,1.0,1.0,1.0,1.0,1.0,1.0,0.039603960396039604,0.12871287128712872,1.0,0.9900990099009901,0.10891089108910891,0.1188118811881188,0.18811881188118812,0.5742574257425742,1.0,1.0,1.0,1.0,1.0
nsp11,1,0.039603960396039604,0.1485148514851485,0.13861386138613863,0.7029702970297029,0.019801980198019802,0.09900990099009901,0.039603960396039604,1.0,0.06930693069306931,0.04950495049504951,0.0891089108910891,0.13861386138613863,0.6039603960396039,0.1485148514851485,0.39603960396039606,0.09900990099009901,0.06930693069306931,0.0297029702970297,0.297029702970297,1.0,0.19801980198019803,0.25742574257425743,0.49504950495049505,0.07920792079207921,0.019801980198019802,0.04950495049504951,0.019801980198019802,0.0594059405940594,0.0297029702970297,0.10891089108910891,0.12871287128712872,0.25742574257425743,0.10891089108910891,0.3564356435643564,0.39603960396039606,0.0891089108910891,1.0,0.26732673267326734,0.19801980198019803,0.06930693069306931,1.0,0.6039603960396039,0.04950495049504951,0.039603960396039604,0.1188118811881188,0.009900990099009901,0.33663366336633666,0.15841584158415842,1.0,1.0,0.019801980198019802,0.0891089108910891,0.009900990099009901,0.16831683168316833,0.06930693069306931,0.0297029702970297,0.1782178217821782,1.0,0.4752475247524752,0.13861386138613863,0.0297029702970297,0.13861386138613863,0.039603960396039604,0.7128712871287128,0.0594059405940594,0.18811881188118812,0.06930693069306931,0.06930693069306931,0.6534653465346535,0.2871287128712871,0.9603960396039604,1.0,1.0,1.0,0.06930693069306931,0.039603960396039604,1.0,0.26732673267326734,0.04950495049504951,0.0891089108910891,0.09900990099009901,0.1485148514851485,1.0,0.7326732673267327,1.0,0.6039603960396039,0.37623762376237624
nsp12,20,0.12871287128712872,0.9702970297029703,0.9207920792079208,1.0,0.25742574257425743,0.019801980198019802,0.04950495049504951,1.0,0.10891089108910891,0.10891089108910891,0.10891089108910891,0.9207920792079208,1.0,0.26732673267326734,1.0,0.45544554455445546,0.13861386138613863,0.019801980198019802,0.9801980198019802,1.0,0.9900990099009901,1.0,1.0,1.0,0.0891089108910891,0.10891089108910891,0.13861386138613863,0.04950495049504951,1.0,1.0,0.7524752475247525,1.0,1.0,1.0,1.0,0.10891089108910891,1.0,1.0,0.36633663366336633,0.0891089108910891,1.0,1.0,0.019801980198019802,1.0,1.0,1.0,0.5841584158415841,0.039603960396039604,1.0,1.0,0.25742574257425743,1.0,0.25742574257425743,0.44554455445544555,1.0,0.4752475247524752,0.0891089108910891,1.0,0.8415841584158416,0.8910891089108911,0.18811881188118812,0.12871287128712872,0.06930693069306931,0.04950495049504951,0.1485148514851485,0.9207920792079208,0.7722772277227723,0.33663366336633666,1.0,1.0,1.0,1.0,1.0,1.0,0.2079207920792079,1.0,1.0,1.0,0.10891089108910891,0.10891089108910891,0.019801980198019802,1.0,1.0,1.0,1.0,1.0,1.0
nsp13,40,0.06930693069306931,0.9900990099009901,1.0,1.0,0.039603960396039604,0.0594059405940594,0.06930693069306931,1.0,0.1485148514851485,0.0594059405940594,0.18811881188118812,1.0,1.0,0.13861386138613863,1.0,0.25742574257425743,0.1485148514851485,0.04950495049504951,0.0891089108910891,1.0,1.0,1.0,0.297029702970297,1.0,0.8316831683168316,0.0594059405940594,0.48514851485148514,0.10891089108910891,1.0,1.0,0.18811881188118812,0.9108910891089109,0.9900990099009901,1.0,1.0,0.18811881188118812,1.0,1.0,1.0,0.07920792079207921,1.0,1.0,0.1485148514851485,1.0,0.594059405940594,1.0,0.42574257425742573,0.09900990099009901,1.0,1.0,0.039603960396039604,0.8415841584158416,0.31683168316831684,0.9801980198019802,1.0,0.9900990099009901,0.3069306930693069,1.0,1.0,1.0,0.039603960396039604,0.2376237623762376,0.009900990099009901,0.009900990099009901,0.22772277227722773,0.2871287128712871,0.8118811881188119,0.4752475247524752,1.0,0.9405940594059405,1.0,1.0,1.0,1.0,0.44554455445544555,0.40594059405940597,1.0,1.0,0.0594059405940594,0.18811881188118812,0.0594059405940594,1.0,1.0,0.0891089108910891,1.0,1.0,1.0
nsp14,3,0.12871287128712872,0.45544554455445546,1.0,1.0,0.09900990099009901,0.31683168316831684,0.1188118811881188,1.0,0.1188118811881188,0.019801980198019802,0.12871287128712872,1.0,1.0,0.16831683168316833,1.0,0.15841584158415842,0.0594059405940594,0.10891089108910891,0.9900990099009901,1.0,0.9405940594059405,1.0,1.0,1.0,0.019801980198019802,0.019801980198019802,0.1188118811881188,0.06930693069306931,1.0,0.6831683168316832,0.33663366336633666,0.37623762376237624,0.6237623762376238,1.0,1.0,0.12871287128712872,1.0,0.9207920792079208,0.4158415841584158,0.0891089108910891,1.0,1.0,0.0297029702970297,0.2376237623762376,0.09900990099009901,0.5445544554455446,1.0,0.2376237623762376,1.0,1.0,0.09900990099009901,0.039603960396039604,0.0594059405940594,0.2376237623762376,0.7227722772277227,0.009900990099009901,0.0297029702970297,1.0,0.42574257425742573,0.039603960396039604,0.0891089108910891,0.13861386138613863,0.0297029702970297,0.8910891089108911,0.09900990099009901,0.18811881188118812,0.297029702970297,0.12871287128712872,0.12871287128712872,1.0,1.0,1.0,1.0,1.0,0.18811881188118812,0.06930693069306931,1.0,0.9207920792079208,0.019801980198019802,0.12871287128712872,0.31683168316831684,0.39603960396039606,1.0,1.0,1.0,1.0,1.0
