viral,Preys,UNC13A,RAB27A,RAB3A,RIMS1,RPH3A,SNAP25,SNCA,STX1A,STXBP1,STXBP5,Syp,Tau,Caspase 3
e,6,0.21782178217821782,0.24752475247524752,0.3564356435643564,0.10891089108910891,0.801980198019802,0.13861386138613863,0.16831683168316833,1.0,0.6336633663366337,0.009900990099009901,0.0594059405940594,0.12871287128712872,0.10891089108910891
m,30,0.9207920792079208,0.21782178217821782,0.1188118811881188,0.3564356435643564,1.0,0.09900990099009901,0.3465346534653465,1.0,0.2871287128712871,0.06930693069306931,0.8514851485148515,0.09900990099009901,0.21782178217821782
n,15,0.04950495049504951,1.0,1.0,0.33663366336633666,1.0,0.4752475247524752,0.3465346534653465,1.0,1.0,0.8217821782178217,1.0,0.009900990099009901,0.297029702970297
spike,2,1.0,0.0891089108910891,0.2376237623762376,0.1782178217821782,0.10891089108910891,0.019801980198019802,0.36633663366336633,0.7227722772277227,0.15841584158415842,0.039603960396039604,0.6831683168316832,0.24752475247524752,0.18811881188118812
nsp1,6,0.297029702970297,0.9801980198019802,0.039603960396039604,0.12871287128712872,0.1782178217821782,0.24752475247524752,0.09900990099009901,1.0,0.9900990099009901,0.49504950495049505,1.0,0.019801980198019802,0.0594059405940594
nsp10,5,0.5544554455445545,0.8118811881188119,0.0297029702970297,0.0891089108910891,0.26732673267326734,0.019801980198019802,0.1485148514851485,0.6336633663366337,0.039603960396039604,0.07920792079207921,0.22772277227722773,0.009900990099009901,0.0594059405940594
nsp11,1,0.13861386138613863,0.16831683168316833,0.019801980198019802,0.09900990099009901,0.0891089108910891,0.019801980198019802,0.0297029702970297,0.13861386138613863,0.0297029702970297,0.0594059405940594,0.04950495049504951,0.0891089108910891,0.009900990099009901
nsp12,20,1.0,1.0,1.0,0.16831683168316833,0.9108910891089109,0.12871287128712872,0.12871287128712872,1.0,0.9900990099009901,0.22772277227722773,1.0,0.06930693069306931,0.019801980198019802
nsp13,40,0.12871287128712872,1.0,0.22772277227722773,0.10891089108910891,0.2871287128712871,0.1782178217821782,0.3465346534653465,1.0,0.8712871287128713,0.0891089108910891,1.0,0.039603960396039604,0.009900990099009901
nsp14,3,1.0,0.42574257425742573,0.3564356435643564,0.1188118811881188,0.8415841584158416,0.1188118811881188,0.0891089108910891,1.0,0.31683168316831684,0.3069306930693069,1.0,0.18811881188118812,0.039603960396039604
nsp15,3,0.18811881188118812,0.16831683168316833,0.04950495049504951,0.22772277227722773,0.07920792079207921,0.0297029702970297,0.0891089108910891,1.0,0.0297029702970297,0.06930693069306931,0.6534653465346535,0.18811881188118812,0.04950495049504951
nsp2,7,1.0,0.40594059405940597,0.31683168316831684,0.06930693069306931,0.1188118811881188,0.04950495049504951,0.1485148514851485,1.0,0.04950495049504951,0.039603960396039604,1.0,0.37623762376237624,0.06930693069306931
nsp4,8,0.5643564356435643,0.504950495049505,0.12871287128712872,0.297029702970297,0.43564356435643564,0.0297029702970297,0.10891089108910891,1.0,0.04950495049504951,0.0594059405940594,1.0,0.36633663366336633,0.0297029702970297
nsp5,1,1.0,0.8514851485148515,1.0,0.16831683168316833,1.0,0.13861386138613863,0.18811881188118812,1.0,0.8910891089108911,0.37623762376237624,1.0,0.15841584158415842,0.09900990099009901
nsp5_c145a,2,0.22772277227722773,0.21782178217821782,0.40594059405940597,0.07920792079207921,0.2871287128712871,0.16831683168316833,0.039603960396039604,0.8811881188118812,0.22772277227722773,0.1188118811881188,1.0,0.0594059405940594,0.0297029702970297
nsp6,4,0.39603960396039606,0.16831683168316833,0.07920792079207921,0.13861386138613863,0.31683168316831684,0.0297029702970297,0.039603960396039604,0.43564356435643564,0.24752475247524752,0.0297029702970297,0.2871287128712871,0.2079207920792079,0.09900990099009901
nsp7,32,0.8415841584158416,0.04950495049504951,0.0297029702970297,0.04950495049504951,0.04950495049504951,0.15841584158415842,0.019801980198019802,0.42574257425742573,0.2376237623762376,0.0594059405940594,0.8910891089108911,0.009900990099009901,0.13861386138613863
nsp8,24,1.0,0.9900990099009901,1.0,0.5346534653465347,1.0,0.693069306930693,0.45544554455445546,1.0,1.0,0.9801980198019802,1.0,0.009900990099009901,0.2079207920792079
nsp9,16,1.0,1.0,0.09900990099009901,0.12871287128712872,0.8415841584158416,0.07920792079207921,0.3465346534653465,1.0,0.8415841584158416,0.07920792079207921,1.0,0.2079207920792079,0.16831683168316833
orf10,9,1.0,0.1782178217821782,0.9702970297029703,0.45544554455445546,0.32673267326732675,0.13861386138613863,0.33663366336633666,1.0,1.0,0.5148514851485149,1.0,0.009900990099009901,0.12871287128712872
orf3a,8,0.7128712871287128,0.19801980198019803,0.2871287128712871,0.42574257425742573,0.7722772277227723,0.039603960396039604,0.07920792079207921,0.009900990099009901,0.019801980198019802,0.009900990099009901,0.9801980198019802,0.33663366336633666,0.039603960396039604
orf3b,1,0.3564356435643564,0.801980198019802,0.16831683168316833,0.26732673267326734,0.801980198019802,0.15841584158415842,0.019801980198019802,1.0,0.12871287128712872,0.22772277227722773,1.0,0.06930693069306931,0.07920792079207921
orf6,3,0.019801980198019802,0.44554455445544555,0.039603960396039604,0.15841584158415842,0.45544554455445546,0.09900990099009901,0.0891089108910891,1.0,0.12871287128712872,0.15841584158415842,1.0,0.27722772277227725,0.07920792079207921
orf7a,2,1.0,0.6831683168316832,0.12871287128712872,0.15841584158415842,0.8415841584158416,0.16831683168316833,0.13861386138613863,1.0,0.9207920792079208,0.1188118811881188,0.07920792079207921,0.009900990099009901,0.07920792079207921
orf8,47,0.09900990099009901,1.0,0.21782178217821782,0.7227722772277227,0.9504950495049505,0.12871287128712872,0.039603960396039604,1.0,0.297029702970297,0.13861386138613863,1.0,0.40594059405940597,0.1188118811881188
orf9b,11,0.49504950495049505,0.4752475247524752,0.18811881188118812,0.019801980198019802,0.1782178217821782,0.0297029702970297,0.10891089108910891,1.0,0.06930693069306931,0.039603960396039604,1.0,0.009900990099009901,0.15841584158415842
orf9c,26,1.0,0.9405940594059405,0.04950495049504951,0.39603960396039606,0.8613861386138614,0.06930693069306931,0.297029702970297,0.1782178217821782,0.43564356435643564,0.039603960396039604,0.07920792079207921,0.8118811881188119,0.2079207920792079
