viral,Preys,UNC13A,RAB27A,RAB3A,RIMS1,RPH3A,SNAP25,SNCA,STX1A,STXBP1,STXBP5,Syp,Tau,Caspase 3
e,6,0.00012953971480431792,0.00038502222651532007,0.0003285856883772239,0.0002084559543433133,0.00018135015806860567,0.0003453035338653982,0.0008553211665629629,0.00045519457954974025,0.00046414575161422735,0.0003020321784246146,0.00045556787674478716,0.0015938138178754075,0.0006466191572901138
m,30,0.0006120288937009977,0.002074215316912293,0.0017771902390334045,0.0009618075157839914,0.0009431857478419725,0.0019560414301320033,0.004184115054004681,0.002635585356778325,0.0028164827829508425,0.0010961244669942247,0.0019976412368378276,0.007523086609316204,0.003088451572608741
n,15,0.001357016103831039,0.0015105753631860315,0.0012649194833036174,0.0008186429637967319,0.0007732310680109988,0.0013381568275252658,0.0036001379198311307,0.001715893271656808,0.001876947225824035,0.0007475174137404466,0.0011779671033354446,0.008256874577194644,0.002635104837495129
spike,2,1.6370484028729895e-05,8.006952191742209e-05,5.8935740959568005e-05,3.181197834243335e-05,3.797645685047174e-05,7.36223532536715e-05,0.00012710765713372385,9.516789358018303e-05,8.865570705094225e-05,5.31097360964346e-05,6.391277473958789e-05,0.00021334811132447262,0.00010118340242434421
nsp1,6,0.0001134659766587073,0.0002887303372686133,0.0005055496614223844,0.00017382493327562287,0.00018279560110084648,0.0002731237731181124,0.0006797989883043626,0.00034643996014047974,0.0003711438700096801,0.00014705734548025465,0.00023141187493006668,0.001782767658704318,0.0005697084622243698
nsp10,5,0.000114486869177594,0.00032968230605150573,0.0003847029626234705,0.00020563298943301046,0.0001900745666333035,0.000494934424314044,0.0009134436548976575,0.000552386824105474,0.0016493794427426675,0.00021928942173659073,0.00038853196281625523,0.002171979033812817,0.0006280809260384389
nsp11,1,2.1409788496216512e-05,5.6660398212644747e-05,8.530395729009038e-05,3.701828672035104e-05,3.486796609169325e-05,8.659347968113166e-05,0.0001675229224244477,9.948461104157439e-05,0.00012256680609090603,3.394339364204954e-05,7.900183816361296e-05,0.000266188396588,0.00014915201097595384
nsp12,20,0.0003058626796732332,0.0009871939608181556,0.0008998209074706971,0.000571920163096256,0.000541062291379405,0.0010334378901808883,0.0028670337560299745,0.0012571030609982757,0.001346682330683991,0.0005489852002929053,0.0009309538412015717,0.004569113082404357,0.0030715114768140434
nsp13,40,0.0010453436077526841,0.002414780555210692,0.0025030317404423404,0.001834949977042739,0.0015354032771217703,0.002723582651595179,0.006181339443464336,0.003589878201204015,0.0034983941070753453,0.0018191915277777433,0.0021535479425217746,0.011368262142896778,0.007695437253983453
nsp14,3,4.4442070323136575e-05,0.0001510652494844115,0.00013498998430746384,8.639974347135262e-05,7.379114994652976e-05,0.00013629717140762183,0.0003425231187141341,0.00017521762413899122,0.00020550729877165966,7.277361436758086e-05,0.00011648951981764501,0.0006268760192215233,0.00028391985294856046
nsp15,3,8.218993081114467e-05,0.0002436884290606365,0.0002573489977336154,0.00012363367476970393,0.00014178950521416246,0.00025063529785053897,0.0005811231270211182,0.00030525051717763174,0.00033754395055365694,0.00013558590584940766,0.0002358878037286023,0.0009822833697936428,0.0004793561485744864
nsp2,7,0.00013148953039874032,0.0004368372003150791,0.0003967236057265273,0.00025421150278543374,0.00026673765762284796,0.0004515601354363441,0.0009759931890678096,0.000574306030300155,0.0008678179488971692,0.00028366613322829294,0.0003483721949352215,0.0016835362876127617,0.0007733871066945412
nsp4,8,0.00011500890485261786,0.00034901457622137956,0.00037323300978078506,0.00017823631834092268,0.0001852246897055885,0.0003671291428576251,0.0007998376273194587,0.0005044124235314965,0.0011690577829563888,0.00030125246624892386,0.00033638678759142235,0.0013939729643721779,0.000661042549967729
nsp5,1,5.1808814922380664e-05,0.00016324520818191942,0.00013527059920168826,9.178285679091045e-05,7.8209875112926e-05,0.00015098386775384145,0.0003843223617546091,0.00019288547451507408,0.00020853530865206144,8.303080995667075e-05,0.00012314434871159101,0.0006917699772449265,0.00031765513375299205
nsp5_c145a,2,3.127612936375594e-05,9.87225761562434e-05,8.299789923470243e-05,6.32406390002684e-05,5.00993283987217e-05,8.585111499547572e-05,0.0002326802907266091,0.00013649185915972034,0.00012423218460187233,4.8822643636560324e-05,7.175929197716785e-05,0.0003822989142239425,0.00016981100541039673
nsp6,4,5.7930314493127e-05,0.00019253940129250745,0.00017861091305002925,8.912034069660145e-05,9.298201562209807e-05,0.00020100832375402757,0.0003990394975351202,0.0002770122650392264,0.00023750417838598581,0.00016786729091308028,0.00019160093884407005,0.0006454198930403296,0.00028358281150439146
nsp7,32,0.0006508352862101747,0.003198019342632226,0.003987333257671029,0.0011500611921964456,0.002678198811632737,0.0023085397168562892,0.0062973998154605085,0.003590682504659244,0.0031932035769244955,0.0013956397607057973,0.002097960939927327,0.009030852819798662,0.0037119300828712975
nsp8,24,0.0004563224581391699,0.0015532600875078786,0.0013472488005159592,0.0008034224657973926,0.0007731737921789243,0.0013115375964353115,0.003489476270477255,0.0016991781254257505,0.00192011160653576,0.0007267135615996426,0.001128481770031161,0.0080743412207783,0.00263365510549376
nsp9,16,0.0002640738071968221,0.0007789640714751672,0.0008621564060523263,0.0004661034232000959,0.0004375264140748659,0.0008236837939590508,0.0019928808865227643,0.0010304112232882364,0.001076643664915681,0.0004715919490361872,0.0007266443558370237,0.003455769030801634,0.0015913691778580874
orf10,9,0.0002148844572595092,0.0007715248758054097,0.0006044440353046988,0.0003673066343211868,0.00040572634419578453,0.0006575049618565254,0.0016888591675702596,0.0008476701304613772,0.0008700455644742899,0.00034699948158373417,0.0005508383304551084,0.0034155679231373287,0.0015128199807773347
orf3a,8,0.00011627326105489451,0.00038806312114484157,0.0003415615778803261,0.00017997882263410804,0.0001811363744998565,0.0005019624438514329,0.0007990392879960353,0.0037409566786954698,0.0005315521242650393,0.0004474582653321838,0.0003586833567473232,0.0012645369517127196,0.0006333440056494752
orf3b,1,2.5072154538123814e-05,6.955510064457156e-05,7.271973163749863e-05,3.9070688558881065e-05,3.6603101304805766e-05,6.974342311623968e-05,0.0001896753118982127,9.656233484807845e-05,0.00010911291224937349,3.975826654389748e-05,6.39551148238433e-05,0.0003075121516899607,0.00012661055444569192
orf6,3,0.00013997202402756524,0.00021122530501208056,0.0002432344816735884,0.0001158391885061742,0.00011082491737705282,0.00019404767761343247,0.0004890938661872398,0.00025405648422512257,0.0003009096327292615,0.00010891758780868588,0.00017639003251032834,0.0009001878516726899,0.0003733862140938649
orf7a,2,3.128448532236435e-05,0.00010481832605442422,0.00011174199180879213,5.9025464529666494e-05,5.3690427051008166e-05,0.0001040367376240995,0.0002314582706712341,0.00012976141723496172,0.0001317280453449374,6.180402501231178e-05,0.0001328639595858523,0.0009533495741820794,0.00018572577746233355
