viral,Preys,Megalin,SLC22A12,SLC34A1 ,SLC34A3 ,  SLC6A19 , EAAT3,PAT2,SIT1, B^0AT1, ASCT2,SNAT3, TAT1,TMEM27 , SLC7A9 ,SLC3A1 ,URAT1, OAT1,OAT3, OAT4, GLUT9,ABCG2, NPT1
e,6,0.45544554455445546,1.0,0.9900990099009901,1.0,0.039603960396039604,1.0,0.06930693069306931,1.0,0.039603960396039604,0.900990099009901,1.0,1.0,1.0,0.8316831683168316,1.0,1.0,1.0,1.0,0.21782178217821782,0.19801980198019803,0.9603960396039604,0.9900990099009901
m,30,0.31683168316831684,0.07920792079207921,0.7524752475247525,1.0,0.0594059405940594,0.13861386138613863,0.0594059405940594,1.0,0.0594059405940594,0.3069306930693069,1.0,0.9405940594059405,1.0,1.0,0.4158415841584158,0.07920792079207921,0.0891089108910891,1.0,0.6039603960396039,0.019801980198019802,0.19801980198019803,0.9900990099009901
n,15,1.0,1.0,0.7524752475247525,1.0,0.0594059405940594,1.0,0.04950495049504951,1.0,0.0594059405940594,1.0,1.0,1.0,1.0,0.7524752475247525,1.0,1.0,1.0,1.0,0.04950495049504951,0.26732673267326734,1.0,0.9900990099009901
spike,2,0.13861386138613863,0.0297029702970297,0.10891089108910891,1.0,0.0594059405940594,0.009900990099009901,0.019801980198019802,1.0,0.0594059405940594,0.009900990099009901,1.0,0.9900990099009901,1.0,1.0,0.9405940594059405,0.0297029702970297,0.0594059405940594,1.0,0.6732673267326733,0.019801980198019802,0.019801980198019802,0.9900990099009901
nsp1,6,0.13861386138613863,1.0,1.0,1.0,0.15841584158415842,1.0,0.039603960396039604,1.0,0.15841584158415842,0.900990099009901,1.0,1.0,1.0,0.9504950495049505,0.9801980198019802,1.0,1.0,1.0,0.7623762376237624,0.0891089108910891,0.9702970297029703,0.9900990099009901
nsp10,5,0.0297029702970297,0.16831683168316833,0.3069306930693069,1.0,0.04950495049504951,1.0,0.0891089108910891,1.0,0.04950495049504951,0.1188118811881188,1.0,0.5742574257425742,1.0,1.0,0.16831683168316833,0.16831683168316833,0.38613861386138615,1.0,0.48514851485148514,0.13861386138613863,0.0891089108910891,0.9900990099009901
nsp11,1,0.06930693069306931,0.06930693069306931,0.039603960396039604,1.0,0.0891089108910891,0.9603960396039604,0.009900990099009901,1.0,0.0891089108910891,0.12871287128712872,1.0,1.0,1.0,0.9900990099009901,0.9207920792079208,0.06930693069306931,1.0,1.0,0.26732673267326734,0.0297029702970297,0.16831683168316833,0.9900990099009901
nsp12,20,0.7623762376237624,1.0,1.0,1.0,0.0891089108910891,1.0,0.019801980198019802,1.0,0.0891089108910891,0.09900990099009901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26732673267326734,0.297029702970297,1.0,0.9900990099009901
nsp13,40,0.1188118811881188,1.0,1.0,1.0,0.04950495049504951,1.0,0.04950495049504951,1.0,0.04950495049504951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1485148514851485,0.5445544554455446,0.9900990099009901
nsp14,3,0.009900990099009901,0.9801980198019802,0.8217821782178217,1.0,0.0297029702970297,1.0,0.0297029702970297,1.0,0.0297029702970297,0.37623762376237624,1.0,0.009900990099009901,1.0,0.9801980198019802,1.0,0.9801980198019802,1.0,0.4752475247524752,0.7128712871287128,0.09900990099009901,0.7524752475247525,0.9900990099009901
nsp15,3,0.0594059405940594,0.5445544554455446,0.04950495049504951,1.0,0.0297029702970297,1.0,0.0297029702970297,1.0,0.0297029702970297,0.19801980198019803,1.0,1.0,1.0,0.25742574257425743,0.45544554455445546,0.5445544554455446,1.0,1.0,0.15841584158415842,0.04950495049504951,0.1485148514851485,0.9900990099009901
nsp2,7,0.07920792079207921,0.297029702970297,0.9900990099009901,1.0,0.1485148514851485,1.0,0.06930693069306931,1.0,0.1485148514851485,0.1782178217821782,1.0,1.0,1.0,1.0,0.9702970297029703,0.297029702970297,1.0,1.0,0.9900990099009901,0.0297029702970297,0.5742574257425742,0.9900990099009901
