viral,Preys,Megalin,SLC22A12,SLC34A1 ,SLC34A3 ,  SLC6A19 , EAAT3,PAT2,SIT1, B^0AT1, ASCT2,SNAT3, TAT1,TMEM27 , SLC7A9 ,SLC3A1 ,URAT1, OAT1,OAT3, OAT4, GLUT9,ABCG2, NPT1
e,6,0.000401853181993081,7.382391324247943e-05,6.523230790074795e-05,5.389288518259155e-05,6.687457413884211e-05,0.0002239309739445657,6.744949700970505e-05,6.926693663352746e-05,6.687457413884211e-05,0.0004542862610689576,6.410839234753662e-05,0.0001296316534464131,3.873948752459897e-05,9.068631114645785e-05,4.838243212065404e-05,7.382391324247943e-05,0.0001582973579978575,6.429266919373228e-05,8.321570890518057e-05,8.315156313220604e-05,0.00012742439414991494,1.9615513405307137e-05
m,30,0.002096829241409822,0.0005253177609914046,0.0003787396645015336,0.0003702876372469181,0.00031821877629482816,0.0017138526821032036,0.00032171087337746275,0.00034333986521833975,0.00031821877629482816,0.0029094606780962003,0.0003764419511188736,0.0009115236664420525,0.00029966767581907035,0.00037281239026518533,0.000320396757886002,0.0005253177609914046,0.0012327329981156776,0.00037357213085111924,0.00039435130809500153,0.0006462310733530099,0.0007888648791532367,0.00011686731822229294
n,15,0.0016285910345513765,0.0003599052986712808,0.00033078462174745114,0.00019417052849088985,0.0002591359789786704,0.0008937836189504301,0.0002605845739658719,0.0002868423096610047,0.0002591359789786704,0.0019099430873329702,0.00026260401068888293,0.0005400308975282468,0.000156809494040762,0.0004263213191527623,0.0001872235494096852,0.0003599052986712808,0.0006551747236825005,0.0002863468775030929,0.0004358528485017252,0.00037039229164884775,0.0005323421420899396,0.00010903865935624122
spike,2,8.1258103764148e-05,3.015635329420336e-05,1.4018941955562755e-05,1.1906614823098102e-05,1.1769601811563333e-05,0.003321917807504423,9.387605653607145e-06,1.1728044608650538e-05,1.1769601811563333e-05,0.0001380953101828073,1.1887338511805124e-05,2.8093873020710804e-05,9.290627322748492e-06,1.1648037647458773e-05,9.237099255390483e-06,3.015635329420336e-05,5.009192451542978e-05,1.1679286990301962e-05,1.1938797825569963e-05,1.86045232494693e-05,5.487813969900861e-05,4.965251609538494e-06
nsp1,6,0.00037563604766380795,6.536120230341145e-05,5.4524590757799547e-05,3.949944478423368e-05,4.8906108557023894e-05,0.000185831649234976,9.503143966123205e-05,5.798511604339106e-05,4.8906108557023894e-05,0.00038765237049233017,5.608306229232992e-05,0.0001204709848378441,3.3268433570168944e-05,7.546051894079828e-05,4.514386639827361e-05,6.536120230341145e-05,0.0001499955476473851,6.001316266786352e-05,5.930714915336943e-05,9.52789336367174e-05,0.00010779132594029918,1.6536237765689487e-05
nsp10,5,0.0004843646624192776,8.905533769271287e-05,7.143407697597026e-05,5.151307211316017e-05,6.619938389568469e-05,0.0002516808258353591,5.684187039285303e-05,7.350384893883644e-05,6.619938389568469e-05,0.000492249389814369,6.188262214353066e-05,0.0001696653833324509,3.970608227051892e-05,7.975317006492916e-05,6.180019670756218e-05,8.905533769271287e-05,0.00020347879038025942,6.58664914644319e-05,6.813141756135194e-05,8.986767073761061e-05,0.00015476214639121102,2.2475721247621805e-05
nsp11,1,7.083641312560444e-05,1.7842267714367032e-05,1.3221989343265206e-05,8.06536215721863e-06,1.0419625769088057e-05,4.079298489643779e-05,1.2311484845484324e-05,1.2545241362651407e-05,1.0419625769088057e-05,7.969906034305782e-05,1.0199601047201383e-05,2.2963681110910077e-05,6.7446951528594566e-06,1.226043867968598e-05,7.878452768588423e-06,1.7842267714367032e-05,2.7499342062974316e-05,1.0528099842738111e-05,1.1107143110029216e-05,2.3407040221480055e-05,2.1365982376580138e-05,3.3358822559126575e-06
nsp12,20,0.0011524211304889647,0.000214833810148809,0.0001865215642560702,0.00013204624081260483,0.00017382571148998193,0.0006841051931204846,0.00020722549173029717,0.00021630488132581743,0.00017382571148998193,0.0022693310915734466,0.00017689361019207782,0.0003694243943175521,0.0001509940253999244,0.00023688505954880636,0.00013807681353110402,0.000214833810148809,0.00044940345253314834,0.00022120435610254995,0.00023912957807388464,0.00024407860470192005,0.0003696687308285753,5.69620222621916e-05
nsp13,40,0.00405842715927248,0.0005592652242284366,0.0004615844551381158,0.0003646207967823188,0.00044605476007420457,0.0019283542623229372,0.0004498511859972366,0.0006945263347601474,0.00044605476007420457,0.0031334751974051297,0.00044252649228679867,0.000909377101801604,0.0002725773413989195,0.0005795848482708053,0.00031937168707158684,0.0005592652242284366,0.0012261610569232815,0.0005631097944142019,0.0005034823470573238,0.0006309042226635915,0.0010638711793633248,0.0001454238508792495
nsp14,3,0.0031252395020706586,3.1968894988656695e-05,2.857386899017358e-05,2.239852408714356e-05,3.0594085066318815e-05,9.465275283899343e-05,2.7294649068085154e-05,2.946611230919135e-05,3.0594085066318815e-05,0.00020286168261639392,3.3355513269668136e-05,0.0002525318169836642,1.6488880038621747e-05,3.610575490046325e-05,1.9290975745332446e-05,3.1968894988656695e-05,7.384088659011847e-05,3.495852340883668e-05,2.8745456901884813e-05,4.0893516048803404e-05,5.349299150062896e-05,8.121104444202834e-06
