Protien,Distanc_from_covid
covid,0
79877,1
523,1
55823,1
143888,1
56850,1
55829,1
113174,1
55833,1
537,1
9755,1
23065,1
8733,1
10270,1
3615,1
23071,1
8737,1
34,1
23077,1
1063,1
10280,1
10283,1
4140,1
23085,1
131118,1
4139,1
51248,1
90161,1
8754,1
10295,1
8761,1
51199,1
2108,1
79934,1
54850,1
23107,1
23111,1
6728,1
6729,1
6731,1
11340,1
60493,1
64432,1
5714,1
79443,1
79954,1
24149,1
56915,1
23636,1
79956,1
9818,1
3162,1
10844,1
64093,1
23646,1
219743,1
51295,1
23649,1
2150,1
3688,1
617,1
91754,1
286827,1
27243,1
4715,1
2671,1
27248,1
23155,1
2677,1
4218,1
53371,1
162427,1
1662,1
9857,1
8836,1
2181,1
7812,1
23177,1
10890,1
9868,1
4240,1
10897,1
23185,1
151188,1
1173,1
80020,1
4758,1
2200,1
2201,1
60681,1
23195,1
9368,1
2717,1
161,1
51361,1
23203,1
7841,1
166,1
949,1
92840,1
9898,1
64689,1
53938,1
25777,1
9908,1
29880,1
23225,1
10426,1
5817,1
57534,1
1727,1
5318,1
7879,1
10956,1
54477,1
79053,1
5327,1
10960,1
3281,1
54480,1
79571,1
79572,1
152789,1
23765,1
27346,1
2782,1
10463,1
79070,1
7905,1
79586,1
2787,1
5861,1
79078,1
5862,1
79080,1
25831,1
5352,1
23787,1
4015,1
79077,1
51439,1
84720,1
2801,1
2802,1
169714,1
2804,1
64757,1
6902,1
4343,1
84726,1
11001,1
5878,1
26355,1
9978,1
30968,1
9470,1
1786,1
8453,1
6921,1
5898,1
23307,1
6923,1
1291,1
80142,1
8975,1
64784,1
25873,1
89874,1
57106,1
10516,1
83729,1
5910,1
4884,1
6938,1
23325,1
56605,1
10525,1
1312,1
8480,1
7458,1
10531,1
202018,1
23333,1
91942,1
27430,1
9512,1
28969,1
9510,1
23339,1
7468,1
5046,1
5422,1
9518,1
58155,1
7466,1
79666,1
28976,1
94005,1
57142,1
79671,1
11064,1
9529,1
7993,1
50999,1
2876,1
4927,1
4928,1
57153,1
25921,1
51010,1
55621,1
1861,1
23367,1
5447,1
10569,1
5962,1
440138,1
79178,1
126789,1
55116,1
54602,1
10577,1
79699,1
25940,1
124245,1
8021,1
80213,1
5976,1
3416,1
55131,1
8540,1
79709,1
80222,1
11101,1
51552,1
8546,1
11113,1
26986,1
11116,1
23404,1
23408,1
26993,1
79731,1
51574,1
55027,1
64374,1
84858,1
25980,1
55676,1
382,1
25983,1
79745,1
145282,1
148867,1
387,1
57222,1
10632,1
79753,1
29066,1
80777,1
6388,1
80267,1
80273,1
26515,1
22931,1
51091,1
2963,1
26519,1
26520,1
51097,1
55700,1
26521,1
51611,1
22937,1
6046,1
10142,1
55711,1
51103,1
10146,1
5538,1
55206,1
8614,1
51116,1
10157,1
201134,1
196527,1
9136,1
7088,1
7090,1
1459,1
23476,1
1460,1
51125,1
5557,1
5558,1
9648,1
11190,1
9659,1
29110,1
55735,1
5566,1
9662,1
9653,1
56257,1
4363,1
27069,1
22981,1
5576,1
92105,1
5577,1
55755,1
26058,1
64969,1
26574,1
284106,1
55757,1
10193,1
51661,1
90580,1
23509,1
10199,1
55768,1
159195,1
10204,1
2011,1
481,1
9188,1
26092,1
55285,1
2040,1
3066,1
5116,1
10238,1
,1
2,2
131076,2
12,2
16,2
18,2
163859,2
19,2
20,2
22,2
23,2
25,2
27,2
29,2
30,2
31,2
32,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
43,2
47,2
48,2
50,2
51,2
52,2
54,2
55,2
58,2
59,2
60,2
70,2
71,2
72,2
81,2
86,2
87,2
88,2
89,2
91,2
94,2
102,2
103,2
104,2
108,2
116,2
118,2
120,2
124,2
125,2
128,2
196740,2
140,2
142,2
147,2
150,2
154,2
156,2
158,2
160,2
162,2
163,2
164,2
100129271,2
174,2
177,2
178,2
182,2
185,2
187,2
191,2
196,2
203,2
204,2
207,2
208,2
211,2
213,2
214,2
215,2
217,2
218,2
219,2
220,2
221,2
149840,2
223,2
224,2
226,2
230,2
231,2
238,2
240,2
246,2
249,2
250,2
257,2
267,2
271,2
273,2
274,2
196883,2
276,2
277,2
278,2
283,2
285,2
164127,2
287,2
288,2
291,2
292,2
293,2
131368,2
301,2
302,2
304,2
131377,2
307,2
308,2
309,2
310,2
312,2
314,2
318,2
322,2
323,2
324,2
326,2
327,2
328,2
329,2
330,2
331,2
332,2
333,2
335,2
336,2
338,2
347,2
348,2
351,2
353,2
355,2
356,2
358,2
359,2
361,2
363,2
364,2
367,2
368,2
369,2
372,2
373,2
375,2
378,2
131450,2
379,2
381,2
383,2
384,2
388,2
389,2
390,2
391,2
392,2
394,2
396,2
397,2
398,2
400,2
402,2
