gene,entrez,distance
ATP2A2,488,1
ENO3,2027,1
ACTB,60,1
TPM2,7169,1
TPM4,7171,1
CALM3,808,1
TPM1,7168,1
CALM2,805,1
MYL9,10398,1
MYL6,4637,1
TNNC1,7134,2
CKM,1158,1
MYL7,58498,2
MYH11,4629,1
MYLK,4638,2
MYL4,4635,2
TNNI1,7135,2
TPM3,7170,1
MYH6,4624,1
TNNI3,7137,1
CAPZB,832,1
ACTC1,70,1
MYOM2,9172,2
TMOD1,7111,1
TTN,7273,1
MYH8,4626,1
MYO1G,64005,1
TRIM63,84676,1
TNNT3,7140,1
NEB,4703,2
MYL3,4634,2
OBSCN,84033,1
MYH2,4620,1
MYO7A,4647,2
MYO3A,53904,2
MYH7,4625,1
MYH15,22989,2
MYO3B,140469,1
MYO15A,51168,1
MYLK2,85366,2
MYO7B,4648,2
MYO1A,4640,2
MYH4,4622,1
MYH1,4619,1
MYH13,8735,1
MYO1F,4542,1
