gene,entrez,distance
HK2*,3099,1
GPI,2821,1
PFKP,5214,1
ENO2*,2026,1
PKM*,5315,1
LDHA,3939,1
ALDOA,226,1
PGK1,5230,1
BPGM*,669,2
PGD,5226,1
PGLS,25796,1
RBKS,64080,2
DNAJC15*,29103,2
ATP1A1*,476,1
UQCRB,7381,1
IDH1*,3417,1
CDK1*,983,1
ZDHHC14,79683,2
IFITM1*,8519,2
IFITM3*,10410,1
ACAA1,30,1
HMGCS1*,3158,1
ACAT2,39,1
BCKDK,10295,0
MVD,4597,2
FDFT1,2222,1
SQLE*,6713,2
DGAT1,8694,2
MTTP,4547,2
NFKB1*,4790,1
JUN,3725,1
FOXO1*,2308,1
GCLC*,2729,1
HMOX2*,3163,1
IL6*,3569,2
SOD2,6648,1
ERN1,2081,1
EIF2AK2,5610,1
ATF4,468,1
CEBPB,1051,2
DNAJB9,4189,2
