gene,entrez,distance
CD80,941,2
CD86 ,942,2
INFalpha ,3439,2
INF beta ,3456,2
INF g ,3458,2
TNFa,7124,1
IL-2,3558,2
 IL-10 ,3586,2
IL-7 ,3574,2
 IL-6 ,3569,2
 IL-1β ,3553,2
INF-ɑ,3439,2
IP-10 ,3627,2
CTLA-4 ,1493,1
PD-1 ,5133,1
Ki67 ,4288,1
 IL-5 ,3567,2
 IL-13 ,3596,2
IL-22,50616,3
CD64   ,2209,2
CD66b ,1088,2
CRP,1401,1
ferritin l,2512,1
ferritin h,2495,1
LDH a ,3939,1
IL6,3569,2
FAS ,355,1
ACE2 ,59272,1
ITGAM  cd1b,3684,2
CD14,929,2
FCGR3Acd16,2214,2
CD68,968,1
CD163,9332,1
MRC1 cd206,4360,2
PDCD1  PD1,5133,1
IL1B,3553,2
CXCL2 ,2920,2
CXCL8 ,3576,2
GDF11,10220,1
NOG,9241,2
IL10,3586,2
CXCL10,3627,2
TNFSF10,8743,1
NRG1,3084,1
TIMP1,7076,2
C5,727,2
IL18,3606,2
AREG,374,2
CCL4,6351,1
CMTM2,146225,1
IFNG,3458,2
CTSL,1514,1
CTSB,1508,1
DDIT4,54541,2
RRAS,6237,1
CTSD,1509,1
BIRC5,332,1
CTSZ,1522,1
NTRK1,4914,1
IGFBP3,3486,1
CCNB1,891,1
RRM2,6241,2
CCNB2,9133,1
GTSE1,51512,1
CDK1,983,1
STEAP3,55240,2
TP53I3,9540,2
TGFB2,7042,2
CCL3L1,6349,2
CXCL6,6372,2
CCL8,6355,2
SCGB3A1,92304,2
CCL2,6347,2
CXCL1,2919,1
IL33,90865,2
GRN,2896,1
CXCL16,58191,1
IL-8,3576,2
IL-6,3569,2
IL-1β,3553,2
TNF,7124,1
CCL3,6348,1
CCL4 ,6351,1
CCL7,6354,1
CXCL9 ,4283,1
CXCL10 ,3627,2
CXCL11,6373,2
