IFI6,[]
IFI27,[]
IFITM1,[]
MX1,['orf9c']
RN7SK,"['e', 'nsp8']"
ARC,['nsp12']
DKK1,"['nsp4', 'orf8', 'orf9c']"
MT1G,['nsp4']
SAMD9,"['nsp15', 'nsp5_c145a']"
IFIT3,"['n', 'nsp15']"
IFIT2,['n']
NKX3-1,[]
HSPA6,[]
IFIT1,"['n', 'nsp10', 'nsp15']"
IFI44L,"['orf8', 'orf9b']"
RSAD2,"['nsp1', 'nsp11', 'nsp13', 'orf9b']"
ISG15,"['m', 'nsp10', 'nsp11', 'nsp12', 'nsp6', 'nsp7', 'nsp8']"
OAS2,[]
CXCL11,['nsp4']
IFI44,"['nsp11', 'nsp4', 'nsp5_c145a', 'orf3b', 'orf8']"
CXCL10,['nsp4']
SLC34A2,"['m', 'nsp6']"
IFNλ,"['spike', 'nsp11', 'nsp13', 'nsp4', 'nsp7', 'orf9c']"
IFN b1,['nsp10']
IFNL2,[]
CCR1,"['spike', 'nsp15', 'nsp4', 'orf9c']"
CCR8,"['nsp10', 'nsp2', 'orf9c']"
IL16,[]
IL3,"['nsp10', 'nsp11', 'nsp7', 'orf8', 'orf9b']"
CCR2,"['orf6', 'orf7a']"
CCR5,"['nsp4', 'orf3a']"
IL5,"['spike', 'nsp10', 'orf8']"
Megalin,"['nsp10', 'nsp14', 'nsp7', 'nsp9', 'orf3a']"
SLC22A12,"['spike', 'nsp6', 'nsp7', 'orf9b', 'orf9c']"
SLC34A1 ,"['nsp11', 'nsp15', 'nsp7', 'orf9b']"
SLC34A3 ,[]
  SLC6A19 ,"['e', 'nsp10', 'nsp13', 'nsp14', 'nsp15', 'nsp4', 'nsp5', 'nsp6', 'nsp7', 'nsp9', 'orf10', 'orf3a', 'orf3b', 'orf8', 'orf9b']"
 EAAT3,"['spike', 'nsp6', 'nsp7', 'orf3b', 'orf9c']"
PAT2,"['n', 'spike', 'nsp1', 'nsp11', 'nsp12', 'nsp13', 'nsp14', 'nsp15', 'nsp6', 'nsp7', 'nsp8', 'nsp9', 'orf10', 'orf3a', 'orf3b', 'orf7a', 'orf9b']"
SIT1,[]
 ASCT2,"['spike', 'nsp6', 'nsp7', 'orf3a', 'orf3b', 'orf8']"
SNAT3,"['orf6', 'orf9c']"
 TAT1,"['nsp14', 'nsp4', 'orf6', 'orf9c']"
TMEM27 ,[]
 SLC7A9 ,[]
SLC3A1 ,['nsp7']
 OAT1,"['nsp4', 'orf9c']"
