e,"['RN7SK', '  SLC6A19 ', 'MYL9', 'CKM', 'MYLK', 'MYH8', 'NEB', 'IL‐33', 'JUN', 'CD80', 'ACE2 ', 'AREG', 'TGFB2', 'STXBP5']"
m,"['ISG15', 'SLC34A2', ' GLUT9', 'ATP2A2', 'ACTB', 'MYO3B', 'MYO7B', ' IL‐2', 'IL‐13', 'IL‐4', 'LDHA', 'PGD', 'ATP1A1*', 'UQCRB', 'SQLE*', 'DGAT1', 'JUN', 'HMOX2*', 'SOD2', 'CD80', 'IL-7 ', 'PD-1 ', 'CD66b ', 'CD68', 'CTSB', 'RRAS', 'CTSD', 'CCL3']"
n,"['IFIT3', 'IFIT2', 'IFIT1', 'PAT2', ' OAT4', 'MYL4', 'ACAT2', 'JUN', 'EIF2AK2', 'Ki67 ', 'CD163', 'UNC13A', 'Tau']"
spike,"['IFNλ', 'CCR1', 'IL5', 'SLC22A12', ' EAAT3', 'PAT2', ' ASCT2', ' GLUT9', 'ABCG2', 'ACTB', 'TPM1', 'TMOD1', 'MYH2', ' IL‐2', 'IL‐13', 'IL‐4', 'IL‐10', 'IL‐17', 'IL‐22', 'UQCRB', 'ACAA1', 'DGAT1', 'CD80', 'PD-1 ', 'CD66b ', 'NOG', 'TNFSF10', 'NRG1', 'CCL4', 'STEAP3', 'CCL3L1', 'CCL7', 'SNAP25', 'STXBP5']"
nsp1,"['RSAD2', 'PAT2', 'ACTC1', 'NEB', 'MYLK2', 'HK2*', 'CDK1*', 'JUN', 'FOXO1*', 'GDF11', 'IGFBP3', 'CCNB1', 'RRM2', 'CCNB2', 'GRN', 'RAB3A', 'Tau']"
nsp10,"['IFIT1', 'ISG15', 'IFN b1', 'CCR8', 'IL3', 'IL5', 'Megalin', '  SLC6A19 ', 'MYL4', 'TNNI3', 'TNNT3', 'MYO3B', 'IL‐13', 'IL‐33', 'IL‐4', 'PGLS', 'IDH1*', 'ACAT2', 'MVD', 'JUN', 'ERN1', 'CD80', 'CD86 ', 'CTLA-4 ', 'CD66b ', 'ACE2 ', 'FCGR3Acd16', 'TIMP1', 'CCNB2', 'GTSE1', 'RAB3A', 'SNAP25', 'STXBP1', 'Tau']"
nsp11,"['RSAD2', 'ISG15', 'IFI44', 'IFNλ', 'IL3', 'SLC34A1 ', 'PAT2', ' GLUT9', 'ENO3', 'TPM4', 'CALM3', 'TPM1', 'CALM2', 'MYL6', 'MYH11', 'TPM3', 'TNNI3', 'CAPZB', ' IL‐2', 'IL‐6 ', 'IL‐12', 'IL‐13', 'HK2*', 'GPI', 'PFKP', 'ENO2*', 'PKM*', 'LDHA', 'ALDOA', 'PGK1', 'PGD', 'PGLS', 'RBKS', 'ATP1A1*', 'UQCRB', 'IDH1*', 'ACAA1', 'ACAT2', 'MVD', 'FOXO1*', 'SOD2', 'ERN1', 'DNAJB9', 'CD80', 'FAS ', 'ITGAM  cd1b', 'TNFSF10', 'NRG1', 'C5', 'CTSB', 'CTSD', 'CCNB1', 'CCNB2', 'GRN', 'RAB3A', 'SNAP25', 'SNCA', 'STXBP1', 'Syp', 'Caspase 3']"
nsp12,"['ARC', 'ISG15', 'PAT2', 'IKKβ,', 'TNF‐α', ' IL‐2', 'IL‐13', 'IL‐17', 'ACAA1', 'JUN', 'ACE2 ', 'TNFSF10', 'AREG', 'GTSE1', 'Caspase 3']"
nsp13,"['RSAD2', 'IFNλ', '  SLC6A19 ', 'PAT2', 'ENO3', 'CALM3', 'TPM1', 'CALM2', 'MYL6', 'TNNI3', 'TNNT3', 'MYO15A', 'IKKβ,', 'IL‐13', 'RBKS', 'HMGCS1*', 'NFKB1*', 'JUN', 'CCNB1', 'CCNB2', 'GTSE1', 'Tau', 'Caspase 3']"
nsp14,"['Megalin', '  SLC6A19 ', 'PAT2', ' TAT1', 'MYH11', 'MYH6', 'IL‐6 ', 'GPI', 'PFKP', 'ENO2*', 'LDHA', 'PGK1', 'PGD', 'IDH1*', 'ACAA1', 'ACAT2', 'BCKDK', 'MVD', 'FOXO1*', 'GCLC*', 'SOD2', 'TNFSF10', 'CTSL', 'CTSD', 'BIRC5', 'IGFBP3', 'CCNB2', 'Caspase 3']"
nsp15,"['SAMD9', 'IFIT3', 'IFIT1', 'CCR1', 'SLC34A1 ', '  SLC6A19 ', 'PAT2', ' GLUT9', 'MYL6', 'TNNI3', 'MYO1G', 'IL‐12', 'PFKP', 'ENO2*', 'BPGM*', 'PGD', 'PGLS', 'RBKS', 'IDH1*', 'ACAA1', 'ACAT2', 'JUN', 'FOXO1*', 'GCLC*', 'SOD2', 'CD80', 'CTLA-4 ', 'PD-1 ', 'ACE2 ', 'TNFSF10', 'NRG1', 'BIRC5', 'IGFBP3', 'CCNB2', 'RAB3A', 'SNAP25', 'STXBP1', 'Caspase 3']"
nsp2,"['CCR8', ' GLUT9', 'ATP2A2', 'MYO1G', ' IL‐2', 'IL‐13', 'IL‐4', 'UQCRB', 'MVD', 'FOXO1*', 'HMOX2*', 'FAS ', 'ACE2 ', 'IL18', 'RRAS', 'CTSD', 'CCNB2', 'SNAP25', 'STXBP1', 'STXBP5']"
nsp4,"['DKK1', 'MT1G', 'CXCL11', 'IFI44', 'CXCL10', 'IFNλ', 'CCR1', 'CCR5', '  SLC6A19 ', ' TAT1', ' OAT1', 'ENO3', 'MYLK2', 'IL‐13', 'IL‐4', 'ENO2*', 'LDHA', 'PGD', 'PGLS', 'RBKS', 'UQCRB', 'IDH1*', 'ACAT2', 'MVD', 'SQLE*', 'JUN', 'HMOX2*', 'ERN1', 'PD-1 ', 'ferritin h', 'FAS ', 'ACE2 ', 'CXCL2 ', 'NRG1', 'C5', 'CCL4', 'CTSB', 'CTSD', 'IGFBP3', 'STEAP3', 'TGFB2', 'CCL3L1', 'CXCL6', 'CCL8', 'CCL2', 'CCL3', 'SNAP25', 'STXBP1', 'Caspase 3']"
nsp5,"['  SLC6A19 ', 'ACTB', 'MYH13', 'IL‐6 ', 'IL‐33', 'PKM*', 'NFKB1*', 'JUN', 'FOXO1*', 'Ki67 ', 'CD14']"
nsp5_c145a,"['SAMD9', 'IFI44', 'CAPZB', 'MYO3B', 'PFKP', 'ENO2*', 'ALDOA', 'PGK1', 'PGD', 'PGLS', 'UQCRB', 'IDH1*', 'ACAA1', 'ACAT2', 'SOD2', 'ERN1', 'GDF11', 'NOG', 'CTSB', 'CTSD', 'SNCA', 'Caspase 3']"
nsp6,"['ISG15', 'SLC34A2', 'SLC22A12', '  SLC6A19 ', ' EAAT3', 'PAT2', ' ASCT2', ' GLUT9', 'ABCG2', 'ATP2A2', 'TPM4', 'TPM3', 'MYO1G', 'OBSCN', 'IL‐6 ', 'IL‐13', 'IL‐4', 'HK2*', 'ATP1A1*', 'UQCRB', 'IFITM3*', 'ACAA1', 'ACAT2', 'BCKDK', 'FDFT1', 'SQLE*', 'DGAT1', 'HMOX2*', 'SOD2', 'ERN1', 'ACE2 ', 'NRG1', 'TIMP1', 'AREG', 'CTSB', 'CTSD', 'STEAP3', 'SNAP25', 'SNCA', 'STXBP5']"
nsp7,"['ISG15', 'IFNλ', 'IL3', 'Megalin', 'SLC22A12', 'SLC34A1 ', '  SLC6A19 ', ' EAAT3', 'PAT2', ' ASCT2', 'SLC3A1 ', ' GLUT9', 'ABCG2', 'ATP2A2', 'ACTB', 'CALM3', 'CALM2', 'MYO1G', 'MYH15', ' IL‐2', 'IL‐13', 'IL‐4', 'ENO2*', 'PKM*', 'LDHA', 'DNAJC15*', 'ATP1A1*', 'UQCRB', 'FDFT1', 'MTTP', 'JUN', 'HMOX2*', 'CD80', 'CD86 ', 'CTLA-4 ', 'Ki67 ', 'FAS ', 'CTSD', 'CCL3', 'RAB27A', 'RAB3A', 'RIMS1', 'RPH3A', 'SNCA', 'Tau']"
nsp8,"['RN7SK', 'ISG15', 'PAT2', 'IL‐12', 'JUN', 'Ki67 ', 'Tau']"
nsp9,"['Megalin', '  SLC6A19 ', 'PAT2', 'OBSCN', 'MYO1A', 'IL‐6 ', 'PGD', 'JUN', 'GCLC*', 'ERN1', 'ATF4', 'CXCL2 ', 'TIMP1', 'TGFB2', 'CXCL6', 'CCL8', 'CCL2']"
orf10,"['  SLC6A19 ', 'PAT2', 'ACTB', 'MYL6', 'CKM', ' IL‐2', 'IL‐6 ', 'IL‐4', 'ENO2*', 'LDHA', 'ATP1A1*', 'JUN', 'IL-7 ', 'ACE2 ', 'TNFSF10', 'CTSD', 'CXCL1', 'Tau']"
orf3a,"['CCR5', 'Megalin', '  SLC6A19 ', 'PAT2', ' ASCT2', 'ABCG2', 'TNNI3', 'TTN', 'OBSCN', 'IL‐13', 'RBKS', 'FDFT1', 'DGAT1', 'ERN1', 'CD80', 'Ki67 ', 'FAS ', 'NOG', 'TNFSF10', 'NRG1', 'CMTM2', 'STEAP3', 'SNAP25', 'STX1A', 'STXBP1', 'STXBP5', 'Caspase 3']"
orf3b,"['IFI44', '  SLC6A19 ', ' EAAT3', 'PAT2', ' ASCT2', ' GLUT9', 'ABCG2', 'ATP2A2', 'ENO3', 'ACTB', 'TPM4', 'TPM1', 'MYL6', 'MYH11', 'MYO1G', 'MYO7A', 'IL‐13', 'GPI', 'LDHA', 'ALDOA', 'PGK1', 'PGD', 'ATP1A1*', 'UQCRB', 'IDH1*', 'CDK1*', 'IFITM3*', 'ACAA1', 'ACAT2', 'MVD', 'FDFT1', 'JUN', 'HMOX2*', 'SOD2', 'Ki67 ', 'SNCA']"
orf6,"['CCR2', 'SNAT3', ' TAT1', 'ATP2A2', 'ENO3', 'CKM', 'TPM3', 'TMOD1', 'HK2*', 'ALDOA', 'PGK1', 'PGD', 'ATP1A1*', 'UQCRB', 'IDH1*', 'ACAT2', 'JUN', 'SOD2', 'CD80', 'PD-1 ', 'FAS ', 'CD68', 'NRG1', 'CTSD', 'RRM2', 'TGFB2', 'UNC13A', 'RAB3A']"
orf7a,"['CCR2', 'PAT2', 'ATP2A2', 'MYLK2', 'IL‐13', 'PFKP', 'PKM*', 'ACAT2', 'BCKDK', 'JUN', 'DNAJB9', 'CD80', 'Ki67 ', 'FAS ', 'ACE2 ', 'CD68', 'NRG1', 'IL18', 'STEAP3', 'Tau']"
orf8,"['DKK1', 'IFI44L', 'IFI44', 'IL3', 'IL5', '  SLC6A19 ', ' ASCT2', ' GLUT9', 'MYH15', 'MYO1F', 'TNF‐α', 'IL‐1β', ' IL‐2', 'IL‐6 ', 'IL‐12', 'IL‐13', 'IL‐33', 'IL‐4', 'IL‐10', 'IL‐17', 'HK2*', 'MTTP', 'SOD2', 'ERN1', 'CD80', 'CRP', 'ACE2 ', 'MRC1 cd206', 'GDF11', 'NOG', 'NRG1', 'TIMP1', 'CTSD', 'IGFBP3', 'CCNB2', 'TGFB2', 'CCL7', 'SNCA']"
orf9b,"['IFI44L', 'RSAD2', 'IL3', 'SLC22A12', 'SLC34A1 ', '  SLC6A19 ', 'PAT2', 'ABCG2', 'ENO3', 'TNNC1', 'CKM', 'TNNI3', 'CAPZB', 'IKKβ,', 'IL‐6 ', 'IL‐33', 'IL‐4', 'HK2*', 'PKM*', 'PGD', 'ACAT2', 'MVD', 'JUN', 'GCLC*', 'ERN1', 'CD80', 'CTLA-4 ', 'ACE2 ', 'TNFSF10', 'CTSB', 'DDIT4', 'IGFBP3', 'CCNB2', 'TGFB2', 'RIMS1', 'SNAP25', 'STXBP5', 'Tau']"
orf9c,"['MX1', 'DKK1', 'IFNλ', 'CCR1', 'CCR8', 'SLC22A12', ' EAAT3', 'SNAT3', ' TAT1', ' OAT1', ' OAT4', ' GLUT9', 'ATP2A2', 'ACTB', 'MYH6', 'MYH15', ' IL‐2', 'IL‐13', 'IL‐4', 'IL‐10', 'IL‐17', 'IL‐22', 'SQLE*', 'DGAT1', 'HMOX2*', 'ERN1', 'DNAJB9', 'CD80', 'IL-7 ', 'PD-1 ', 'FAS ', 'ACE2 ', 'NOG', 'NRG1', 'C5', 'CCL4', 'CMTM2', 'CCL3', 'CXCL9 ', 'RAB3A', 'STXBP5']"
