viral,Preys,"IKKβ,",IFNλ,TNF‐α,IL‐1β, IL‐2,IL‐6 ,IL‐8 ,IL‐12,IL‐13,IL‐33,IL‐4,IL‐5,IL‐10,IL‐17,IL‐22
e,6,0.2615152819629789,0.2615152819629789,0.44108910891089115,0.23093670623606866,0.23093670623606866,0.24245912963389363,1.0,0.274872245289045,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.23093670623606866,1.0,1.0,1.0
m,30,0.6121032664014063,0.24245912963389363,1.0,0.23093670623606866,0.23093670623606866,0.23703848217334048,1.0,0.23093670623606866,0.23093670623606866,0.6828004781902339,0.23093670623606866,0.23093670623606866,1.0,0.23093670623606866,0.5526466108149276
n,15,0.3437057991513437,0.23093670623606866,0.5432769083359948,0.30958794408852647,0.23703848217334048,0.24245912963389363,1.0,0.9670937682003495,0.23703848217334048,0.23093670623606866,0.23093670623606866,0.24245912963389363,1.0,1.0,1.0
spike,2,0.44995588667777675,0.23093670623606866,0.5526466108149276,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.24245912963389363,0.32196285321962853,0.23093670623606866,0.5710302042862515,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.23093670623606866
nsp1,6,0.23093670623606866,0.23093670623606866,0.8429221300508427,0.2992463425447023,0.23093670623606866,0.24245912963389363,1.0,0.23093670623606866,0.24245912963389363,0.2528766390152529,0.23093670623606866,0.2615152819629789,1.0,1.0,1.0
nsp10,5,0.274872245289045,0.23703848217334048,0.29303122619954297,0.23703848217334048,0.23093670623606866,0.23093670623606866,1.0,0.29303122619954297,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.23093670623606866,1.0,0.5636921519628002,0.2992463425447023
nsp11,1,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.37205266918444413,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.23093670623606866,1.0,0.23093670623606866,0.4064088841316564
nsp12,20,0.23093670623606866,0.3620049504950495,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.23093670623606866,1.0,0.5710302042862515,0.23093670623606866,0.30958794408852647,0.23093670623606866,0.2528766390152529,1.0,0.23093670623606866,1.0
nsp13,40,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.29303122619954297,0.23093670623606866,0.23093670623606866,1.0,0.46166623241271487,0.23093670623606866,0.5710302042862515,0.23093670623606866,0.2615152819629789,1.0,1.0,0.23093670623606866
nsp14,3,0.23093670623606866,0.23093670623606866,0.42915328322129875,0.24245912963389363,0.23703848217334048,0.23093670623606866,1.0,0.23093670623606866,0.23093670623606866,0.29303122619954297,0.23093670623606866,0.23093670623606866,1.0,0.7701943974885294,1.0
