viral,Preys,IFI6,IFI27,IFITM1,MX1,RN7SK,ARC,DKK1,MT1G,SAMD9,IFIT3,IFIT2,NKX3-1,HSPA6,IFIT1,IFI44L,RSAD2,ISG15,OAS2,CXCL11,IFI44,CXCL10,SLC34A2,IFNλ,IFN b1,IFNL2,CCR1,CCR8,IL16,IL3,CCR2,CCR5,IL5
e,6,0.6994208854847749,1.0,1.0,1.0,0.5968224729449689,1.0,1.0,1.0,0.6868540868685409,0.7003647733194375,0.7195336356065513,1.0,1.0,0.7195336356065513,1.0,1.0,1.0,0.9571418680329571,1.0,1.0,1.0,1.0,0.7011848725856192,1.0,1.0,1.0,1.0,1.0,0.6843564356435643,1.0,1.0,0.6843564356435643
m,30,1.0,1.0,1.0,1.0,1.0,1.0,0.6868540868685409,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6843564356435643,0.47524752475247517,1.0,1.0,0.6843564356435643,1.0,0.47524752475247517,0.6994208854847749,1.0,1.0,0.9892907658112751,0.7933567550303416,1.0,0.6994208854847749,1.0,0.6843564356435643,0.6868540868685409
n,15,1.0,1.0,1.0,1.0,0.6843564356435643,1.0,1.0,1.0,0.7003647733194375,0.47524752475247517,0.6683168316831685,1.0,1.0,0.47524752475247517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6843564356435643,1.0,1.0,1.0,1.0,1.0,0.6843564356435643,1.0,1.0,0.6994208854847749
spike,2,0.6843564356435643,1.0,1.0,1.0,1.0,0.6868540868685409,0.9087150473289087,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7744774477447746,1.0,1.0,1.0,1.0,1.0,0.7374530556503927,0.5968224729449689,1.0,1.0,0.47524752475247517,1.0,1.0,0.6843564356435643,0.9087150473289087,0.6843564356435643,0.6683168316831685
nsp1,6,0.7612015438832018,1.0,1.0,1.0,0.6843564356435643,1.0,0.7374530556503927,1.0,0.7166035975325281,1.0,1.0,1.0,1.0,1.0,1.0,0.47524752475247517,1.0,1.0,1.0,1.0,1.0,1.0,0.6843564356435643,1.0,1.0,1.0,1.0,1.0,0.7195336356065513,1.0,1.0,0.7011848725856192
nsp10,5,0.7003647733194375,1.0,1.0,1.0,0.7195336356065513,1.0,0.8904265891273142,1.0,0.7374530556503927,0.7612015438832018,0.8815660191973395,1.0,0.6843564356435643,0.47524752475247517,1.0,1.0,0.47524752475247517,1.0,1.0,1.0,1.0,1.0,0.6994208854847749,0.5968224729449689,1.0,0.7195336356065513,0.5968224729449689,1.0,0.5968224729449689,1.0,0.9231426739796281,0.5968224729449689
nsp11,1,0.6843564356435643,1.0,1.0,0.7166035975325281,0.7374530556503927,1.0,0.7011848725856192,1.0,0.6994208854847749,0.6994208854847749,0.6994208854847749,1.0,0.841973961175645,0.6843564356435643,0.6868540868685409,0.6683168316831685,0.5968224729449689,0.6843564356435643,1.0,0.6683168316831685,1.0,1.0,0.5968224729449689,1.0,1.0,0.7011848725856192,1.0,1.0,0.5968224729449689,1.0,0.7003647733194375,0.6843564356435643
nsp12,20,0.7166035975325281,1.0,1.0,1.0,0.9571418680329571,0.6683168316831685,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7195336356065513,0.47524752475247517,1.0,1.0,1.0,1.0,1.0,0.8587484231048587,1.0,1.0,1.0,1.0,1.0,0.7195336356065513,1.0,1.0,0.7003647733194375
nsp13,40,1.0,1.0,1.0,1.0,1.0,0.7933567550303416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5968224729449689,1.0,1.0,1.0,1.0,1.0,1.0,0.6683168316831685,1.0,1.0,1.0,1.0,0.9801980198019803,0.7195336356065513,1.0,1.0,0.7011848725856192
nsp14,3,0.6843564356435643,0.7011848725856192,1.0,1.0,0.7003647733194375,1.0,0.9892907658112751,1.0,0.817955899175575,1.0,1.0,1.0,0.8904265891273142,1.0,0.9801980198019803,0.841973961175645,1.0,0.817955899175575,1.0,1.0,1.0,1.0,0.6843564356435643,1.0,1.0,1.0,1.0,1.0,0.6843564356435643,1.0,1.0,0.6843564356435643
