viral,Preys,HK2*,GPI,PFKP,ENO2*,PKM*,LDHA,ALDOA,PGK1,BPGM*,PGD,PGLS,RBKS,DNAJC15*,ATP1A1*,UQCRB,IDH1*,CDK1*,ZDHHC14,IFITM1*,IFITM3*,ACAA1,HMGCS1*,ACAT2,BCKDK,MVD,FDFT1,SQLE*,DGAT1,MTTP,NFKB1*,JUN,FOXO1*,GCLC*,HMOX2*,IL6*,SOD2,ERN1,EIF2AK2,ATF4,CEBPB,DNAJB9
e,6,0.6980198019801982,0.782885431400283,0.32578671879926857,0.4398821153018312,0.3418447107868681,0.3334806097242584,0.3793215387112481,0.31153580474326503,0.28206901572510196,0.32578671879926857,0.8061194506547429,0.4398821153018312,1.0,0.4981998199819982,0.3334806097242584,0.2962269199892962,0.43018619268070146,0.7239363302248324,0.6756408517564086,1.0,0.32578671879926857,0.2962269199892962,0.3334806097242584,0.5179455445544555,0.4506741792600312,1.0,1.0,1.0,0.7080740375518036,0.5179455445544555,0.2149097262667443,0.2962269199892962,0.6320340894848979,1.0,0.32019134497719437,0.3116700295621979,0.3334806097242584,0.32578671879926857,0.28206901572510196,0.29034161694315125,1.0
m,30,0.3528915391539154,0.29034161694315125,0.5835030985112898,0.4727327365324391,0.3418447107868681,0.2149097262667443,0.28206901572510196,0.5179455445544555,1.0,0.24538200088665582,0.29034161694315125,0.2962269199892962,1.0,0.2149097262667443,0.25196312734721743,0.3793215387112481,0.735500260552371,1.0,1.0,0.3528915391539154,0.3334806097242584,1.0,0.3418447107868681,0.32578671879926857,0.31153580474326503,0.46186433878395944,0.25196312734721743,0.25196312734721743,0.8674685307726753,1.0,0.2149097262667443,0.843107387661843,0.3418447107868681,0.2149097262667443,0.3116700295621979,0.2149097262667443,0.3011097813078011,1.0,1.0,1.0,0.9279353702241391
n,15,1.0,0.911099918924895,0.7179938582093502,0.6756408517564086,0.32578671879926857,0.8248257223681551,0.8248257223681551,0.6756408517564086,1.0,0.4981998199819982,1.0,0.4398821153018312,1.0,1.0,0.5258360918550626,0.5718467498923806,0.3116700295621979,1.0,1.0,1.0,0.43018619268070146,1.0,0.24538200088665582,1.0,0.4981998199819982,1.0,1.0,1.0,1.0,1.0,0.2149097262667443,0.5074257425742574,0.31153580474326503,1.0,0.32019134497719437,0.5835030985112898,0.43018619268070146,0.2149097262667443,0.5835030985112898,0.4981998199819982,1.0
spike,2,1.0,1.0,1.0,1.0,0.28206901572510196,1.0,0.5472150739303006,1.0,1.0,0.7239363302248324,1.0,0.3793215387112481,1.0,0.2962269199892962,0.25196312734721743,0.6980198019801982,0.6661014167715115,0.31153580474326503,1.0,1.0,0.2149097262667443,1.0,0.7080740375518036,1.0,0.9019777289449644,1.0,0.3011097813078011,0.2149097262667443,0.2751563859314802,1.0,0.5074257425742574,0.6564025483328276,0.403804064616988,0.32578671879926857,0.2962269199892962,0.43018619268070146,0.3011097813078011,1.0,1.0,1.0,0.2962269199892962
nsp1,6,0.24538200088665582,0.7469732556479763,0.3116700295621979,0.5718467498923806,0.3528915391539154,0.3418447107868681,0.403804064616988,0.29034161694315125,1.0,0.3116700295621979,0.7179938582093502,0.4186262376237624,1.0,0.3334806097242584,0.9279353702241391,0.3116700295621979,0.24538200088665582,0.4981998199819982,1.0,1.0,0.3418447107868681,0.7239363302248324,0.32578671879926857,1.0,0.29034161694315125,1.0,1.0,1.0,1.0,1.0,0.24538200088665582,0.263471058644326,0.5835030985112898,1.0,0.32019134497719437,0.31153580474326503,0.31153580474326503,1.0,0.32578671879926857,0.28206901572510196,1.0
nsp10,5,0.32019134497719437,0.31153580474326503,0.29034161694315125,0.28206901572510196,0.32019134497719437,0.3116700295621979,0.28206901572510196,0.31153580474326503,1.0,0.2751563859314802,0.263471058644326,0.3116700295621979,1.0,0.28206901572510196,0.29034161694315125,0.25196312734721743,0.32019134497719437,0.5472150739303006,1.0,1.0,0.2751563859314802,1.0,0.25196312734721743,0.5258360918550626,0.263471058644326,1.0,1.0,1.0,0.6887680571335821,0.6097795228880949,0.2149097262667443,0.29034161694315125,0.32019134497719437,0.5179455445544555,0.31153580474326503,0.2751563859314802,0.25196312734721743,0.6564025483328276,0.32578671879926857,0.3914427157001415,1.0
nsp11,1,0.24538200088665582,0.24538200088665582,0.25196312734721743,0.2149097262667443,0.2149097262667443,0.24538200088665582,0.24538200088665582,0.2149097262667443,0.36602435753779455,0.24538200088665582,0.24538200088665582,0.25196312734721743,0.5984124274496414,0.25196312734721743,0.2149097262667443,0.24538200088665582,0.2751563859314802,0.7603416100772381,1.0,1.0,0.24538200088665582,0.4506741792600312,0.24538200088665582,0.32578671879926857,0.24538200088665582,1.0,1.0,0.772664994959026,0.5258360918550626,0.3011097813078011,0.2751563859314802,0.24538200088665582,0.31153580474326503,0.3116700295621979,0.263471058644326,0.2149097262667443,0.24538200088665582,0.32578671879926857,0.3418447107868681,0.2751563859314802,0.25196312734721743
nsp12,20,1.0,0.6661014167715115,0.8139602692663632,0.4506741792600312,0.3116700295621979,0.2962269199892962,1.0,0.4398821153018312,1.0,0.32578671879926857,0.7930002302555837,0.5592038795716305,1.0,1.0,0.843107387661843,0.32019134497719437,0.3334806097242584,1.0,1.0,1.0,0.263471058644326,1.0,0.2962269199892962,0.6209856113090064,0.6209856113090064,1.0,1.0,1.0,1.0,1.0,0.2149097262667443,0.32019134497719437,1.0,1.0,0.31153580474326503,0.3528915391539154,0.2751563859314802,1.0,0.5074257425742574,0.2962269199892962,1.0
nsp13,40,1.0,0.6980198019801982,0.911099918924895,0.6320340894848979,0.2751563859314802,1.0,1.0,0.8139602692663632,1.0,0.31153580474326503,1.0,0.263471058644326,1.0,0.9513302185964317,1.0,1.0,0.43018619268070146,1.0,1.0,1.0,0.46186433878395944,0.25196312734721743,0.403804064616988,1.0,1.0,1.0,1.0,1.0,1.0,0.2149097262667443,0.2149097262667443,0.2751563859314802,0.9201320132013202,1.0,0.2751563859314802,0.29034161694315125,0.3418447107868681,1.0,0.403804064616988,0.5074257425742574,1.0
nsp14,3,0.3914427157001415,0.24538200088665582,0.263471058644326,0.263471058644326,0.32019134497719437,0.24538200088665582,0.2751563859314802,0.263471058644326,1.0,0.2149097262667443,0.29034161694315125,0.3793215387112481,1.0,0.28206901572510196,0.3334806097242584,0.24538200088665582,0.3011097813078011,1.0,1.0,1.0,0.263471058644326,0.4727327365324391,0.24538200088665582,0.25196312734721743,0.2149097262667443,1.0,1.0,1.0,1.0,0.28206901572510196,0.28206901572510196,0.25196312734721743,0.25196312734721743,0.4186262376237624,0.24538200088665582,0.24538200088665582,0.3011097813078011,1.0,0.6564025483328276,0.3116700295621979,1.0
