viral,Preys,CD80,CD86 ,INFalpha ,INF beta ,INF g ,TNFa,IL-2, IL-10 ,IL-7 , IL-6 , IL-1β ,INF-ɑ,IP-10 ,CTLA-4 ,PD-1 ,Ki67 , IL-5 , IL-13 ,IL-22,CD64   ,CD66b ,CRP,ferritin l,ferritin h,LDH a ,IL6,FAS ,ACE2 ,ITGAM  cd1b,CD14,FCGR3Acd16,CD68,CD163,MRC1 cd206,PDCD1  PD1,IL1B,CXCL2 ,CXCL8 ,GDF11,NOG,IL10,CXCL10,TNFSF10,NRG1,TIMP1,C5,IL18,AREG,CCL4,CMTM2,IFNG,CTSL,CTSB,DDIT4,RRAS,CTSD,BIRC5,CTSZ,NTRK1,IGFBP3,CCNB1,RRM2,CCNB2,GTSE1,CDK1,STEAP3,TP53I3,TGFB2,CCL3L1,CXCL6,CCL8,SCGB3A1,CCL2,CXCL1,IL33,GRN,CXCL16,IL-8,IL-6,IL-1β,TNF,CCL3,CCL4 ,CCL7,CXCL9 ,CXCL10 ,CXCL11
e,6,0.3932414980628498,0.497865382868562,1.0,1.0,0.4244055792440558,0.671474234037577,0.3972541664104299,1.0,0.45852537060935006,0.40637975087831363,0.396208275001265,1.0,1.0,0.3932414980628498,1.0,0.4137280309987798,0.396208275001265,0.3932414980628498,1.0,1.0,0.5693908373888237,1.0,1.0,1.0,0.4244055792440558,0.40637975087831363,0.3932414980628498,0.3932414980628498,1.0,0.3972541664104299,0.803299244398124,1.0,0.3956839918396376,1.0,1.0,0.396208275001265,1.0,1.0,1.0,0.45852537060935006,1.0,1.0,0.3932414980628498,1.0,0.4432469031656529,1.0,1.0,0.3932414980628498,1.0,1.0,0.4244055792440558,0.3956839918396376,1.0,0.7029446467962858,0.5835971143582759,0.3956839918396376,0.396208275001265,1.0,1.0,0.45852537060935006,0.3972541664104299,0.3956839918396376,0.3956839918396376,1.0,0.5259791465872251,0.5985366919044847,0.396208275001265,0.3932414980628498,1.0,1.0,1.0,1.0,1.0,1.0,0.3932414980628498,1.0,1.0,1.0,0.40637975087831363,0.396208275001265,0.671474234037577,1.0,1.0,1.0,1.0,1.0,1.0
m,30,0.3932414980628498,0.7107532484997225,0.45852537060935006,1.0,0.40637975087831363,1.0,0.3932414980628498,1.0,0.3932414980628498,0.4033079608538888,0.3956839918396376,0.45852537060935006,0.7107532484997225,0.3956839918396376,0.3932414980628498,1.0,0.3972541664104299,0.3932414980628498,0.8177181577519975,1.0,0.3932414980628498,1.0,1.0,0.4137280309987798,0.3932414980628498,0.4033079608538888,0.6131503150315031,0.3956839918396376,1.0,1.0,1.0,0.3932414980628498,1.0,1.0,0.3932414980628498,0.3956839918396376,1.0,1.0,1.0,0.4137280309987798,1.0,0.7107532484997225,0.4033079608538888,0.40637975087831363,0.3932414980628498,1.0,1.0,0.6285790741236286,1.0,1.0,0.40637975087831363,1.0,0.3932414980628498,1.0,0.3932414980628498,0.3932414980628498,1.0,0.396208275001265,1.0,0.9243809913582773,1.0,0.47059753898712536,0.45852537060935006,1.0,0.9376511564199899,0.3972541664104299,1.0,0.396208275001265,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4033079608538888,0.3956839918396376,1.0,0.3932414980628498,1.0,1.0,1.0,0.7107532484997225,0.9834776743140251
n,15,0.3932414980628498,1.0,1.0,1.0,0.3956839918396376,0.803299244398124,0.4033079608538888,1.0,0.9515233191297101,0.40637975087831363,0.497865382868562,1.0,1.0,0.6408712871287129,1.0,0.3932414980628498,0.40637975087831363,0.4033079608538888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40637975087831363,0.9376511564199899,0.43119213427715886,1.0,1.0,1.0,1.0,0.3932414980628498,1.0,1.0,0.497865382868562,1.0,1.0,1.0,0.4137280309987798,1.0,1.0,0.3972541664104299,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3956839918396376,0.4244055792440558,1.0,1.0,1.0,0.6574537312388483,1.0,1.0,1.0,1.0,0.8474365655189002,0.5419205998269729,0.5259791465872251,1.0,0.4033079608538888,1.0,1.0,0.7432987201159138,1.0,1.0,1.0,1.0,1.0,1.0,0.3972541664104299,1.0,1.0,1.0,0.40637975087831363,0.497865382868562,0.803299244398124,1.0,1.0,1.0,1.0,1.0,1.0
spike,2,0.3932414980628498,0.4432469031656529,1.0,1.0,0.3932414980628498,0.8177181577519975,0.3932414980628498,0.3932414980628498,0.3932414980628498,0.3956839918396376,0.3972541664104299,1.0,1.0,0.396208275001265,0.3932414980628498,0.7746020230665865,0.3932414980628498,0.3932414980628498,0.3932414980628498,0.5835971143582759,0.3932414980628498,1.0,1.0,1.0,1.0,0.3956839918396376,0.3972541664104299,0.3956839918396376,1.0,0.9834776743140251,0.396208275001265,0.8627754710954967,1.0,1.0,0.3932414980628498,0.3972541664104299,1.0,0.40637975087831363,0.5419205998269729,0.3932414980628498,0.3932414980628498,1.0,0.3932414980628498,0.3932414980628498,0.396208275001265,0.5259791465872251,0.75966465993333,0.396208275001265,0.3932414980628498,1.0,0.3932414980628498,1.0,0.8627754710954967,1.0,0.9376511564199899,0.497865382868562,1.0,1.0,1.0,0.40637975087831363,0.7107532484997225,1.0,0.3932414980628498,0.8627754710954967,0.8326499045347986,0.3932414980628498,0.5835971143582759,0.40637975087831363,0.3932414980628498,0.7029446467962858,1.0,0.6408712871287129,0.7887133626514017,1.0,0.8474365655189002,1.0,1.0,0.40637975087831363,0.3956839918396376,0.3972541664104299,0.8177181577519975,0.43119213427715886,0.3932414980628498,0.3932414980628498,1.0,1.0,1.0
nsp1,6,0.3972541664104299,1.0,1.0,1.0,0.3932414980628498,1.0,0.396208275001265,1.0,0.45852537060935006,0.40637975087831363,0.484025509730994,1.0,1.0,0.5419205998269729,1.0,0.3932414980628498,0.4244055792440558,0.40637975087831363,1.0,1.0,1.0,1.0,1.0,1.0,0.43119213427715886,0.40637975087831363,0.43119213427715886,0.3956839918396376,1.0,1.0,0.967538119589039,0.6858217478295965,1.0,1.0,1.0,0.484025509730994,1.0,1.0,0.3932414980628498,0.3956839918396376,1.0,1.0,0.43119213427715886,1.0,1.0,1.0,1.0,0.671474234037577,1.0,1.0,0.3932414980628498,1.0,0.5419205998269729,0.47059753898712536,0.5693908373888237,0.45852537060935006,0.4432469031656529,1.0,0.4137280309987798,0.3932414980628498,0.3932414980628498,0.3932414980628498,0.3932414980628498,0.3956839918396376,0.3932414980628498,0.5985366919044847,1.0,0.396208275001265,1.0,1.0,1.0,1.0,0.4432469031656529,1.0,0.4137280309987798,0.3932414980628498,1.0,1.0,0.40637975087831363,0.484025509730994,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nsp10,5,0.3932414980628498,0.3932414980628498,0.3932414980628498,0.3932414980628498,0.4033079608538888,0.47059753898712536,0.396208275001265,1.0,0.40637975087831363,0.3972541664104299,0.4033079608538888,0.3932414980628498,1.0,0.3932414980628498,0.4137280309987798,0.7107532484997225,0.3932414980628498,0.3932414980628498,0.484025509730994,1.0,0.3932414980628498,1.0,1.0,0.396208275001265,0.4033079608538888,0.3972541664104299,0.3956839918396376,0.3932414980628498,0.5157896838070904,1.0,0.3932414980628498,1.0,0.484025509730994,1.0,0.4137280309987798,0.4033079608538888,1.0,1.0,1.0,0.3932414980628498,1.0,1.0,0.396208275001265,0.40637975087831363,0.3932414980628498,0.8930851485148515,1.0,0.40637975087831363,1.0,1.0,0.4033079608538888,1.0,0.3956839918396376,0.5835971143582759,0.3932414980628498,0.3956839918396376,0.3956839918396376,1.0,0.4137280309987798,0.396208275001265,0.3956839918396376,0.3956839918396376,0.3932414980628498,0.3932414980628498,0.40637975087831363,0.3956839918396376,1.0,0.4244055792440558,1.0,1.0,1.0,1.0,1.0,1.0,0.3932414980628498,0.40637975087831363,1.0,1.0,0.3972541664104299,0.4033079608538888,0.47059753898712536,1.0,1.0,1.0,1.0,1.0,1.0
nsp11,1,0.3932414980628498,0.4244055792440558,0.4137280309987798,1.0,0.3932414980628498,0.396208275001265,0.3932414980628498,1.0,0.3932414980628498,0.3932414980628498,0.3956839918396376,0.4137280309987798,1.0,0.4244055792440558,0.7746020230665865,0.396208275001265,0.3932414980628498,0.3932414980628498,0.6285790741236286,1.0,0.484025509730994,0.5693908373888237,0.9243809913582773,0.3956839918396376,0.3932414980628498,0.3932414980628498,0.3932414980628498,0.3932414980628498,0.3932414980628498,0.3972541664104299,0.40637975087831363,0.5693908373888237,0.3972541664104299,0.7107532484997225,0.7746020230665865,0.3956839918396376,1.0,0.5835971143582759,0.484025509730994,0.3932414980628498,1.0,1.0,0.3932414980628498,0.3932414980628498,0.4033079608538888,0.3932414980628498,0.6858217478295965,0.43119213427715886,1.0,1.0,0.3932414980628498,0.3956839918396376,0.3932414980628498,0.4432469031656529,0.3932414980628498,0.3932414980628498,0.45852537060935006,1.0,0.8930851485148515,0.4137280309987798,0.3932414980628498,0.4137280309987798,0.3932414980628498,1.0,0.3932414980628498,0.47059753898712536,0.3932414980628498,0.3932414980628498,1.0,0.6131503150315031,1.0,1.0,1.0,1.0,0.3932414980628498,0.3932414980628498,1.0,0.5835971143582759,0.3932414980628498,0.3956839918396376,0.396208275001265,0.4244055792440558,1.0,1.0,1.0,1.0,0.7432987201159138
nsp12,20,0.40637975087831363,1.0,1.0,1.0,0.5693908373888237,0.3932414980628498,0.3932414980628498,1.0,0.3972541664104299,0.3972541664104299,0.3972541664104299,1.0,1.0,0.5835971143582759,1.0,0.8627754710954967,0.4137280309987798,0.3932414980628498,1.0,1.0,1.0,1.0,1.0,1.0,0.3956839918396376,0.3972541664104299,0.4137280309987798,0.3932414980628498,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3972541664104299,1.0,1.0,0.728024325275167,0.3956839918396376,1.0,1.0,0.3932414980628498,1.0,1.0,1.0,1.0,0.3932414980628498,1.0,1.0,0.5693908373888237,1.0,0.5693908373888237,0.8474365655189002,1.0,0.8930851485148515,0.3956839918396376,1.0,1.0,1.0,0.47059753898712536,0.40637975087831363,0.3932414980628498,0.3932414980628498,0.4244055792440558,1.0,1.0,0.6858217478295965,1.0,1.0,1.0,1.0,1.0,1.0,0.497865382868562,1.0,1.0,1.0,0.3972541664104299,0.3972541664104299,0.3932414980628498,1.0,1.0,1.0,1.0,1.0,1.0
nsp13,40,0.3932414980628498,1.0,1.0,1.0,0.3932414980628498,0.3932414980628498,0.3932414980628498,1.0,0.4244055792440558,0.3932414980628498,0.47059753898712536,1.0,1.0,0.4137280309987798,1.0,0.5693908373888237,0.4244055792440558,0.3932414980628498,0.3956839918396376,1.0,1.0,1.0,0.6285790741236286,1.0,1.0,0.3932414980628498,0.9102347135672032,0.3972541664104299,1.0,1.0,0.47059753898712536,1.0,1.0,1.0,1.0,0.47059753898712536,1.0,1.0,1.0,0.3956839918396376,1.0,1.0,0.4244055792440558,1.0,1.0,1.0,0.8177181577519975,0.396208275001265,1.0,1.0,0.3932414980628498,1.0,0.6574537312388483,1.0,1.0,1.0,0.6408712871287129,1.0,1.0,1.0,0.3932414980628498,0.5419205998269729,0.3932414980628498,0.3932414980628498,0.5259791465872251,0.6131503150315031,1.0,0.8930851485148515,1.0,1.0,1.0,1.0,1.0,1.0,0.8474365655189002,0.7887133626514017,1.0,1.0,0.3932414980628498,0.47059753898712536,0.3932414980628498,1.0,1.0,0.3956839918396376,1.0,1.0,1.0
nsp14,3,0.40637975087831363,0.8627754710954967,1.0,1.0,0.396208275001265,0.6574537312388483,0.4033079608538888,1.0,0.4033079608538888,0.3932414980628498,0.40637975087831363,1.0,1.0,0.4432469031656529,1.0,0.43119213427715886,0.3932414980628498,0.3972541664104299,1.0,1.0,1.0,1.0,1.0,1.0,0.3932414980628498,0.3932414980628498,0.4033079608538888,0.3932414980628498,1.0,1.0,0.6858217478295965,0.7432987201159138,1.0,1.0,1.0,0.40637975087831363,1.0,1.0,0.803299244398124,0.3956839918396376,1.0,1.0,0.3932414980628498,0.5419205998269729,0.396208275001265,1.0,1.0,0.5419205998269729,1.0,1.0,0.396208275001265,0.3932414980628498,0.3932414980628498,0.5419205998269729,1.0,0.3932414980628498,0.3932414980628498,1.0,0.8177181577519975,0.3932414980628498,0.3956839918396376,0.4137280309987798,0.3932414980628498,1.0,0.396208275001265,0.47059753898712536,0.6285790741236286,0.40637975087831363,0.40637975087831363,1.0,1.0,1.0,1.0,1.0,0.47059753898712536,0.3932414980628498,1.0,1.0,0.3932414980628498,0.40637975087831363,0.6574537312388483,0.7746020230665865,1.0,1.0,1.0,1.0,1.0
