viral,Preys,UNC13A,RAB27A,RAB3A,RIMS1,RPH3A,SNAP25,SNCA,STX1A,STXBP1,STXBP5,Syp,Tau,Caspase 3
e,6,0.42475247524752485,0.45016159647052784,0.5635536526625635,0.3475247524752476,1.0,0.3525613430908309,0.37391903747336763,1.0,0.8826025459688827,0.28369367548999797,0.3112161962464903,0.350218742804513,0.3475247524752476
m,30,1.0,0.42475247524752485,0.350218742804513,0.5635536526625635,1.0,0.3341584158415841,0.5579525842492505,1.0,0.5014038717304566,0.3195629907818368,1.0,0.3341584158415841,0.42475247524752485
n,15,0.28960396039603964,1.0,1.0,0.5521421301008606,1.0,0.6864686468646864,0.5579525842492505,1.0,1.0,1.0,1.0,0.28369367548999797,0.5061040084590983
spike,2,1.0,0.3292339760291818,0.44130127298444133,0.3814296063752717,0.3475247524752476,0.28369367548999797,0.5740364214992927,0.9795099201039794,0.37391903747336763,0.28369367548999797,0.9403610949330228,0.45016159647052784,0.3884100174723354
nsp1,6,0.5061040084590983,1.0,0.28369367548999797,0.350218742804513,0.3814296063752717,0.45016159647052784,0.3341584158415841,1.0,1.0,0.709234188724995,1.0,0.28369367548999797,0.3112161962464903
nsp10,5,0.7815817726350949,1.0,0.28369367548999797,0.3292339760291818,0.4811881188118811,0.28369367548999797,0.3723479490806223,0.8826025459688827,0.28369367548999797,0.3195629907818368,0.42743686133319214,0.28369367548999797,0.3112161962464903
nsp11,1,0.3525613430908309,0.37391903747336763,0.28369367548999797,0.3341584158415841,0.3292339760291818,0.28369367548999797,0.28369367548999797,0.3525613430908309,0.28369367548999797,0.3112161962464903,0.28960396039603964,0.3292339760291818,0.28369367548999797
nsp12,20,1.0,1.0,1.0,0.37391903747336763,1.0,0.350218742804513,0.350218742804513,1.0,1.0,0.42743686133319214,1.0,0.3195629907818368,0.28369367548999797
nsp13,40,0.350218742804513,1.0,0.42743686133319214,0.3475247524752476,0.5014038717304566,0.3814296063752717,0.5579525842492505,1.0,1.0,0.3292339760291818,1.0,0.28369367548999797,0.28369367548999797
nsp14,3,1.0,0.6386138613861385,0.5635536526625635,0.350218742804513,1.0,0.350218742804513,0.3292339760291818,1.0,0.5295615275813296,0.5204476969436074,1.0,0.3884100174723354,0.28369367548999797
nsp15,3,0.3884100174723354,0.37391903747336763,0.28960396039603964,0.42743686133319214,0.3195629907818368,0.28369367548999797,0.3292339760291818,1.0,0.28369367548999797,0.3195629907818368,0.9065863108049936,0.3884100174723354,0.28960396039603964
nsp2,7,1.0,0.6168188247396169,0.5295615275813296,0.3195629907818368,0.350218742804513,0.28960396039603964,0.3723479490806223,1.0,0.28960396039603964,0.28369367548999797,1.0,0.5843336546043983,0.3195629907818368
nsp4,8,0.7923564356435643,0.7204781453755132,0.350218742804513,0.5061040084590983,0.6451936332873794,0.28369367548999797,0.3475247524752476,1.0,0.28960396039603964,0.3112161962464903,1.0,0.5740364214992927,0.28369367548999797
nsp5,1,1.0,1.0,1.0,0.37391903747336763,1.0,0.3525613430908309,0.3884100174723354,1.0,1.0,0.5843336546043983,1.0,0.37391903747336763,0.3341584158415841
nsp5_c145a,2,0.42743686133319214,0.42475247524752485,0.6168188247396169,0.3195629907818368,0.5014038717304566,0.37391903747336763,0.28369367548999797,1.0,0.42743686133319214,0.350218742804513,1.0,0.3112161962464903,0.28369367548999797
nsp6,4,0.6096925482021888,0.37391903747336763,0.3195629907818368,0.3525613430908309,0.5295615275813296,0.28369367548999797,0.28369367548999797,0.6451936332873794,0.45016159647052784,0.28369367548999797,0.5014038717304566,0.417029702970297,0.3341584158415841
nsp7,32,1.0,0.28960396039603964,0.28369367548999797,0.28960396039603964,0.28960396039603964,0.37391903747336763,0.28369367548999797,0.6386138613861385,0.44130127298444133,0.3112161962464903,1.0,0.28369367548999797,0.3525613430908309
nsp8,24,1.0,1.0,1.0,0.7567071223251358,1.0,0.9502629950495047,0.6633252536871944,1.0,1.0,1.0,1.0,0.28369367548999797,0.417029702970297
nsp9,16,1.0,1.0,0.3341584158415841,0.350218742804513,1.0,0.3195629907818368,0.5579525842492505,1.0,1.0,0.3195629907818368,1.0,0.417029702970297,0.37391903747336763
orf10,9,1.0,0.3814296063752717,1.0,0.6633252536871944,0.5435221247243207,0.3525613430908309,0.5521421301008606,1.0,1.0,0.7316310578426264,1.0,0.28369367548999797,0.350218742804513
