viral,Preys,Megalin,SLC22A12,SLC34A1 ,SLC34A3 ,  SLC6A19 , EAAT3,PAT2,SIT1, B^0AT1, ASCT2,SNAT3, TAT1,TMEM27 , SLC7A9 ,SLC3A1 ,URAT1, OAT1,OAT3, OAT4, GLUT9,ABCG2, NPT1
e,6,1.0,1.0,1.0,1.0,0.2827494287890328,1.0,0.3095362167795727,1.0,0.2827494287890328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5802068996137283,0.5346534653465348,1.0,1.0
m,30,0.7588629830725009,0.32673267326732675,1.0,1.0,0.2868872253078966,0.42441563744003274,0.2868872253078966,1.0,0.2868872253078966,0.7441503334006869,1.0,1.0,1.0,1.0,0.9574027170158875,0.32673267326732675,0.33713817241596766,1.0,1.0,0.2827494287890328,0.5346534653465348,1.0
n,15,1.0,1.0,1.0,1.0,0.2868872253078966,1.0,0.2827494287890328,1.0,0.2868872253078966,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2827494287890328,0.6785986290936785,1.0,1.0
spike,2,0.42441563744003274,0.2827494287890328,0.3805474665113571,1.0,0.2868872253078966,0.2827494287890328,0.2827494287890328,1.0,0.2868872253078966,0.2827494287890328,1.0,1.0,1.0,1.0,1.0,0.2827494287890328,0.2868872253078966,1.0,1.0,0.2827494287890328,0.2827494287890328,1.0
nsp1,6,0.42441563744003274,1.0,1.0,1.0,0.4681542781143786,1.0,0.2827494287890328,1.0,0.4681542781143786,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33713817241596766,1.0,1.0
nsp10,5,0.2827494287890328,0.4829961256995265,0.7441503334006869,1.0,0.2827494287890328,1.0,0.33713817241596766,1.0,0.2827494287890328,0.3964845922794526,1.0,1.0,1.0,1.0,0.4829961256995265,0.4829961256995265,0.8994758299359348,1.0,1.0,0.42441563744003274,0.33713817241596766,1.0
nsp11,1,0.3095362167795727,0.3095362167795727,0.2827494287890328,1.0,0.33713817241596766,1.0,0.2827494287890328,1.0,0.33713817241596766,0.41105078249760457,1.0,1.0,1.0,1.0,1.0,0.3095362167795727,1.0,1.0,0.6785986290936785,0.2827494287890328,0.4829961256995265,1.0
nsp12,20,1.0,1.0,1.0,1.0,0.33713817241596766,1.0,0.2827494287890328,1.0,0.33713817241596766,0.35643564356435636,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6785986290936785,0.729072907290729,1.0,1.0
nsp13,40,0.3964845922794526,1.0,1.0,1.0,0.2827494287890328,1.0,0.2827494287890328,1.0,0.2827494287890328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44554455445544555,1.0,1.0
nsp14,3,0.2827494287890328,1.0,1.0,1.0,0.2827494287890328,1.0,0.2827494287890328,1.0,0.2827494287890328,0.8833405079638396,1.0,0.2827494287890328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35643564356435636,1.0,1.0
