viral,Preys,HPAEC,HUVEC,HUAEC,HGSVEC,HCCaEC,HAoEC,HCAEC,HENDC,HRAEC
e,6,0.4752475247524752,0.40594059405940597,0.37623762376237624,0.33663366336633666,0.45544554455445546,0.39603960396039606,0.39603960396039606,0.5346534653465347,0.5247524752475248
m,30,0.42574257425742573,0.504950495049505,0.4158415841584158,0.504950495049505,0.45544554455445546,0.36633663366336633,0.43564356435643564,0.6831683168316832,0.5841584158415841
n,15,0.8712871287128713,0.7326732673267327,0.5544554455445545,0.7722772277227723,0.9306930693069307,0.8910891089108911,0.6039603960396039,1.0,0.9504950495049505
spike,2,0.06930693069306931,0.0891089108910891,0.07920792079207921,0.0297029702970297,0.0594059405940594,0.04950495049504951,0.0594059405940594,0.04950495049504951,0.039603960396039604
nsp1,6,0.25742574257425743,0.21782178217821782,0.2079207920792079,0.19801980198019803,0.19801980198019803,0.19801980198019803,0.2079207920792079,0.33663366336633666,0.2376237623762376
nsp10,5,0.1782178217821782,0.06930693069306931,0.13861386138613863,0.15841584158415842,0.07920792079207921,0.21782178217821782,0.0297029702970297,0.297029702970297,0.039603960396039604
nsp11,1,0.07920792079207921,0.06930693069306931,0.039603960396039604,0.0594059405940594,0.0594059405940594,0.04950495049504951,0.0594059405940594,0.1485148514851485,0.0891089108910891
nsp12,20,0.9504950495049505,0.8712871287128713,0.7722772277227723,0.7425742574257426,0.900990099009901,0.801980198019802,0.8217821782178217,1.0,0.900990099009901
nsp13,40,0.0891089108910891,0.039603960396039604,0.009900990099009901,0.019801980198019802,0.04950495049504951,0.019801980198019802,0.0297029702970297,0.48514851485148514,0.25742574257425743
nsp14,3,0.24752475247524752,0.2079207920792079,0.1782178217821782,0.504950495049505,0.26732673267326734,0.24752475247524752,0.2079207920792079,0.21782178217821782,0.19801980198019803
nsp15,3,0.40594059405940597,0.37623762376237624,0.33663366336633666,0.31683168316831684,0.3465346534653465,0.3465346534653465,0.32673267326732675,0.4752475247524752,0.37623762376237624
nsp2,7,0.4752475247524752,0.3465346534653465,0.39603960396039606,0.40594059405940597,0.26732673267326734,0.33663366336633666,0.3564356435643564,0.5247524752475248,0.5247524752475248
nsp4,8,0.297029702970297,0.25742574257425743,0.2079207920792079,0.3564356435643564,0.2376237623762376,0.21782178217821782,0.27722772277227725,0.22772277227722773,0.1782178217821782
nsp5,1,0.2871287128712871,0.32673267326732675,0.25742574257425743,0.3069306930693069,0.22772277227722773,0.18811881188118812,0.21782178217821782,0.16831683168316833,0.1188118811881188
nsp5_c145a,2,0.19801980198019803,0.22772277227722773,0.1782178217821782,0.13861386138613863,0.21782178217821782,0.2079207920792079,0.1782178217821782,0.27722772277227725,0.19801980198019803
nsp6,4,0.22772277227722773,0.24752475247524752,0.22772277227722773,0.1188118811881188,0.24752475247524752,0.22772277227722773,0.22772277227722773,0.21782178217821782,0.2079207920792079
nsp7,32,0.31683168316831684,0.1485148514851485,0.24752475247524752,0.3069306930693069,0.1782178217821782,0.3564356435643564,0.1188118811881188,0.42574257425742573,0.12871287128712872
nsp8,24,1.0,0.9207920792079208,0.8118811881188119,0.9306930693069307,0.9306930693069307,0.8613861386138614,0.8910891089108911,1.0,1.0
nsp9,16,0.40594059405940597,0.3564356435643564,0.32673267326732675,0.3465346534653465,0.3564356435643564,0.2871287128712871,0.31683168316831684,0.48514851485148514,0.46534653465346537
orf10,9,0.27722772277227725,0.3069306930693069,0.21782178217821782,0.297029702970297,0.36633663366336633,0.297029702970297,0.26732673267326734,0.3564356435643564,0.21782178217821782
orf3a,8,0.2079207920792079,0.27722772277227725,0.27722772277227725,0.22772277227722773,0.25742574257425743,0.2376237623762376,0.22772277227722773,0.43564356435643564,0.40594059405940597
orf3b,1,0.297029702970297,0.26732673267326734,0.25742574257425743,0.31683168316831684,0.25742574257425743,0.2871287128712871,0.297029702970297,0.46534653465346537,0.3564356435643564
orf6,3,0.07920792079207921,0.039603960396039604,0.0297029702970297,0.0594059405940594,0.04950495049504951,0.0297029702970297,0.039603960396039604,0.12871287128712872,0.12871287128712872
orf7a,2,0.37623762376237624,0.40594059405940597,0.25742574257425743,0.297029702970297,0.5445544554455446,0.43564356435643564,0.3465346534653465,0.6534653465346535,0.504950495049505
orf8,47,0.33663366336633666,0.297029702970297,0.31683168316831684,0.33663366336633666,0.33663366336633666,0.37623762376237624,0.36633663366336633,0.7029702970297029,0.6831683168316832
orf9b,11,0.1782178217821782,0.0297029702970297,0.0297029702970297,0.22772277227722773,0.15841584158415842,0.18811881188118812,0.0891089108910891,0.15841584158415842,0.15841584158415842
orf9c,26,0.07920792079207921,0.12871287128712872,0.07920792079207921,0.04950495049504951,0.0891089108910891,0.06930693069306931,0.0891089108910891,0.0594059405940594,0.04950495049504951
