viral,Preys,Cadherin-5,Cadherin-2,Cadherin-3,Cadherin-4,Catenin delta 1,Cateninβ ,α Catenin ,Occludin,Claudin-5,ZO-1,ZO-2,ZO-3
e,6,0.9108910891089109,0.04950495049504951,0.039603960396039604,0.42574257425742573,0.12871287128712872,0.36633663366336633,0.13861386138613863,0.10891089108910891,1.0,0.1485148514851485,0.0297029702970297,0.0297029702970297
m,30,0.7524752475247525,0.27722772277227725,0.19801980198019803,1.0,0.32673267326732675,0.2376237623762376,0.6534653465346535,0.15841584158415842,1.0,0.0891089108910891,0.31683168316831684,0.6039603960396039
n,15,1.0,0.3069306930693069,0.09900990099009901,0.0891089108910891,0.0594059405940594,0.13861386138613863,0.4752475247524752,1.0,1.0,0.5841584158415841,0.31683168316831684,0.9603960396039604
spike,2,0.22772277227722773,0.07920792079207921,0.0594059405940594,0.19801980198019803,0.019801980198019802,0.31683168316831684,0.039603960396039604,0.009900990099009901,0.009900990099009901,0.039603960396039604,0.1485148514851485,0.06930693069306931
nsp1,6,0.5148514851485149,0.04950495049504951,0.0297029702970297,0.22772277227722773,0.06930693069306931,0.25742574257425743,0.09900990099009901,0.7128712871287128,1.0,0.039603960396039604,0.0297029702970297,0.44554455445544555
nsp10,5,0.5148514851485149,0.10891089108910891,0.009900990099009901,0.6435643564356436,0.0594059405940594,0.1188118811881188,0.1188118811881188,0.09900990099009901,1.0,0.0891089108910891,0.06930693069306931,0.0297029702970297
nsp11,1,0.594059405940594,0.019801980198019802,0.15841584158415842,0.12871287128712872,0.07920792079207921,0.039603960396039604,0.18811881188118812,0.16831683168316833,1.0,0.009900990099009901,0.039603960396039604,0.1188118811881188
nsp12,20,1.0,0.12871287128712872,0.1485148514851485,0.42574257425742573,0.12871287128712872,0.46534653465346537,0.33663366336633666,0.8514851485148515,1.0,0.2079207920792079,0.16831683168316833,0.6336633663366337
nsp13,40,1.0,0.22772277227722773,0.13861386138613863,0.9504950495049505,0.1188118811881188,0.07920792079207921,0.04950495049504951,0.31683168316831684,1.0,0.019801980198019802,0.009900990099009901,0.13861386138613863
nsp14,3,0.9900990099009901,0.0891089108910891,0.0891089108910891,0.5544554455445545,0.0594059405940594,0.18811881188118812,0.10891089108910891,0.49504950495049505,1.0,0.39603960396039606,0.12871287128712872,0.39603960396039606
nsp15,3,0.48514851485148514,0.019801980198019802,0.0297029702970297,0.18811881188118812,0.0891089108910891,0.31683168316831684,0.06930693069306931,0.2079207920792079,1.0,0.09900990099009901,0.04950495049504951,0.297029702970297
nsp2,7,0.0594059405940594,0.0891089108910891,0.039603960396039604,1.0,0.10891089108910891,0.42574257425742573,0.10891089108910891,0.24752475247524752,1.0,0.10891089108910891,0.039603960396039604,0.2079207920792079
nsp4,8,0.19801980198019803,0.0297029702970297,0.19801980198019803,0.40594059405940597,0.15841584158415842,0.07920792079207921,0.1485148514851485,0.10891089108910891,1.0,0.0594059405940594,0.1188118811881188,0.39603960396039606
nsp5,1,1.0,0.1485148514851485,0.039603960396039604,0.297029702970297,0.1188118811881188,0.009900990099009901,0.07920792079207921,0.7326732673267327,1.0,0.19801980198019803,0.06930693069306931,0.6831683168316832
nsp5_c145a,2,0.26732673267326734,0.0891089108910891,0.04950495049504951,0.27722772277227725,0.0297029702970297,0.09900990099009901,0.10891089108910891,0.44554455445544555,1.0,0.0594059405940594,0.10891089108910891,0.26732673267326734
nsp6,4,0.16831683168316833,0.039603960396039604,0.0891089108910891,0.44554455445544555,0.04950495049504951,0.2079207920792079,0.13861386138613863,0.0297029702970297,1.0,0.039603960396039604,0.18811881188118812,0.12871287128712872
nsp7,32,0.22772277227722773,0.24752475247524752,0.0297029702970297,0.31683168316831684,0.21782178217821782,0.37623762376237624,0.18811881188118812,0.2376237623762376,1.0,0.21782178217821782,0.2871287128712871,0.2079207920792079
nsp8,24,1.0,0.19801980198019803,0.297029702970297,0.9108910891089109,0.45544554455445546,0.42574257425742573,0.5841584158415841,1.0,1.0,0.5148514851485149,0.0891089108910891,0.9900990099009901
nsp9,16,0.49504950495049505,0.09900990099009901,0.0891089108910891,0.8712871287128713,0.16831683168316833,0.24752475247524752,0.10891089108910891,0.1485148514851485,1.0,0.1485148514851485,0.0891089108910891,0.16831683168316833
orf10,9,1.0,0.10891089108910891,0.0891089108910891,0.9504950495049505,0.10891089108910891,0.2079207920792079,0.07920792079207921,1.0,1.0,0.3564356435643564,0.19801980198019803,0.8712871287128713
orf3a,8,0.7128712871287128,0.1188118811881188,0.06930693069306931,0.9801980198019802,0.1188118811881188,0.49504950495049505,0.18811881188118812,0.039603960396039604,0.06930693069306931,0.039603960396039604,0.21782178217821782,0.1485148514851485
orf3b,1,0.6435643564356436,0.0891089108910891,0.10891089108910891,0.8613861386138614,0.16831683168316833,0.15841584158415842,0.0891089108910891,0.44554455445544555,1.0,0.1485148514851485,0.32673267326732675,0.16831683168316833
orf6,3,0.5148514851485149,0.0594059405940594,0.1188118811881188,0.31683168316831684,0.06930693069306931,0.039603960396039604,0.06930693069306931,0.0594059405940594,1.0,0.0594059405940594,0.0594059405940594,0.0891089108910891
orf7a,2,0.7821782178217822,0.25742574257425743,0.31683168316831684,0.693069306930693,0.07920792079207921,0.3069306930693069,0.1782178217821782,0.07920792079207921,1.0,0.24752475247524752,0.44554455445544555,0.801980198019802
orf8,47,0.1782178217821782,0.12871287128712872,0.04950495049504951,1.0,0.24752475247524752,0.5544554455445545,0.36633663366336633,0.13861386138613863,1.0,0.04950495049504951,0.32673267326732675,0.3465346534653465
orf9b,11,0.039603960396039604,0.0297029702970297,0.0297029702970297,0.1188118811881188,0.07920792079207921,0.1782178217821782,0.07920792079207921,0.039603960396039604,1.0,0.12871287128712872,0.04950495049504951,0.10891089108910891
orf9c,26,0.43564356435643564,0.25742574257425743,0.12871287128712872,1.0,0.21782178217821782,1.0,0.13861386138613863,0.019801980198019802,0.039603960396039604,0.16831683168316833,1.0,1.0
