viral,Preys,"IKKβ,",IFNλ,TNF‐α,IL‐1β, IL‐2,IL‐6 ,IL‐8 ,IL‐12,IL‐13,IL‐33,IL‐4,IL‐5,IL‐10,IL‐17,IL‐22
e,6,1.9070703157390494,1.9070703157390494,1.1186129553747792,2.312535423847214,2.217225244042889,2.0501711593797225,0.0,1.7819071727850433,2.6692103677859462,3.228826155721369,2.312535423847214,2.312535423847214,0.0,0.0,0.030153038170687558
m,30,0.7233002187306329,2.0501711593797225,0.11531084651099437,2.5356789751614235,4.61512051684126,2.1302138670532593,0.0,2.41789593950504,3.9219733362813143,0.6077873316087885,3.5165082281731497,2.217225244042889,0.0,2.217225244042889,0.8539204011476971
n,15,1.437066686493314,2.41789593950504,0.8774508985578912,1.5705980791178364,2.1302138670532593,2.0501711593797225,0.0,0.20840126957700628,2.1302138670532593,2.217225244042889,2.5356789751614235,2.0501711593797225,0.0,0.0,0.0
spike,2,1.088759992225098,3.5165082281731497,0.8539204011476971,2.217225244042889,3.9219733362813143,2.41789593950504,2.0501711593797225,1.5240780634829436,3.9219733362813143,0.8084580270709397,3.5165082281731497,3.005682604407159,3.228826155721369,4.61512051684126,3.005682604407159
nsp1,6,2.6692103677859462,2.6692103677859462,0.36662527479190055,1.6193882432872684,2.312535423847214,2.0501711593797225,0.0,2.6692103677859462,2.0501711593797225,1.9760631872260008,2.217225244042889,1.9070703157390494,0.0,0.14921239818667575,0.009950330853168092
nsp10,5,1.7819071727850433,2.1302138670532593,1.670681537674819,2.1302138670532593,2.312535423847214,2.217225244042889,0.009950330853168092,1.670681537674819,3.005682604407159,3.228826155721369,3.9219733362813143,3.5165082281731497,0.0,0.8309308829229983,1.6193882432872684
nsp11,1,2.6692103677859462,3.9219733362813143,2.312535423847214,2.41789593950504,3.228826155721369,3.005682604407159,1.3192836508369303,3.005682604407159,3.5165082281731497,2.6692103677859462,2.5356789751614235,2.6692103677859462,0.0,2.217225244042889,1.2139231351791042
nsp12,20,3.005682604407159,1.3570239788197773,3.9219733362813143,2.217225244042889,3.005682604407159,2.217225244042889,0.0,0.8084580270709397,3.9219733362813143,1.5705980791178364,2.8233610476132043,1.9760631872260008,0.0,3.228826155721369,0.020000666706669543
nsp13,40,4.61512051684126,3.228826155721369,2.8233610476132043,1.670681537674819,2.6692103677859462,2.8233610476132043,0.0,1.059772455351846,3.005682604407159,0.8084580270709397,2.5356789751614235,1.9070703157390494,0.0,0.13778370236305298,2.41789593950504
nsp14,3,2.6692103677859462,2.312535423847214,1.149384614041533,2.0501711593797225,2.1302138670532593,3.9219733362813143,0.08252102368800347,2.312535423847214,2.217225244042889,1.670681537674819,2.5356789751614235,2.8233610476132043,0.0,0.47198579044972677,0.009950330853168092
nsp15,3,2.41789593950504,2.0501711593797225,1.670681537674819,2.5356789751614235,2.41789593950504,2.6692103677859462,0.5720692490067094,4.61512051684126,2.8233610476132043,1.9070703157390494,2.41789593950504,2.41789593950504,0.0,0.7439195059333685,2.1302138670532593
nsp2,7,2.217225244042889,1.149384614041533,0.0,1.842531794601478,3.005682604407159,1.4796263009121098,0.0,1.5705980791178364,4.61512051684126,1.4796263009121098,4.61512051684126,1.6193882432872684,0.0,2.217225244042889,1.088759992225098
nsp4,8,1.7819071727850433,3.005682604407159,1.4796263009121098,2.8233610476132043,2.5356789751614235,2.217225244042889,2.1302138670532593,2.217225244042889,3.228826155721369,1.6193882432872684,3.005682604407159,2.312535423847214,0.0,1.088759992225098,1.4796263009121098
nsp5,1,1.7819071727850433,1.842531794601478,1.0316015783851495,2.6692103677859462,2.1302138670532593,3.5165082281731497,0.0,2.312535423847214,2.312535423847214,3.9219733362813143,2.6692103677859462,1.842531794601478,0.0,0.10426101032440939,0.020000666706669543
nsp5_c145a,2,2.217225244042889,1.9070703157390494,1.3962446919730587,2.312535423847214,2.312535423847214,1.842531794601478,0.14921239818667575,2.0501711593797225,2.8233610476132043,1.7819071727850433,2.312535423847214,2.217225244042889,0.0,1.3192836508369303,0.5546775062948401
nsp6,4,1.5240780634829436,2.5356789751614235,0.951558870711613,2.217225244042889,2.8233610476132043,3.005682604407159,1.4796263009121098,2.5356789751614235,3.228826155721369,1.3962446919730587,3.228826155721369,2.41789593950504,0.7649729151312008,1.3962446919730587,2.41789593950504
nsp7,32,1.2139231351791042,3.005682604407159,1.6193882432872684,2.41789593950504,3.228826155721369,2.41789593950504,0.0718257345712555,2.6692103677859462,3.9219733362813143,2.1302138670532593,3.005682604407159,1.9760631872260008,0.17246926035094304,2.0501711593797225,1.3192836508369303
nsp8,24,0.7649729151312008,0.18430371799794587,0.0,1.7819071727850433,1.7819071727850433,1.2829160066660554,0.0,3.5165082281731497,1.7819071727850433,2.5356789751614235,2.217225244042889,1.3570239788197773,0.0,0.0,0.0
nsp9,16,1.6193882432872684,2.217225244042889,1.1811333123561132,2.217225244042889,2.41789593950504,3.5165082281731497,1.9760631872260008,2.312535423847214,2.217225244042889,2.5356789751614235,2.8233610476132043,1.670681537674819,0.0,0.06124362524071867,0.4562374334815876
orf10,9,1.7247487589450947,1.2829160066660554,0.36662527479190055,2.312535423847214,3.5165082281731497,3.5165082281731497,1.2478246868547855,1.3962446919730587,2.1302138670532593,2.41789593950504,3.9219733362813143,2.217225244042889,0.0,0.020000666706669543,0.020000666706669543
