viral,Preys,ATP2A2,ENO3,ACTB,TPM2,TPM4,CALM3,TPM1,CALM2,MYL9,MYL6,TNNC1,CKM,MYL7,MYH11,MYLK,MYL4,TNNI1,TPM3,MYH6,TNNI3,CAPZB,ACTC1,MYOM2,TMOD1,TTN,MYH8,MYO1G,TRIM63,TNNT3,NEB,MYL3,OBSCN,MYH2,MYO7A,MYO3A,MYH7,MYH15,MYO3B,MYO15A,MYLK2,MYO7B,MYO1A,MYH4,MYH1,MYH13,MYO1F
e,6,1.1811333123561132,1.670681537674819,1.9070703157390494,0.951558870711613,1.437066686493314,1.5705980791178364,2.312535423847214,1.6193882432872684,3.5165082281731497,2.1302138670532593,0.626136470276985,4.61512051684126,0.0,0.6448286032891376,3.005682604407159,1.3570239788197773,0.0,0.47198579044972677,0.22067136216882063,0.36662527479190055,1.3962446919730587,2.6692103677859462,0.020000666706669543,0.009950330853168092,0.41042789745029334,3.9219733362813143,2.41789593950504,0.0,0.0,3.9219733362813143,0.5375830729355401,1.5705980791178364,1.0316015783851495,0.951558870711613,0.0,1.3570239788197773,1.437066686493314,2.312535423847214,0.08252102368800347,2.312535423847214,0.5207759546191588,1.5705980791178364,1.9070703157390494,1.1811333123561132,1.4796263009121098,0.0
m,30,3.9219733362813143,1.5240780634829436,3.5165082281731497,0.4879861317961679,1.437066686493314,1.6193882432872684,1.4796263009121098,1.5705980791178364,0.09333193979221911,1.149384614041533,0.0,2.8233610476132043,0.0,0.05077232537342326,2.217225244042889,0.06124362524071867,0.0,1.004202604197035,0.0,0.3524406397999441,0.6832948841169336,0.0,0.0,0.0,0.0,0.1264841471091196,2.1302138670532593,0.0,0.0,0.0,0.0,0.040409538337876666,0.7864791203521644,2.8233610476132043,0.0,0.0,0.5207759546191588,3.9219733362813143,0.0,1.059772455351846,3.9219733362813143,0.951558870711613,0.0,0.0,0.0,0.0
n,15,0.0,0.8539204011476971,1.5705980791178364,0.8084580270709397,1.7819071727850433,0.4879861317961679,1.0316015783851495,0.4879861317961679,1.9760631872260008,0.626136470276985,0.0,0.22067136216882063,0.0,0.36662527479190055,0.41042789745029334,3.228826155721369,0.0,0.4254657748148339,0.0,0.08252102368800347,0.4879861317961679,1.6193882432872684,0.0,0.0,0.0,1.149384614041533,2.5356789751614235,0.0,0.0,0.0,0.0,1.842531794601478,0.030153038170687558,0.16077322058775173,0.0,0.0,0.0,0.0,0.0,1.670681537674819,0.0,1.059772455351846,1.004202604197035,0.009950330853168092,0.663876798259832,0.0
spike,2,0.5720692490067094,0.297632403304949,3.228826155721369,2.5356789751614235,1.7819071727850433,2.8233610476132043,3.9219733362813143,2.5356789751614235,0.020000666706669543,1.5240780634829436,1.2478246868547855,0.7864791203521644,0.0,0.16077322058775173,1.3962446919730587,2.41789593950504,0.9775343571148737,0.17246926035094304,2.217225244042889,0.9262410627273231,1.5240780634829436,0.2584116901516677,2.8233610476132043,3.9219733362813143,1.4796263009121098,2.41789593950504,1.9760631872260008,0.0,0.0,0.5375830729355401,1.6193882432872684,1.4796263009121098,3.9219733362813143,1.9760631872260008,0.0,1.5705980791178364,1.842531794601478,0.0,0.0,0.05077232537342326,2.5356789751614235,0.020000666706669543,2.6692103677859462,2.312535423847214,1.3192836508369303,0.0
nsp1,6,1.1186129553747792,1.4796263009121098,1.5240780634829436,1.842531794601478,0.3110554236370897,1.004202604197035,1.7819071727850433,1.3962446919730587,1.1811333123561132,1.3570239788197773,0.32466107569286834,0.3110554236370897,0.0,1.7819071727850433,0.6077873316087885,0.05077232537342326,0.0,0.06124362524071867,0.0,0.4407332469456223,1.842531794601478,4.61512051684126,0.09333193979221911,0.3524406397999441,0.0,2.5356789751614235,1.2139231351791042,0.0,0.0,3.9219733362813143,0.18430371799794587,0.9262410627273231,0.7233002187306329,0.951558870711613,0.0,0.28438717655492834,2.1302138670532593,0.030153038170687558,0.0,3.005682604407159,0.5720692490067094,1.149384614041533,0.7649729151312008,0.7233002187306329,0.0,1.9070703157390494
nsp10,5,2.217225244042889,2.8233610476132043,2.41789593950504,2.1302138670532593,2.41789593950504,1.5705980791178364,1.9760631872260008,1.7247487589450947,2.41789593950504,2.217225244042889,2.41789593950504,1.1186129553747792,0.0,2.312535423847214,2.6692103677859462,3.005682604407159,0.9015484501369516,1.670681537674819,2.1302138670532593,3.5165082281731497,1.9760631872260008,1.149384614041533,0.0,2.312535423847214,0.0,1.6193882432872684,2.0501711593797225,0.0,4.61512051684126,1.2829160066660554,1.7247487589450947,1.059772455351846,0.9015484501369516,1.5240780634829436,0.0,0.32466107569286834,0.8084580270709397,3.228826155721369,0.7864791203521644,2.5356789751614235,2.5356789751614235,1.3192836508369303,0.8539204011476971,0.5042466526679482,2.8233610476132043,0.24567266437423793
nsp11,1,2.8233610476132043,4.61512051684126,2.6692103677859462,2.8233610476132043,4.61512051684126,3.9219733362813143,3.9219733362813143,3.9219733362813143,2.5356789751614235,3.5165082281731497,1.6193882432872684,1.9760631872260008,0.0,3.5165082281731497,2.217225244042889,2.0501711593797225,0.0,4.61512051684126,1.4796263009121098,3.228826155721369,3.9219733362813143,2.6692103677859462,2.8233610476132043,1.9760631872260008,1.0316015783851495,2.6692103677859462,2.5356789751614235,0.9015484501369516,0.0,1.842531794601478,1.3570239788197773,2.312535423847214,1.7819071727850433,1.9070703157390494,0.0,1.149384614041533,2.41789593950504,2.8233610476132043,1.9070703157390494,2.217225244042889,2.41789593950504,1.5705980791178364,1.3570239788197773,2.0501711593797225,0.16077322058775173,0.020000666706669543
nsp12,20,1.5705980791178364,1.5705980791178364,0.5897688261061101,0.3384543978252042,0.05077232537342326,1.2139231351791042,1.1811333123561132,1.3192836508369303,1.2478246868547855,0.297632403304949,0.11531084651099437,0.0,0.0,0.3524406397999441,0.5897688261061101,0.11531084651099437,0.0,0.0,0.0,0.1264841471091196,0.39561281166515266,1.6193882432872684,0.0,0.0,0.381014012244,0.13778370236305298,0.663876798259832,0.0,0.0,0.020000666706669543,0.10426101032440939,0.14921239818667575,0.06124362524071867,0.19627990904466158,0.0,0.0,0.0,0.297632403304949,0.9775343571148737,1.4796263009121098,0.0,0.951558870711613,0.19627990904466158,0.0,0.0,0.0
nsp13,40,0.0,3.5165082281731497,0.4407332469456223,1.842531794601478,0.23309388216737778,4.61512051684126,3.9219733362813143,3.9219733362813143,1.5705980791178364,3.5165082281731497,2.6692103677859462,0.5720692490067094,0.0,0.8539204011476971,2.312535423847214,0.0,0.7233002187306329,0.0,1.5705980791178364,3.9219733362813143,0.9262410627273231,0.9262410627273231,0.6077873316087885,1.9760631872260008,2.1302138670532593,2.8233610476132043,1.2829160066660554,2.41789593950504,3.5165082281731497,1.149384614041533,0.05077232537342326,0.2584116901516677,2.5356789751614235,2.217225244042889,0.0,2.312535423847214,0.2713150949875756,0.0,3.9219733362813143,0.9262410627273231,1.2478246868547855,0.7864791203521644,2.8233610476132043,2.8233610476132043,2.5356789751614235,0.0
nsp14,3,1.5705980791178364,2.6692103677859462,1.7819071727850433,0.7864791203521644,1.3192836508369303,2.1302138670532593,1.842531794601478,1.9070703157390494,1.6193882432872684,2.217225244042889,0.14921239818667575,1.9760631872260008,0.0,3.228826155721369,1.670681537674819,1.5705980791178364,0.0,1.5240780634829436,3.228826155721369,0.5375830729355401,2.8233610476132043,1.670681537674819,0.0,2.1302138670532593,0.0,1.3192836508369303,1.7247487589450947,0.0,0.0,0.7864791203521644,0.020000666706669543,1.0316015783851495,1.1186129553747792,0.9262410627273231,0.36662527479190055,0.0,0.5042466526679482,1.842531794601478,0.0,1.7819071727850433,1.9070703157390494,1.5240780634829436,0.5207759546191588,2.8233610476132043,0.0,0.0
