viral,Preys,IFI6,IFI27,IFITM1,MX1,RN7SK,ARC,DKK1,MT1G,SAMD9,IFIT3,IFIT2,NKX3-1,HSPA6,IFIT1,IFI44L,RSAD2,ISG15,OAS2,CXCL11,IFI44,CXCL10,SLC34A2,IFNλ,IFN b1,IFNL2,CCR1,CCR8,IL16,IL3,CCR2,CCR5,IL5
e,6,2.0501711593797225,0.0,0.8084580270709397,0.0,3.9219733362813143,0.009950330853168092,0.47198579044972677,0.0,2.217225244042889,1.9760631872260008,1.7247487589450947,0.0,0.3384543978252042,1.7247487589450947,0.0,0.19627990904466158,0.32466107569286834,1.149384614041533,0.0,0.0,0.0,0.0,1.9070703157390494,0.0,0.0,0.8539204011476971,0.0,0.0,2.6692103677859462,0.0,0.8084580270709397,2.312535423847214
m,30,0.9262410627273231,0.0,0.020000666706669543,0.0,0.030153038170687558,0.0,2.217225244042889,0.0,0.13778370236305298,0.0,0.0,0.0,0.0,0.0,0.6832948841169336,2.5356789751614235,4.61512051684126,0.0,0.626136470276985,2.41789593950504,1.0316015783851495,4.61512051684126,2.0501711593797225,0.0,0.0,1.088759992225098,1.4796263009121098,0.0,2.0501711593797225,0.4407332469456223,2.6692103677859462,2.217225244042889
n,15,0.4407332469456223,0.0,0.0,0.0,2.8233610476132043,0.0,0.0,0.0,1.9760631872260008,4.61512051684126,3.228826155721369,0.0,0.951558870711613,4.61512051684126,0.0,0.0,0.5897688261061101,0.36662527479190055,0.0,0.0,0.0,0.0,2.41789593950504,0.0,0.0,0.0,0.0,0.0,2.6692103677859462,0.0,0.0,2.0501711593797225
spike,2,2.312535423847214,0.0,0.0,1.004202604197035,0.0,2.217225244042889,1.2478246868547855,0.0,0.11531084651099437,0.0,0.0,0.0,0.0,0.0,0.0,1.5240780634829436,0.7030975114131134,0.0,0.10426101032440939,0.0,0.16077322058775173,1.6193882432872684,3.5165082281731497,0.0,0.297632403304949,4.61512051684126,0.9262410627273231,0.0,2.41789593950504,1.2478246868547855,2.312535423847214,3.005682604407159
nsp1,6,1.5705980791178364,0.0,0.0,0.0,2.312535423847214,0.0,1.6193882432872684,0.0,1.842531794601478,0.0,0.0,0.0,0.05077232537342326,0.0,0.0,4.61512051684126,0.030153038170687558,0.1264841471091196,0.0,0.6448286032891376,0.0,0.0,2.6692103677859462,0.0,0.0,0.0,0.0,0.0,1.7819071727850433,0.0,0.0,1.9070703157390494
nsp10,5,1.9760631872260008,0.0,0.0,0.0,1.7247487589450947,0.0,1.2829160066660554,0.9775343571148737,1.6193882432872684,1.5705980791178364,1.3192836508369303,0.0,2.312535423847214,4.61512051684126,0.09333193979221911,0.8774508985578912,4.61512051684126,0.951558870711613,0.0,0.020000666706669543,0.0,0.0,2.1302138670532593,3.9219733362813143,0.0,1.7247487589450947,3.5165082281731497,0.0,3.5165082281731497,0.0,1.2139231351791042,3.5165082281731497
nsp11,1,2.41789593950504,0.0,0.009950330853168092,1.842531794601478,1.6193882432872684,0.7439195059333685,1.9070703157390494,0.0,2.1302138670532593,2.0501711593797225,2.0501711593797225,0.0,1.3962446919730587,2.312535423847214,2.217225244042889,3.005682604407159,3.5165082281731497,2.8233610476132043,0.9775343571148737,3.228826155721369,0.5042466526679482,0.0,3.9219733362813143,0.3524406397999441,0.14921239818667575,1.9070703157390494,0.0,0.0,3.5165082281731497,0.0,1.9760631872260008,2.6692103677859462
nsp12,20,1.842531794601478,0.0,0.0,0.0,1.149384614041533,3.005682604407159,0.0,0.0,0.09333193979221911,0.0,0.0,0.0,0.0,0.0,0.0,1.7247487589450947,4.61512051684126,0.05077232537342326,0.0,0.0,0.0,0.0,1.3570239788197773,0.0,0.0,0.0,0.0,0.0,1.7819071727850433,0.0,0.0,1.9760631872260008
nsp13,40,0.9775343571148737,0.0,0.0,0.0,0.0,1.4796263009121098,0.47198579044972677,0.0,0.0,0.17246926035094304,0.0,0.0,0.0,0.0,0.0,3.5165082281731497,0.0,0.0,0.0,0.0,0.0,0.0,3.228826155721369,0.0,0.0,0.030153038170687558,0.0,1.1186129553747792,1.7819071727850433,0.0,0.0,1.9070703157390494
nsp14,3,2.41789593950504,1.9070703157390494,0.0,0.0,1.9760631872260008,0.0,1.088759992225098,0.0,1.437066686493314,0.0,0.0,0.0,1.2829160066660554,0.0,1.1186129553747792,1.3962446919730587,0.9015484501369516,1.437066686493314,0.0,0.0,0.0,0.0,2.312535423847214,0.0,0.0,0.7649729151312008,0.0,0.0,2.5356789751614235,0.0,0.8539204011476971,2.8233610476132043
nsp15,3,2.41789593950504,0.0,0.0,0.19627990904466158,1.3192836508369303,1.059772455351846,0.951558870711613,2.5356789751614235,3.5165082281731497,3.005682604407159,0.32466107569286834,0.0,0.36662527479190055,3.5165082281731497,0.0,1.670681537674819,2.5356789751614235,0.8774508985578912,0.41042789745029334,0.0,0.5375830729355401,0.0,2.0501711593797225,0.0,0.0,3.9219733362813143,0.0,0.0,2.5356789751614235,0.6448286032891376,1.6193882432872684,2.41789593950504
nsp2,7,1.5705980791178364,0.0,0.0,0.0,0.4407332469456223,1.7819071727850433,1.004202604197035,0.0,0.24567266437423793,0.0,0.0,0.0,0.8084580270709397,0.0,0.0,1.842531794601478,0.2713150949875756,0.3524406397999441,0.0,0.0,0.0,0.0,1.149384614041533,0.0,0.0,0.05077232537342326,4.61512051684126,0.0,1.6193882432872684,0.0,0.11531084651099437,1.6193882432872684
nsp4,8,1.670681537674819,0.0,0.0,0.0,1.9070703157390494,0.0,3.005682604407159,4.61512051684126,1.842531794601478,0.0,0.0,0.0,0.6448286032891376,0.0,0.0,1.3192836508369303,1.2139231351791042,0.009950330853168092,3.5165082281731497,4.61512051684126,4.61512051684126,0.0,3.005682604407159,0.0,0.0,3.9219733362813143,0.7030975114131134,0.0,2.6692103677859462,0.0,4.61512051684126,2.312535423847214
nsp5,1,1.2829160066660554,0.6832948841169336,0.0,0.0,1.7247487589450947,0.020000666706669543,0.7233002187306329,0.0,2.41789593950504,0.0,0.0,2.312535423847214,0.663876798259832,1.3570239788197773,0.0,1.9070703157390494,1.088759992225098,0.009950330853168092,0.0,1.059772455351846,0.0,0.0,1.842531794601478,0.0,0.0,0.0,1.5240780634829436,0.0,2.6692103677859462,0.0,0.13778370236305298,1.842531794601478
nsp5_c145a,2,1.9760631872260008,0.0,0.0,0.0,1.3570239788197773,0.4879861317961679,1.3962446919730587,0.0,4.61512051684126,0.030153038170687558,0.0,0.0,0.5207759546191588,0.0,1.6193882432872684,1.2478246868547855,1.7247487589450947,0.7649729151312008,0.0,3.5165082281731497,0.0,0.0,1.9070703157390494,0.0,0.0,1.2829160066660554,0.0,0.0,2.312535423847214,0.0,0.5546775062948401,2.217225244042889
nsp6,4,2.217225244042889,0.0,0.9015484501369516,2.41789593950504,0.9015484501369516,0.36662527479190055,1.7819071727850433,0.0,1.088759992225098,0.0,0.0,0.0,0.0,0.0,0.0,1.5705980791178364,3.005682604407159,0.7030975114131134,0.009950330853168092,0.9775343571148737,0.0,3.005682604407159,2.5356789751614235,0.0,0.0,1.7819071727850433,1.9760631872260008,0.0,2.8233610476132043,1.4796263009121098,2.6692103677859462,2.41789593950504
