viral,Preys,HK2*,GPI,PFKP,ENO2*,PKM*,LDHA,ALDOA,PGK1,BPGM*,PGD,PGLS,RBKS,DNAJC15*,ATP1A1*,UQCRB,IDH1*,CDK1*,ZDHHC14,IFITM1*,IFITM3*,ACAA1,HMGCS1*,ACAT2,BCKDK,MVD,FDFT1,SQLE*,DGAT1,MTTP,NFKB1*,JUN,FOXO1*,GCLC*,HMOX2*,IL6*,SOD2,ERN1,EIF2AK2,ATF4,CEBPB,DNAJB9
e,6,0.7649729151312008,0.6077873316087885,1.9760631872260008,1.437066686493314,1.842531794601478,1.9070703157390494,1.670681537674819,2.217225244042889,2.6692103677859462,1.9760631872260008,0.5720692490067094,1.437066686493314,0.0,1.2478246868547855,1.9070703157390494,2.41789593950504,1.4796263009121098,0.7030975114131134,0.8084580270709397,0.0,1.9760631872260008,2.41789593950504,1.9070703157390494,1.1811333123561132,1.3962446919730587,0.0,0.0,0.0,0.7439195059333685,1.1811333123561132,4.61512051684126,2.41789593950504,0.9015484501369516,0.0,2.0501711593797225,2.1302138670532593,1.9070703157390494,1.9760631872260008,2.6692103677859462,2.5356789751614235,0.0
m,30,1.7819071727850433,2.5356789751614235,1.004202604197035,1.3192836508369303,1.842531794601478,4.61512051684126,2.6692103677859462,1.1811333123561132,0.0,3.5165082281731497,2.5356789751614235,2.41789593950504,0.0,4.61512051684126,3.228826155721369,1.670681537674819,0.6832948841169336,0.009950330853168092,0.020000666706669543,1.7819071727850433,1.9070703157390494,0.0,1.842531794601478,1.9760631872260008,2.217225244042889,1.3570239788197773,3.228826155721369,3.228826155721369,0.47198579044972677,0.009950330853168092,4.61512051684126,0.5042466526679482,1.842531794601478,4.61512051684126,2.1302138670532593,4.61512051684126,2.312535423847214,0.0,0.0,0.0,0.381014012244
n,15,0.05077232537342326,0.41042789745029334,0.7233002187306329,0.8084580270709397,1.9760631872260008,0.5375830729355401,0.5375830729355401,0.8084580270709397,0.0,1.2478246868547855,0.17246926035094304,1.437066686493314,0.0,0.05077232537342326,1.149384614041533,1.0316015783851495,2.1302138670532593,0.0,0.0,0.0,1.4796263009121098,0.0,3.5165082281731497,0.0,1.2478246868547855,0.0,0.0,0.0,0.0,0.14921239818667575,4.61512051684126,1.2139231351791042,2.217225244042889,0.0,2.0501711593797225,1.004202604197035,1.4796263009121098,4.61512051684126,1.004202604197035,1.2478246868547855,0.0
spike,2,0.040409538337876666,0.2713150949875756,0.0718257345712555,0.0,2.6692103677859462,0.28438717655492834,1.088759992225098,0.0,0.0,0.7030975114131134,0.0,1.670681537674819,0.0,2.41789593950504,3.228826155721369,0.7649729151312008,0.8309308829229983,2.217225244042889,0.0,0.0,4.61512051684126,0.0,0.7439195059333685,0.0,0.4254657748148339,0.0,2.312535423847214,4.61512051684126,2.8233610476132043,0.0,1.2139231351791042,0.8539204011476971,1.5705980791178364,1.9760631872260008,2.41789593950504,1.4796263009121098,2.312535423847214,0.0,0.040409538337876666,0.1264841471091196,2.41789593950504
nsp1,6,3.5165082281731497,0.663876798259832,2.1302138670532593,1.0316015783851495,1.7819071727850433,1.842531794601478,1.5705980791178364,2.5356789751614235,0.0,2.1302138670532593,0.7233002187306329,1.5240780634829436,0.0,1.9070703157390494,0.381014012244,2.1302138670532593,3.5165082281731497,1.2478246868547855,0.0,0.0,1.842531794601478,0.7030975114131134,1.9760631872260008,0.030153038170687558,2.5356789751614235,0.0,0.0,0.0,0.22067136216882063,0.009950330853168092,3.5165082281731497,3.005682604407159,1.004202604197035,0.0,2.0501711593797225,2.217225244042889,2.217225244042889,0.08252102368800347,1.9760631872260008,2.6692103677859462,0.009950330853168092
nsp10,5,2.0501711593797225,2.217225244042889,2.5356789751614235,2.6692103677859462,2.0501711593797225,2.1302138670532593,2.6692103677859462,2.217225244042889,0.11531084651099437,2.8233610476132043,3.005682604407159,2.1302138670532593,0.0,2.6692103677859462,2.5356789751614235,3.228826155721369,2.0501711593797225,1.088759992225098,0.0,0.009950330853168092,2.8233610476132043,0.19627990904466158,3.228826155721369,1.149384614041533,3.005682604407159,0.030153038170687558,0.13778370236305298,0.0,0.7864791203521644,0.951558870711613,4.61512051684126,2.5356789751614235,2.0501711593797225,1.1811333123561132,2.217225244042889,2.8233610476132043,3.228826155721369,0.8539204011476971,1.9760631872260008,1.6193882432872684,0.0
nsp11,1,3.9219733362813143,3.5165082281731497,3.228826155721369,4.61512051684126,4.61512051684126,3.9219733362813143,3.9219733362813143,4.61512051684126,1.7247487589450947,3.9219733362813143,3.9219733362813143,3.228826155721369,0.9775343571148737,3.228826155721369,4.61512051684126,3.9219733362813143,2.8233610476132043,0.6448286032891376,0.009950330853168092,0.009950330853168092,3.9219733362813143,1.3962446919730587,3.5165082281731497,1.9760631872260008,3.5165082281731497,0.0,0.0,0.626136470276985,1.149384614041533,2.312535423847214,2.8233610476132043,3.5165082281731497,2.217225244042889,2.1302138670532593,3.005682604407159,4.61512051684126,3.5165082281731497,1.9760631872260008,1.842531794601478,2.8233610476132043,3.228826155721369
nsp12,20,0.06124362524071867,0.8309308829229983,0.5546775062948401,1.3962446919730587,2.1302138670532593,2.41789593950504,0.040409538337876666,1.437066686493314,0.0,1.9760631872260008,0.5897688261061101,1.059772455351846,0.0,0.05077232537342326,0.5042466526679482,2.0501711593797225,1.9070703157390494,0.09333193979221911,0.0,0.0,3.005682604407159,0.23309388216737778,2.41789593950504,0.9262410627273231,0.9262410627273231,0.0,0.0,0.0,0.0,0.20840126957700628,4.61512051684126,2.0501711593797225,0.13778370236305298,0.0,2.217225244042889,1.7819071727850433,2.8233610476132043,0.0,1.2139231351791042,2.41789593950504,0.0
nsp13,40,0.0,0.7649729151312008,0.41042789745029334,0.9015484501369516,2.8233610476132043,0.18430371799794587,0.0,0.5546775062948401,0.0,2.217225244042889,0.09333193979221911,3.005682604407159,0.0,0.3524406397999441,0.0,0.13778370236305298,1.4796263009121098,0.009950330853168092,0.0,0.0,1.3570239788197773,3.228826155721369,1.5705980791178364,0.009950330853168092,0.05077232537342326,0.0,0.0,0.0,0.0,4.61512051684126,4.61512051684126,2.8233610476132043,0.39561281166515266,0.0,2.8233610476132043,2.5356789751614235,1.842531794601478,0.0,1.5705980791178364,1.2139231351791042,0.0
nsp14,3,1.6193882432872684,3.5165082281731497,3.005682604407159,3.005682604407159,2.0501711593797225,3.9219733362813143,2.8233610476132043,3.005682604407159,0.18430371799794587,4.61512051684126,2.5356789751614235,1.670681537674819,0.0,2.6692103677859462,1.9070703157390494,3.9219733362813143,2.312535423847214,0.020000666706669543,0.0,0.0,3.005682604407159,1.3192836508369303,3.9219733362813143,3.228826155721369,4.61512051684126,0.0,0.0,0.0,0.0,2.6692103677859462,2.6692103677859462,3.228826155721369,3.228826155721369,1.5240780634829436,3.9219733362813143,3.9219733362813143,2.312535423847214,0.14921239818667575,0.8539204011476971,2.1302138670532593,0.0
