viral,Preys,CD80,CD86 ,INFalpha ,INF beta ,INF g ,TNFa,IL-2, IL-10 ,IL-7 , IL-6 , IL-1β ,INF-ɑ,IP-10 ,CTLA-4 ,PD-1 ,Ki67 , IL-5 , IL-13 ,IL-22,CD64   ,CD66b ,CRP,ferritin l,ferritin h,LDH a ,IL6,FAS ,ACE2 ,ITGAM  cd1b,CD14,FCGR3Acd16,CD68,CD163,MRC1 cd206,PDCD1  PD1,IL1B,CXCL2 ,CXCL8 ,GDF11,NOG,IL10,CXCL10,TNFSF10,NRG1,TIMP1,C5,IL18,AREG,CCL4,CMTM2,IFNG,CTSL,CTSB,DDIT4,RRAS,CTSD,BIRC5,CTSZ,NTRK1,IGFBP3,CCNB1,RRM2,CCNB2,GTSE1,CDK1,STEAP3,TP53I3,TGFB2,CCL3L1,CXCL6,CCL8,SCGB3A1,CCL2,CXCL1,IL33,GRN,CXCL16,IL-8,IL-6,IL-1β,TNF,CCL3,CCL4 ,CCL7,CXCL9 ,CXCL10 ,CXCL11
e,6,3.228826155721369,1.5705980791178364,0.0,0.0,1.9070703157390494,1.1186129553747792,2.217225244042889,0.0,1.7247487589450947,2.0501711593797225,2.312535423847214,0.0,0.0,2.6692103677859462,0.0,1.9760631872260008,2.312535423847214,2.6692103677859462,0.030153038170687558,0.0,1.3570239788197773,0.0,0.5207759546191588,0.0,1.9070703157390494,2.0501711593797225,2.6692103677859462,3.5165082281731497,0.0,2.217225244042889,0.8774508985578912,0.06124362524071867,2.41789593950504,0.0,0.0,2.312535423847214,0.0,0.0,0.0,1.7247487589450947,0.0,0.0,2.8233610476132043,0.2584116901516677,1.7819071727850433,0.0,0.0,3.9219733362813143,0.0,0.0,1.9070703157390494,2.41789593950504,0.3384543978252042,1.059772455351846,1.3192836508369303,2.41789593950504,2.312535423847214,0.0,0.381014012244,1.7247487589450947,2.217225244042889,2.5356789751614235,2.5356789751614235,0.0,1.4796263009121098,1.2829160066660554,2.312535423847214,3.9219733362813143,0.0,0.0,0.0,0.0,0.0,0.0,3.228826155721369,0.0,0.0,0.0,2.0501711593797225,2.312535423847214,1.1186129553747792,0.0,0.0,0.0,0.0,0.0,0.0
m,30,3.5165082281731497,1.0316015783851495,1.7247487589450947,0.0,2.0501711593797225,0.11531084651099437,4.61512051684126,0.0,3.5165082281731497,2.1302138670532593,2.5356789751614235,1.7247487589450947,1.0316015783851495,2.41789593950504,3.228826155721369,0.32466107569286834,2.217225244042889,3.9219733362813143,0.8539204011476971,0.0,3.228826155721369,0.0,0.0,1.9760631872260008,4.61512051684126,2.1302138670532593,1.2478246868547855,2.41789593950504,0.0,0.0,0.36662527479190055,4.61512051684126,0.5207759546191588,0.20840126957700628,3.228826155721369,2.5356789751614235,0.41042789745029334,0.0,0.28438717655492834,1.9760631872260008,0.0,1.0316015783851495,2.1302138670532593,2.0501711593797225,2.8233610476132043,0.14921239818667575,0.0,1.2139231351791042,0.009950330853168092,0.0,2.0501711593797225,0.0,3.5165082281731497,0.0,4.61512051684126,4.61512051684126,0.020000666706669543,2.312535423847214,0.28438717655492834,0.7030975114131134,0.5720692490067094,1.670681537674819,1.7247487589450947,0.0,0.6832948841169336,2.217225244042889,0.009950330853168092,2.312535423847214,0.030153038170687558,0.0,0.0,0.0,0.0,0.0,0.6077873316087885,0.0718257345712555,0.0,0.0,2.1302138670532593,2.5356789751614235,0.11531084651099437,3.005682604407159,0.009950330853168092,0.0,0.0,1.0316015783851495,0.626136470276985
n,15,2.8233610476132043,0.0,0.0,0.0,2.41789593950504,0.8774508985578912,2.1302138670532593,0.0,0.663876798259832,2.0501711593797225,1.5705980791178364,0.0,0.0,1.1811333123561132,0.0,4.61512051684126,2.0501711593797225,2.1302138670532593,0.0,0.0,0.0,0.0,0.22067136216882063,0.0,0.5375830729355401,2.0501711593797225,0.6832948841169336,1.842531794601478,0.0,0.0,0.009950330853168092,0.0,4.61512051684126,0.0,0.0,1.5705980791178364,0.0,0.0,0.009950330853168092,1.9760631872260008,0.0,0.0,2.217225244042889,0.0,0.0,0.0,0.0,0.22067136216882063,0.0,0.0,2.41789593950504,1.9070703157390494,0.0,0.0,0.0,1.149384614041533,0.5546775062948401,0.0,0.0,0.05077232537342326,0.8084580270709397,1.437066686493314,1.4796263009121098,0.0,2.1302138670532593,0.0,0.11531084651099437,0.9775343571148737,0.0,0.0,0.0,0.0,0.0,0.0,2.217225244042889,0.0,0.0,0.0,2.0501711593797225,1.5705980791178364,0.8774508985578912,0.0,0.0,0.0,0.0,0.0,0.0
spike,2,3.005682604407159,1.7819071727850433,0.0,0.0,3.5165082281731497,0.8539204011476971,3.9219733362813143,3.228826155721369,2.8233610476132043,2.41789593950504,2.217225244042889,0.0,0.16077322058775173,2.312535423847214,3.005682604407159,0.9262410627273231,3.005682604407159,3.9219733362813143,3.005682604407159,1.3192836508369303,3.005682604407159,0.23309388216737778,0.0,0.0,0.28438717655492834,2.41789593950504,2.217225244042889,2.41789593950504,0.020000666706669543,0.626136470276985,2.312535423847214,0.7864791203521644,0.10426101032440939,0.0,3.005682604407159,2.217225244042889,0.0,2.0501711593797225,1.437066686493314,3.9219733362813143,3.228826155721369,0.16077322058775173,3.228826155721369,3.5165082281731497,2.312535423847214,1.4796263009121098,0.951558870711613,2.312535423847214,3.005682604407159,0.0,3.5165082281731497,0.32466107569286834,0.7864791203521644,0.0,0.6832948841169336,1.5705980791178364,0.08252102368800347,0.0,0.0,2.0501711593797225,1.0316015783851495,0.4407332469456223,2.6692103677859462,0.7864791203521644,0.8309308829229983,3.9219733362813143,1.3192836508369303,2.0501711593797225,3.9219733362813143,1.059772455351846,0.0,1.1811333123561132,0.9015484501369516,0.0,0.8084580270709397,0.009950330853168092,0.0,2.0501711593797225,2.41789593950504,2.217225244042889,0.8539204011476971,1.842531794601478,3.005682604407159,3.228826155721369,0.0,0.16077322058775173,0.10426101032440939
nsp1,6,2.217225244042889,0.4407332469456223,0.0,0.0,2.6692103677859462,0.36662527479190055,2.312535423847214,0.0,1.7247487589450947,2.0501711593797225,1.6193882432872684,0.0,0.0,1.437066686493314,0.0,2.8233610476132043,1.9070703157390494,2.0501711593797225,0.009950330853168092,0.0,0.4879861317961679,0.0,0.0,0.0,1.842531794601478,2.0501711593797225,1.842531794601478,2.5356789751614235,0.0,0.009950330853168092,0.6448286032891376,1.088759992225098,0.009950330853168092,0.0,0.0,1.6193882432872684,0.0,0.0,4.61512051684126,2.5356789751614235,0.0,0.0,1.842531794601478,0.1264841471091196,0.5546775062948401,0.0,0.0,1.1186129553747792,0.0,0.0,2.6692103677859462,0.381014012244,1.437066686493314,1.670681537674819,1.3570239788197773,1.7247487589450947,1.7819071727850433,0.0,1.9760631872260008,3.9219733362813143,4.61512051684126,3.5165082281731497,3.228826155721369,2.5356789751614235,3.5165082281731497,1.2829160066660554,0.5042466526679482,2.312535423847214,0.0,0.0,0.0,0.0,1.7819071727850433,0.0,1.9760631872260008,4.61512051684126,0.0,0.0,2.0501711593797225,1.6193882432872684,0.36662527479190055,0.0,0.0,0.0,0.0,0.0,0.0
nsp10,5,4.61512051684126,4.61512051684126,2.8233610476132043,3.9219733362813143,2.1302138670532593,1.670681537674819,2.312535423847214,0.0,2.0501711593797225,2.217225244042889,2.1302138670532593,2.8233610476132043,0.0,4.61512051684126,1.9760631872260008,1.0316015783851495,3.5165082281731497,3.005682604407159,1.6193882432872684,0.36662527479190055,3.5165082281731497,0.009950330853168092,0.0,2.312535423847214,2.1302138670532593,2.217225244042889,2.5356789751614235,3.9219733362813143,1.5240780634829436,0.0,3.228826155721369,0.24567266437423793,1.6193882432872684,0.0,1.9760631872260008,2.1302138670532593,0.0,0.009950330853168092,0.2713150949875756,2.6692103677859462,0.0,0.0,2.312535423847214,2.0501711593797225,3.005682604407159,0.7439195059333685,0.11531084651099437,2.0501711593797225,0.0,0.0,2.1302138670532593,0.24567266437423793,2.5356789751614235,1.3192836508369303,2.6692103677859462,2.41789593950504,2.5356789751614235,0.0,1.9760631872260008,2.312535423847214,2.41789593950504,2.5356789751614235,3.228826155721369,4.61512051684126,2.0501711593797225,2.5356789751614235,0.47198579044972677,1.9070703157390494,0.0,0.0,0.0,0.0,0.0,0.0,3.228826155721369,2.0501711593797225,0.0,0.009950330853168092,2.217225244042889,2.1302138670532593,1.670681537674819,0.5546775062948401,0.0,0.0,0.0,0.0,0.0
nsp11,1,3.228826155721369,1.9070703157390494,1.9760631872260008,0.3524406397999441,3.9219733362813143,2.312535423847214,3.228826155721369,0.0,2.6692103677859462,3.005682604407159,2.41789593950504,1.9760631872260008,0.5042466526679482,1.9070703157390494,0.9262410627273231,2.312535423847214,2.6692103677859462,3.5165082281731497,1.2139231351791042,0.0,1.6193882432872684,1.3570239788197773,0.7030975114131134,2.5356789751614235,3.9219733362813143,3.005682604407159,3.9219733362813143,2.8233610476132043,3.5165082281731497,2.217225244042889,2.0501711593797225,1.3570239788197773,2.217225244042889,1.0316015783851495,0.9262410627273231,2.41789593950504,0.0,1.3192836508369303,1.6193882432872684,2.6692103677859462,0.0,0.5042466526679482,3.005682604407159,3.228826155721369,2.1302138670532593,4.61512051684126,1.088759992225098,1.842531794601478,0.0,0.0,3.9219733362813143,2.41789593950504,4.61512051684126,1.7819071727850433,2.6692103677859462,3.5165082281731497,1.7247487589450947,0.0,0.7439195059333685,1.9760631872260008,3.5165082281731497,1.9760631872260008,3.228826155721369,0.3384543978252042,2.8233610476132043,1.670681537674819,2.6692103677859462,2.6692103677859462,0.4254657748148339,1.2478246868547855,0.040409538337876666,0.0,0.0,0.0,2.6692103677859462,3.228826155721369,0.0,1.3192836508369303,3.005682604407159,2.41789593950504,2.312535423847214,1.9070703157390494,0.0,0.3110554236370897,0.0,0.5042466526679482,0.9775343571148737
nsp12,20,2.0501711593797225,0.030153038170687558,0.08252102368800347,0.0,1.3570239788197773,3.9219733362813143,3.005682604407159,0.0,2.217225244042889,2.217225244042889,2.217225244042889,0.08252102368800347,0.0,1.3192836508369303,0.0,0.7864791203521644,1.9760631872260008,3.9219733362813143,0.020000666706669543,0.0,0.009950330853168092,0.0,0.0,0.0,2.41789593950504,2.217225244042889,1.9760631872260008,3.005682604407159,0.0,0.0,0.28438717655492834,0.0,0.0,0.0,0.0,2.217225244042889,0.0,0.0,1.004202604197035,2.41789593950504,0.0,0.0,3.9219733362813143,0.0,0.0,0.0,0.5375830729355401,3.228826155721369,0.0,0.0,1.3570239788197773,0.0,1.3570239788197773,0.8084580270709397,0.0,0.7439195059333685,2.41789593950504,0.0,0.17246926035094304,0.11531084651099437,1.670681537674819,2.0501711593797225,2.6692103677859462,3.005682604407159,1.9070703157390494,0.08252102368800347,0.2584116901516677,1.088759992225098,0.0,0.0,0.0,0.0,0.0,0.0,1.5705980791178364,0.0,0.0,0.0,2.217225244042889,2.217225244042889,3.9219733362813143,0.0,0.0,0.0,0.0,0.0,0.0
nsp13,40,2.6692103677859462,0.009950330853168092,0.0,0.0,3.228826155721369,2.8233610476132043,2.6692103677859462,0.0,1.9070703157390494,2.8233610476132043,1.670681537674819,0.0,0.0,1.9760631872260008,0.0,1.3570239788197773,1.9070703157390494,3.005682604407159,2.41789593950504,0.0,0.0,0.0,1.2139231351791042,0.0,0.18430371799794587,2.8233610476132043,0.7233002187306329,2.217225244042889,0.0,0.0,1.670681537674819,0.09333193979221911,0.009950330853168092,0.0,0.0,1.670681537674819,0.0,0.0,0.0,2.5356789751614235,0.0,0.0,1.9070703157390494,0.0,0.5207759546191588,0.0,0.8539204011476971,2.312535423847214,0.0,0.0,3.228826155721369,0.17246926035094304,1.149384614041533,0.020000666706669543,0.0,0.009950330853168092,1.1811333123561132,0.0,0.0,0.0,3.228826155721369,1.437066686493314,4.61512051684126,4.61512051684126,1.4796263009121098,1.2478246868547855,0.20840126957700628,0.7439195059333685,0.0,0.06124362524071867,0.0,0.0,0.0,0.0,0.8084580270709397,0.9015484501369516,0.0,0.0,2.8233610476132043,1.670681537674819,2.8233610476132043,0.0,0.0,2.41789593950504,0.0,0.0,0.0
nsp14,3,2.0501711593797225,0.7864791203521644,0.0,0.0,2.312535423847214,1.149384614041533,2.1302138670532593,0.0,2.1302138670532593,3.9219733362813143,2.0501711593797225,0.0,0.0,1.7819071727850433,0.0,1.842531794601478,2.8233610476132043,2.217225244042889,0.009950330853168092,0.0,0.06124362524071867,0.0,0.0,0.0,3.9219733362813143,3.9219733362813143,2.1302138670532593,2.6692103677859462,0.0,0.381014012244,1.088759992225098,0.9775343571148737,0.47198579044972677,0.0,0.0,2.0501711593797225,0.0,0.08252102368800347,0.8774508985578912,2.41789593950504,0.0,0.0,3.5165082281731497,1.437066686493314,2.312535423847214,0.6077873316087885,0.0,1.437066686493314,0.0,0.0,2.312535423847214,3.228826155721369,2.8233610476132043,1.437066686493314,0.32466107569286834,4.61512051684126,3.5165082281731497,0.0,0.8539204011476971,3.228826155721369,2.41789593950504,1.9760631872260008,3.5165082281731497,0.11531084651099437,2.312535423847214,1.670681537674819,1.2139231351791042,2.0501711593797225,2.0501711593797225,0.0,0.0,0.0,0.0,0.0,1.670681537674819,2.6692103677859462,0.0,0.08252102368800347,3.9219733362813143,2.0501711593797225,1.149384614041533,0.9262410627273231,0.0,0.0,0.0,0.0,0.0
