viral,Preys,Caspase 3
e,6,2.217225244042889
m,30,1.5240780634829436
n,15,1.2139231351791042
spike,2,1.670681537674819
nsp1,6,2.8233610476132043
nsp10,5,2.8233610476132043
nsp11,1,4.61512051684126
nsp12,20,3.9219733362813143
nsp13,40,4.61512051684126
nsp14,3,3.228826155721369
nsp15,3,3.005682604407159
nsp2,7,2.6692103677859462
nsp4,8,3.5165082281731497
nsp5,1,2.312535423847214
nsp5_c145a,2,3.5165082281731497
nsp6,4,2.312535423847214
nsp7,32,1.9760631872260008
nsp8,24,1.5705980791178364
nsp9,16,1.7819071727850433
orf10,9,2.0501711593797225
orf3a,8,3.228826155721369
orf3b,1,2.5356789751614235
orf6,3,2.5356789751614235
orf7a,2,2.5356789751614235
orf8,47,2.1302138670532593
orf9b,11,1.842531794601478
orf9c,26,1.5705980791178364
