gene,entrez
CD80,941
CD86 ,942
INFalpha ,3439
INF beta ,3456
INF g ,3458
TNFa,7124
IL-2,3558
 IL-10 ,3586
IL-7 ,3574
 IL-6 ,3569
 IL-1β ,3553
INF-ɑ,3439
MOP-1,
IP-10 ,3627
CTLA-4 ,1493
PD-1 ,5133
Ki67 ,4288
 IL-5 ,3567
 IL-13 ,3596
IL-9,3578
IL-22,50616
INF g ,3458
HLA-DR  ,
CD64   ,2209
CD66b ,1088
CRP,1401
ferritin l,2512
ferritin h,2495
D-dimer,
ﬁbrinogen ,
LDH a ,3939
IL6,3569
FAS ,355
ACE2 ,59272
IL6,3569
 IL-10 ,3586
TNFa,7124
ITGAM  cd1b,3684
CD14,929
FCGR3Acd16,2214
CD68,968
CD80,941
CD163,9332
MRC1 cd206,4360
PDCD1  PD1,5133
IL1B,3553
CXCL2 ,2920
CXCL8 ,3576
GDF11,10220
NOG,9241
IL10,3586
CXCL10,3627
TNFSF10,8743
NRG1,3084
TIMP1,7076
C5,727
IL18,3606
AREG,374
CCL4,6351
CMTM2,146225
CXCL8 ,3576
IFNG,3458
CTSL,1514
CTSB,1508
DDIT4,54541
RRAS,6237
CTSD,1509
BIRC5,332
TNFSF10,8743
CTSZ,1522
NTRK1,4914
IGFBP3,3486
CCNB1,891
RRM2,6241
CCNB2,9133
GTSE1,51512
CDK1,983
STEAP3,55240
TP53I3,9540
CXCL2 ,2920
TGFB2,7042
CCL3L1,6349
CXCL6,6372
CCL8,6355
SCGB3A1,92304
TNFSF10,8743
CCL2,6347
CXCL1,2919
IL33,90865
GRN,2896
CXCL16,58191
IL-8,3576
IL-6,3569
IL-1β,3553
TNF,7124
CCL3,6348
CCL4 ,6351
CCL7,6354
CXCL9 ,4283
CXCL10 ,3627
CXCL11,6373
