viral,Preys,ATP2A2_score,ENO3_score,ACTB_score,TPM2_score,TPM4_score,CALM3_score,TPM1_score,CALM2_score,MYL9_score,MYL6_score,TNNC1_score,CKM_score,MYL7_score,MYH11_score,MYLK_score,MYL4_score,TNNI1_score,TPM3_score,MYH6_score,TNNI3_score,CAPZB_score,ACTC1_score,MYOM2_score,TMOD1_score,TTN_score,MYH8_score,MYO1G_score,TRIM63_score,TNNT3_score,NEB_score,MYL3_score,OBSCN_score,MYH2_score,MYO7A_score,MYO3A_score,MYH7_score,MYH15_score,MYO3B_score,MYO1H_score,MYO15A_score,MYLK2_score,MYO7B_score,MYO1A_score,MYH4_score,MYH1_score,MYH13_score,MYO1F_score
e,6,0.000656160692868019,0.0003886240770110914,0.0013283692199726148,0.0005457092415851064,0.0005339180218803495,0.000691337006037151,0.0007034198846433073,0.0006813103246772198,0.0003125966688249486,0.0005842209503904614,0.0001631328457723889,0.001232681371678819,5.6413157923086734e-05,0.0004032689431785385,0.00027760624411966525,0.00012579268528435986,0.00024351096314340512,0.0006304706557132115,0.0002845783366747033,0.00021826974841369882,0.0006436340822378565,0.0017741941081118736,0.00017273386220638078,0.00031486117394738535,0.0005953552361565818,0.0007313307810432385,0.00018179920392560916,0.0005626122297296754,0.00010068380346576126,0.0005095613306564479,0.0001597111352936154,0.00029024658743838556,0.00022579021794844978,0.00018971537869014394,7.016144293877314e-05,0.000325638996006506,0.00013579380616528795,0.00015737606824924063,0,8.96450524438563e-05,0.000957437904332172,8.240928538207307e-05,0.0001769041887951826,0.0002285788197735582,0.0002721119912078353,0.00026050479902173885,0.00016315535021407487
m,30,0.005745302214573877,0.0023165688679356636,0.007493922646634534,0.0027865534339717142,0.0027620785586342945,0.00415715788122394,0.0037960151477889315,0.004129460969017329,0.0013149778758243722,0.00307598961209233,0.0007780926111945466,0.0014193204504807436,0.0002715071201338333,0.0020149418260594727,0.0016492802586207816,0.0005751384531790199,0.0010827217036594886,0.003505957244755017,0.001312510932623852,0.0011559799110521026,0.003332473503311738,0.0054342963023545025,0.0007360256779268809,0.0015821678740286667,0.0025626100024749828,0.0011745762233943222,0.0008631841806323804,0.0026506875730850413,0.00047197510318293184,0.0016855771448927319,0.0007237330618488406,0.0013712627284679071,0.001130087959539459,0.0012205369018724683,0.0003453482203229846,0.001426997512583903,0.0006489883579349102,0.0037107228680149334,0,0.00046064757202707047,0.002576047995826914,0.0009815744411368322,0.0008597921429831714,0.000999899911604808,0.0012480005047173792,0.0010362418764356235,0.0007694096217465142
n,15,0.0027265064044561214,0.0016856392011460805,0.005622951369030038,0.0025701352618218913,0.0027991109729288035,0.0030743778983582312,0.002991512201155527,0.002927020930717442,0.0013217880163022703,0.0025558671422095305,0.0006724383952769759,0.0010318820228571483,0.00024261204588529997,0.0017822503138882771,0.0010162421813847712,0.0007958397131189084,0.0009791965716598207,0.002901351676225552,0.0012151503423626854,0.000961777119011315,0.002846103930407716,0.0056857781959712755,0.000667251660450507,0.0013701273363403725,0.0023767303727712744,0.0010754833252686012,0.0007869632115603319,0.0023129302492095084,0.00042998167980078436,0.0014995733056549266,0.0006489863453228148,0.0015368371539808932,0.0009134872478895651,0.0007991678338758745,0.0002793851974319045,0.0011544880389546936,0.000488916293218791,0.000502745345473445,0,0.00037747858622084253,0.0026404339546069,0.0003343159461785535,0.0007399756822071494,0.0009648523974480606,0.0011293245179199956,0.0011207678919758863,0.0006727729894105079
spike,2,0.00010733638060150886,5.9473851600851114e-05,0.00021564567872157445,0.00010948502097788516,9.875759790613459e-05,0.0001345938148080163,0.00015353697590270385,0.00013782140661459396,4.009394356606145e-05,9.945685187174437e-05,2.8359986258915002e-05,3.888013214717964e-05,9.562462489831218e-06,6.332870201382404e-05,4.286279282745467e-05,2.8134073145288727e-05,5.8453744012440034e-05,0.0001021547862120036,6.007464636434575e-05,3.720619664075157e-05,0.00011336133260965217,0.00018421044446856354,5.633616521775984e-05,8.513752087538867e-05,0.00011178154156775446,5.1601336195839e-05,2.8246477761213207e-05,9.582435234028197e-05,1.5907126892144943e-05,5.988754160938164e-05,2.8567750615901764e-05,4.9522422848974413e-05,5.433373496970152e-05,3.814377594420394e-05,9.515360879979894e-06,6.186075547094235e-05,2.4913643293704496e-05,1.8622632558224448e-05,0,1.3034678758584512e-05,7.506353421051736e-05,1.8049141521189844e-05,2.406191223324748e-05,5.316810995954923e-05,5.6486350080400976e-05,4.4467523432745735e-05,2.40953165564131e-05
nsp1,6,0.0005628790346291562,0.0003329064972472898,0.0010015223841456588,0.00047755232183104886,0.0004218083236340473,0.0005700818926011018,0.0005657290263745583,0.0005664257641036563,0.00023321578055427215,0.0004749751482298282,0.00013344071379941456,0.00018804201610562115,4.854535186165677e-05,0.0003882761229715887,0.00019231444608762768,8.912828054828025e-05,0.00020256651572124162,0.0005165773706574496,0.00022550589077914704,0.0001858823962490503,0.000573383092303351,0.003620236031815996,0.00014935883212667837,0.000281115536334651,0.00045395102470352586,0.00022661644663136483,0.00013366728630731314,0.0004749586502331434,8.983849022851405e-05,0.0003667647677721863,0.00013135545166075135,0.0002388262757521864,0.00018160642319523977,0.0001604575390914001,5.967878346875834e-05,0.00025886902458914713,0.00013739372781212722,9.61048316118425e-05,0,6.491515358355923e-05,0.0005023877583981729,7.06287394304572e-05,0.00013958017256633447,0.00018073655894558494,0.00022612823169346858,0.0001838171507137469,0.00019378302702843615
nsp10,5,0.0006749328017145866,0.0004172280773863632,0.0014214291082146617,0.0005626364743524558,0.0005288613170124602,0.000767555948593085,0.0006581235249387778,0.0007670822653848865,0.0002968888678927627,0.0006258984653676951,0.0001807669473388717,0.00022877873196266817,5.7715199092497946e-05,0.00042407390590964186,0.00026567940513504487,0.00014169152022550457,0.00032187801015406937,0.0006297863163156546,0.00032709898773986825,0.0003194740950987167,0.000700197300461998,0.001147225533216389,0.00014786552136557718,0.00036014214198708527,0.0005275164157988919,0.00023454026853195057,0.00016316504058390196,0.0005466659915142393,0.001211084040624956,0.0003500369004701108,0.0001739844376443393,0.00026751256368386957,0.0002065270025144755,0.00018600201297507124,6.338021959960343e-05,0.0002889094478235406,0.00011770294724667311,0.0001696430856537007,0,9.160339400249564e-05,0.000510177791823779,0.00010818883699118394,0.00015859005418738186,0.00019847464535784903,0.00024359255430285906,0.0002834036492720882,0.0001822437362346623
nsp11,1,0.00011113561832930135,0.00018223617259678133,0.0002516217825995306,0.00010977218028903306,0.00013969705959480626,0.00016483192456652663,0.00013262061915641466,0.00018245663424655044,5.010901488645538e-05,0.00011994928995193507,2.6692310618035245e-05,4.242767127761242e-05,1.1206330256386753e-05,8.285812778515046e-05,4.3283027546723324e-05,1.951359320353322e-05,3.869333129943951e-05,0.0001519128141343678,4.458862665502173e-05,4.150447138915223e-05,0.0001226062431873082,0.00019556305208585196,3.64888539506271e-05,5.953894009735792e-05,8.980452372240371e-05,4.747561358443562e-05,2.689382507487736e-05,9.993726214447482e-05,1.6393680376866667e-05,5.878121747497641e-05,2.4041287334414206e-05,5.082370626945075e-05,3.530815555370841e-05,3.037486205828017e-05,1.0233878446756171e-05,4.7802910270920896e-05,2.107564402575277e-05,1.9881671932224252e-05,0,1.587826003725871e-05,8.319605318874935e-05,1.453912580928466e-05,2.5591603844749264e-05,3.24495003073214e-05,4.401160987950057e-05,3.353072626815936e-05,2.642440605679126e-05
nsp12,20,0.0024679884707222034,0.0011667243025498212,0.003405193003812988,0.001581514825871627,0.00144552878451385,0.002132516487317211,0.0018488840070429932,0.0021307444303519615,0.0008041456171508283,0.001574037216335392,0.00046823644102357554,0.0006306079824742,0.00018270490600761721,0.001188929840358665,0.0006751743666910113,0.0003255573946159099,0.0007321208413202006,0.0017402651568259914,0.0008111770865623443,0.0006341508119849227,0.001842311746698736,0.003995157533738874,0.0004881305080880596,0.0009277384577482843,0.0017701009600476815,0.0006670023020046975,0.0004430968016467092,0.0016162298446826915,0.00028395733495888934,0.0010266425714674466,0.00046541359801143244,0.0007966995110147907,0.0005977162801693529,0.0005273951763043758,0.00019323725886661705,0.0008181839432221813,0.0003264357258964673,0.0003558734795296756,0,0.00030387346052052283,0.0015111726635691656,0.000228347737296994,0.000495909402656538,0.0006069853729501399,0.0007157289234285009,0.000625378646670893,0.00044714010216773657
nsp13,40,0.004409271337374514,0.0046725811446671085,0.00865937774412407,0.005126593930468057,0.003744317444544948,0.008057547692646218,0.00631399644634811,0.008275515097120389,0.002070320045022517,0.006101839743369811,0.0023399777719879337,0.0017543992255794232,0.0004923543576963235,0.0031342164281882336,0.0019578653527902007,0.0007469374787756014,0.0025293921949076244,0.00454343501593815,0.002470394171489147,0.005721938972079531,0.005312656956973364,0.009405802241900196,0.0014353346535385559,0.0035169595572689992,0.0056324679840412985,0.003060898520973136,0.0011600518428886357,0.0063972756225411966,0.0037923862989614272,0.0029240090390184933,0.0011939686756281364,0.0020534744752603597,0.0030829590399241626,0.0016579777982765134,0.00046424229245886997,0.0038363357233505654,0.0009236134365212837,0.000869466434285294,0,0.0022290532365147305,0.003706855224740942,0.0007039496092726424,0.0012335679964399658,0.003159172075232684,0.003320382639386476,0.0034371869202584537,0.0011781487746694462
nsp14,3,0.00028107608412325134,0.00019132854363014876,0.0005559892184056269,0.00022149385336932604,0.0002178509200401272,0.000295697419681259,0.00026689045182157005,0.00029331536945551863,0.00011657097226273915,0.00024140452365461272,6.269311743111552e-05,0.0001104498359043214,3.191753039054038e-05,0.00019007699976026336,0.00010209139115190208,5.5946335594163464e-05,9.118119592866181e-05,0.0002844092583825681,0.00014310464412314967,8.938688364536093e-05,0.00034064690800699615,0.0005095013053805072,6.379824276586187e-05,0.00016571548271648268,0.0002204904612311072,0.00010288254424885991,6.778430290936082e-05,0.00022796160362250652,4.150982423559224e-05,0.000149773623332682,6.161127039095336e-05,0.00011569190963964495,9.030915134261325e-05,7.650951057974304e-05,3.349872024455042e-05,0.00011636604746029003,4.879025758185257e-05,5.650492714857197e-05,0,3.5130637908183244e-05,0.00021418107073474735,4.1479679336701124e-05,7.369413579275419e-05,8.316260881916876e-05,0.00014326845537385275,8.881626151525128e-05,6.951760882099712e-05
