viral,Preys,CD80_score,CD86 _score,INFalpha _score,INF beta _score,INF g _score,TNFa_score,IL-2_score, IL-10 _score,IL-7 _score, IL-6 _score, IL-1β _score,INF-ɑ_score,MOP-1_score,IP-10 _score,CTLA-4 _score,PD-1 _score,Ki67 _score, IL-5 _score, IL-13 _score,IL-9_score,IL-22_score,HLA-DR  _score,CD64   _score,CD66b _score,CRP_score,ferritin l_score,ferritin h_score,D-dimer_score,ﬁbrinogen _score,LDH a _score,IL6_score,FAS _score,ACE2 _score,ITGAM  cd1b_score,CD14_score,FCGR3Acd16_score,CD68_score,CD163_score,MRC1 cd206_score,PDCD1  PD1_score,IL1B_score,CXCL2 _score,CXCL8 _score,GDF11_score,NOG_score,IL10_score,CXCL10_score,TNFSF10_score,NRG1_score,TIMP1_score,C5_score,IL18_score,AREG_score,CCL4_score,CMTM2_score,IFNG_score,CTSL_score,CTSB_score,DDIT4_score,RRAS_score,CTSD_score,BIRC5_score,CTSZ_score,NTRK1_score,IGFBP3_score,CCNB1_score,RRM2_score,CCNB2_score,GTSE1_score,CDK1_score,STEAP3_score,TP53I3_score,TGFB2_score,CCL3L1_score,CXCL6_score,CCL8_score,SCGB3A1_score,CCL2_score,CXCL1_score,IL33_score,GRN_score,CXCL16_score,IL-8_score,IL-6_score,IL-1β_score,TNF_score,CCL3_score,CCL4 _score,CCL7_score,CXCL9 _score,CXCL10 _score,CXCL11_score
e,6,0.00015506044316930813,0.00012268890894649107,0.00013554780035064917,4.0228040867871047e-05,0.00010918216307898258,0.0008287371459887502,0.00010807384344321846,0.00010614846748695694,0.00010883827245349194,0.00016608597528554593,0.00021593737447868445,0.00013554780035064917,0,0.00015118992920472188,0.0002439596737902608,0.000297481793668583,0.001415298268806918,7.658922196095795e-05,9.521496553858458e-05,0,6.68762112403911e-05,0,0.0002675553460760639,9.480232332580294e-05,0.0003134264261108418,0.0003477642897159776,0.0004375864199948474,0,0,0.000763176953807935,0.00016608597528554593,0.0005344166617251992,0.0003261724817607295,0.000225093634392144,0.00028104441922345547,0.00020270286950378112,0.0002046008597325805,9.997792137032271e-05,5.666295465191418e-05,0.000297481793668583,0.00021593737447868445,0.00013995038691117488,0.00014149439565329234,0.0001586602349332749,9.332762500642656e-05,0.00010614846748695694,0.00015118992920472188,0.00023234031030682767,0.00038688051931271656,0.00020305541291291122,0.00019090426674487208,0.0001384704472837664,0.00021552158050217542,0.00015347762624290915,0.00010108099610439903,0.00010918216307898258,0.0002621952057881291,0.0003907247474412643,0.00020132607052943832,0.0003033406352505266,0.00043917611593215255,0.0004398357444308879,0.00013681959800470814,0.002164528852484533,0.0002591381714188012,0.0006579105612802489,0.0003783725601768013,0.0003629433460044491,0.0005336024457456064,0.0010453874703102077,0.0002927290516342399,0.00016777714969866213,0.00022514431916404826,9.394274444365721e-05,0.0001234819148447228,0.00011861780838529469,9.522190728322608e-05,0.00018978571360090397,0.00011914845047346984,0.00037083386640369043,0.0006067479537142282,0.00019027844863646313,0.00014149439565329234,0.00016608597528554593,0.00021593737447868445,0.0008287371459887502,0.00010156450110378645,0.00015347762624290915,0.00012226100857735454,0.00021235576416038518,0.00015118992920472188,0.00017604696848983522
m,30,0.0009758779247062542,0.0006210513228804588,0.0009396841987523672,0.00021662788705851204,0.0006009489658935612,0.004156297662839962,0.0013704449508461644,0.0006592356408592948,0.0010670076882186577,0.0007957299214882745,0.0011485508748246647,0.0009396841987523672,0,0.0010753771764290428,0.001237649670885916,0.0033936203435577677,0.005404743232665524,0.00037888610943436065,0.0007218411359933321,0,0.00039629816941538163,0,0.0012717275547426206,0.0006679405577349473,0.0016293386686047286,0.0016152041330304713,0.003523685609523185,0,0,0.00621482751009316,0.0007957299214882745,0.0027024741783744062,0.001552072505585254,0.0013692784476312567,0.0011406351246088743,0.0010202745740924496,0.00920956592274032,0.00039255866810043066,0.0003680516025283155,0.0033936203435577677,0.0011485508748246647,0.0009993465033284155,0.0007586756045153036,0.0009295345272972093,0.00046663008457089385,0.0006592356408592948,0.0010753771764290428,0.0013030470890839142,0.002591774711006968,0.0010803364332389654,0.001099407404821749,0.0007084360600275385,0.0009464668300967509,0.0011124735133371515,0.0006104758023335919,0.0006009489658935612,0.0011209104977987839,0.003934230883876532,0.0009223678344938933,0.003972709883397867,0.007632977649822779,0.0018123167481715397,0.0016126423665191374,0.011361062013139665,0.0012525293652835732,0.0029607258836076324,0.0018049628997279675,0.0017813713023186154,0.002510617114587209,0.004762048574371878,0.0019060200175946504,0.0006936460261507626,0.000806977643525962,0.0005665988086177555,0.0007572564824249709,0.0007217071713067288,0.00047067134212269354,0.0010278586554678926,0.0005577468876781442,0.001017726455506734,0.0032734519643304438,0.0012106211204691549,0.0007586756045153036,0.0007957299214882745,0.0011485508748246647,0.004156297662839962,0.000774113075766894,0.0011124735133371515,0.0006548666770529573,0.0015487655758584051,0.0010753771764290428,0.001187879875805913
n,15,0.0005690881080755555,0.0004519113178907224,0.0006160871412323967,0.00016484358060138847,0.0004912642373746659,0.003964836923956281,0.0004503774423572871,0.00041578865078554736,0.000448672598263461,0.0006967158639678408,0.0008937125519557895,0.0006160871412323967,0,0.0006045756619383289,0.0009632936089838128,0.0012672784141597724,0.0065997853230660136,0.00032451256849080055,0.00037977241417729094,0,0.00026110904158101086,0,0.0010828709194452201,0.00032473120653286327,0.0012955766861207803,0.0015330267325618617,0.0019961440780643025,0,0,0.003263925692139812,0.0006967158639678408,0.0021469307057393064,0.0012639037792268957,0.0008036379171800054,0.0009618981685890525,0.0008430523518644644,0.0008332900418868371,0.00623448654534755,0.0002546634686510296,0.0012672784141597724,0.0008937125519557895,0.0005642002463956112,0.000578058287998716,0.0007610941038357775,0.00039134075929310507,0.00041578865078554736,0.0006045756619383289,0.0010425158693767435,0.0015239247556874222,0.0007295235886731584,0.0007226345344102256,0.0005697709433805912,0.0007457899400997243,0.0005765455300459436,0.00041201913120184996,0.0004912642373746659,0.0014432074225884488,0.0017361352189966697,0.0008068086366458301,0.00113984367880116,0.0019166342276594481,0.0016198054733822373,0.0005786736029577778,0.009141035941818643,0.001029677344517014,0.0027321760172893533,0.0015319297180411747,0.0015428537694594572,0.0021850195558814666,0.004515722990113355,0.001117843720302626,0.0006310209330800617,0.0006464466061247557,0.00035959490709253555,0.0005021963608080821,0.000477499180773585,0.0004422126280929472,0.0007320883850116091,0.00046417339663972304,0.0010493750382511743,0.002559122688205027,0.0006940804138258892,0.000578058287998716,0.0006967158639678408,0.0008937125519557895,0.003964836923956281,0.00046918277312368,0.0005765455300459436,0.00048334307150341144,0.0008363796811954359,0.0006045756619383289,0.000708816129754555
spike,2,2.81609491488373e-05,2.2080273834214905e-05,2.2720439817810473e-05,7.025802126912427e-06,4.198737127211524e-05,0.00014155404508144718,2.849606599854446e-05,4.036609324428142e-05,2.0684744891279755e-05,3.403336870272225e-05,4.3137955116837824e-05,2.2720439817810473e-05,0,3.1027877384118036e-05,4.4181432174460406e-05,8.761380648230142e-05,0.00018229891280653835,1.3214678886573638e-05,2.3237443032025997e-05,0,2.3227428488166786e-05,0,5.275219578678673e-05,3.881342929468386e-05,5.677714352294432e-05,4.9654194986970834e-05,7.421962390792282e-05,0,0,0.00011085823308068114,3.403336870272225e-05,9.852677010466336e-05,5.740472101754566e-05,4.8444472919828257e-05,4.008927885051806e-05,4.575352282020574e-05,3.708815691418505e-05,1.1609750061636631e-05,9.717345615906136e-06,8.761380648230142e-05,4.3137955116837824e-05,2.7888417578829094e-05,3.10125033340877e-05,3.219384495121585e-05,2.567338027424434e-05,4.036609324428142e-05,3.1027877384118036e-05,6.854694044233755e-05,0.00011547577907058604,4.476316004835992e-05,4.09628942036658e-05,2.6528872323674968e-05,3.3039819893436584e-05,5.3105518439232e-05,1.9272783945319523e-05,4.198737127211524e-05,3.760922987198783e-05,6.878097396105203e-05,2.7487606470786496e-05,4.735992922010851e-05,7.492506035353165e-05,5.7167886900601195e-05,2.738838066350316e-05,0.0002884304661323842,4.9511335016618946e-05,0.00010231898801634848,5.2322361283454344e-05,6.377538423206513e-05,0.00010112878720049362,0.00014479668927755524,0.0007913257875390139,2.5134710927615084e-05,2.7668639785300615e-05,5.3514724273240554e-05,2.656143980898535e-05,2.475758416751446e-05,2.3949448693868427e-05,4.065657179444496e-05,2.1390041970676246e-05,3.226861941617595e-05,9.974338909882744e-05,3.8103703585709054e-05,3.10125033340877e-05,3.403336870272225e-05,4.3137955116837824e-05,0.00014155404508144718,2.1293100868665563e-05,5.3105518439232e-05,4.775711713556881e-05,4.7457815735070295e-05,3.1027877384118036e-05,3.573996730124939e-05
nsp1,6,0.00011346269020626155,9.484827656538847e-05,0.0001164183314551214,3.3884775918497316e-05,0.00010878917370010944,0.0006791017743632331,8.798527608585926e-05,8.68472352542544e-05,8.875896569528981e-05,0.0001417804755427723,0.00017824596998438372,0.0001164183314551214,0,0.00012761821772221937,0.00018886120540080828,0.00024671449167555605,0.001546824535437355,6.144853086489966e-05,8.592097404973864e-05,0,5.574867556207864e-05,0,0.0001982913423578787,6.998707848399282e-05,0.00025706860036319926,0.0002579072123056229,0.0003540377705817291,0,0,0.0006301014116704695,0.0001417804755427723,0.0004634541164238442,0.0002385335281925616,0.00017320781432151062,0.00018692845138320086,0.00016720303792914644,0.00019621460770007914,5.52442030176988e-05,5.278386275085366e-05,0.00024671449167555605,0.00017824596998438372,0.00011597501586949268,0.00012522632428751127,0.00034533453951252004,7.954718726831797e-05,8.68472352542544e-05,0.00012761821772221937,0.00019359284393641505,0.00032779049508710576,0.0001502807376545049,0.00014869364286536474,0.00012072711223085726,0.00015933691802344634,0.00011593342954474579,8.313493787018622e-05,0.00010878917370010944,0.00019284870296742103,0.000357421858241107,0.00018097427712603057,0.00025975914428827125,0.000382557102667259,0.00033622605695742284,0.00012790706660458062,0.002289161633641573,0.0008794491978892031,0.0019206859637505194,0.0003230918550794141,0.00039528994181526765,0.0010225287047950806,0.0017970476081651152,0.00024732048823914354,0.0001203213658798332,0.00014629881427555855,7.326463285286906e-05,0.00010341838386973649,0.00010345025321475488,7.957913065109612e-05,0.00022877158486053816,8.899183661604284e-05,0.00019890893941419712,0.001712438938819385,0.000149420681124309,0.00012522632428751127,0.0001417804755427723,0.00017824596998438372,0.0006791017743632331,8.007439868461251e-05,0.00011593342954474579,9.959850975159315e-05,0.00017567441109391196,0.00012761821772221937,0.00015029492195013438
nsp10,5,0.0005721101772338867,0.0006044206600936047,0.0002012728074815828,0.00017683524881858677,0.00010850595437400838,0.0007989286934046852,0.00012116954492066564,0.00010724133607163282,0.00011049201761228889,0.00015889015027693672,0.00020665646545116892,0.0002012728074815828,0,0.0001521841948680203,0.003011456803798557,0.0003437532568586506,0.0011271037297651647,8.875484550543751e-05,0.00011061090648033177,0,7.644861887711634e-05,0,0.00028131395247763777,0.0001295554253665063,0.00030981223268487475,0.00029913884948995755,0.0005430989299793788,0,0,0.000796203909229081,0.00015889015027693672,0.0005422526115525825,0.0003228793004881054,0.00032258858379011657,0.00020972689562863273,0.00023479413232079945,0.00019917461268982237,7.731871662315977e-05,5.814956893563294e-05,0.0003437532568586506,0.00020665646545116892,0.00014870711219958142,0.00013927260397991802,0.00016277972386889104,9.612474347806583e-05,0.00010724133607163282,0.0001521841948680203,0.00022956053152450558,0.0004147411426712814,0.0002090189373543357,0.00020601444149708056,0.0001392423418558042,0.0001866334795060773,0.0001648663128271504,9.993154000647777e-05,0.00010850595437400838,0.0002149132097263916,0.0004209045978392642,0.00019389515745038734,0.00031762408511829806,0.0005741056361968522,0.00042486807087912333,0.00013544047305608464,0.0023760207885162544,0.0002652542263570014,0.0006014802451299055,0.0003599633208556771,0.0003526849448736501,0.0018609933573776427,0.000979038434166755,0.0003090581878578925,0.00013343055280271664,0.0001484984626787932,9.322778600795101e-05,0.00012390411667484203,0.00011933291656741119,9.12234293313151e-05,0.00017297767217472977,0.00010201517111022136,0.00023662751893828652,0.0006952092670032414,0.00017954910546543485,0.00013927260397991802,0.00015889015027693672,0.00020665646545116892,0.0007989286934046852,0.00010480185221345761,0.0001648663128271504,0.00011885675689537114,0.00021392388435624316,0.0001521841948680203,0.00017878698693651936
nsp11,1,2.2656831972279614e-05,1.8207271112265972e-05,3.058086926808161e-05,8.263731237892602e-06,2.2955594673126564e-05,0.00013211945632170358,2.1716087037854836e-05,1.823881178141681e-05,1.78588243303417e-05,2.8409382964135398e-05,3.7037704498333536e-05,3.058086926808161e-05,0,2.7407291258098515e-05,3.642615597957104e-05,4.85334676453767e-05,0.00017465071257947873,1.2442370823310501e-05,1.5891032129051123e-05,0,1.1012322280981574e-05,0,3.9593870598689255e-05,1.360781298973697e-05,5.4625991596598174e-05,4.960201444143652e-05,8.946053468215277e-05,0,0,0.00021166947846651342,2.8409382964135398e-05,0.00013510018051920828,5.082043706258948e-05,6.715802846225108e-05,4.437622621995633e-05,3.5220790160335096e-05,3.262980866445309e-05,1.2195609692015572e-05,1.0578112869968166e-05,4.85334676453767e-05,3.7037704498333536e-05,2.4822513922834153e-05,2.399457576556535e-05,2.9779536867119026e-05,1.605526544332419e-05,1.823881178141681e-05,2.7407291258098515e-05,5.072449043592352e-05,7.46950267840331e-05,3.1536791665844016e-05,6.204431820436499e-05,2.309171298924903e-05,3.076591356000244e-05,2.7167243125657145e-05,1.713803058707406e-05,2.2955594673126564e-05,4.526550604532084e-05,0.0019183726392229443,3.057637059292951e-05,6.0035590919228145e-05,0.00019872797674313865,6.315989777511466e-05,2.2504969704661024e-05,0.00030511705566658965,4.153357968723742e-05,0.00010938363006446944,6.060337496699316e-05,7.262357960961795e-05,8.022710002886403e-05,0.00016062508324372402,4.539438886111488e-05,2.605212598563263e-05,2.556918796438874e-05,1.5884539111499135e-05,2.343307030453568e-05,2.1587384972319558e-05,1.5164908760690076e-05,2.9843022730056314e-05,1.7464338731474386e-05,3.697682422001125e-05,0.00013981645905834222,3.056265193062619e-05,2.399457576556535e-05,2.8409382964135398e-05,3.7037704498333536e-05,0.00013211945632170358,1.9562000206000144e-05,2.7167243125657145e-05,2.0653314303056634e-05,3.712116524460083e-05,2.7407291258098515e-05,3.238259013284538e-05
nsp12,20,0.0003764527658299338,0.0003153668500497177,0.000466839036682163,0.0001250179377724427,0.00031864290774626927,0.004672025613857342,0.00041976974291108027,0.0002889310329365725,0.0003417581760379813,0.0004763388000233121,0.0006469378961619521,0.000466839036682163,0,0.00041358350734700406,0.0006414105110581227,0.0007671306997922594,0.0033600036164280226,0.00021180191755173673,0.00040598696223164674,0,0.00020285975614189552,0,0.0006344195343583292,0.0002324777291497283,0.0008315889047217067,0.0008480511506985984,0.0013393603224751368,0,0,0.002747273764811761,0.0004763388000233121,0.0019162590885732599,0.0008478134913375012,0.0005267008836315721,0.0006192765314741897,0.0005760521788924119,0.0005476241787995654,0.0001860321529607097,0.0001618964002470549,0.0007671306997922594,0.0006469378961619521,0.0004049481161367603,0.0003876114905641576,0.0005720577555607886,0.0002960864563104037,0.0002889310329365725,0.00041358350734700406,0.0030080973162924626,0.0011094181184667046,0.0004920033231983229,0.0004949971000799708,0.0004728921935839556,0.0006434895315482615,0.00039237168082653374,0.00027110827404496515,0.00031864290774626927,0.0006246878108790013,0.0012538677386918651,0.0005849064200857255,0.0007270425334543001,0.0012407984648464877,0.0012403651366539707,0.00043236115363456376,0.006307001847656612,0.0006875975392978016,0.0018538630579664124,0.0010535187068958255,0.0010421007868054656,0.002781465246295463,0.0032541203949026363,0.000790221784062491,0.00042065310373557113,0.00042461781004511363,0.00026020188703925124,0.00034908291272393275,0.0003282974650385379,0.00028775010551612695,0.0004970016779992699,0.00029995817527484413,0.0006265114296308525,0.0016849022850872217,0.0004985682457025847,0.0003876114905641576,0.0004763388000233121,0.0006469378961619521,0.004672025613857342,0.0002818316919721833,0.00039237168082653374,0.00033549796495953597,0.0005947345734496985,0.00041358350734700406,0.000481966608495619
nsp13,40,0.0010070517744137498,0.000776010077722768,0.0009183047442942339,0.00027562762106924483,0.001501723441906358,0.007560277886400935,0.0008159523770321482,0.000799138740273165,0.0008395293696398593,0.00151209641338365,0.0016817509359231546,0.0009183047442942339,0,0.0011305829091159956,0.0016180937986294951,0.0021004890323473367,0.009018062331332767,0.0005205443145728256,0.0007392562579545517,0,0.0007546398836899988,0,0.0016422255917039285,0.0006033851679641832,0.002101175251400515,0.0029064549026100784,0.0032890265417731463,0,0,0.005035990756415079,0.00151209641338365,0.003878550729331082,0.0021755770101745384,0.0014206036281602273,0.0016348294783843048,0.0015949715614908078,0.0016331592620342343,0.0004910127311993843,0.0004953467884737683,0.0021004890323473367,0.0016817509359231546,0.0010368009131593349,0.0010186840842451874,0.0011854322921052592,0.0006752631506164354,0.000799138740273165,0.0011305829091159956,0.001788199271831706,0.0027857710300527396,0.001388613890245973,0.0013172426142227791,0.0012392228421887808,0.0018569651195418453,0.0009957405940571075,0.0007127554020486142,0.001501723441906358,0.001756111543022525,0.0031737884758846137,0.001389059813456989,0.0020606624599882988,0.002996464166337168,0.00300826839232281,0.001118868846237793,0.013292719429154973,0.0017136919234694255,0.0061242845376633034,0.003052456527087021,0.004520378520192407,0.007632076658682043,0.007186672516444224,0.002193914108366523,0.001082034368459529,0.0010853456494631947,0.000645108169138098,0.0011425575542564198,0.0008861129867135318,0.0006822365888708522,0.0012379667470830713,0.00081432119756005,0.0014892416441960386,0.005486852029595901,0.001346824302346474,0.0010186840842451874,0.00151209641338365,0.0016817509359231546,0.007560277886400935,0.0006912904478157478,0.0009957405940571075,0.0015028210395330167,0.0016010654963802375,0.0011305829091159956,0.0012814156671901915
nsp14,3,5.904394003691872e-05,4.632061299349548e-05,5.540194237840428e-05,1.6120129149145305e-05,5.022410125448928e-05,0.00034252205505545726,4.6268018639947236e-05,4.41754405829461e-05,5.132180053486663e-05,0.00020898254076990872,9.30471985800559e-05,5.540194237840428e-05,0,6.448592955149416e-05,9.27833417306609e-05,0.00012051737332128797,0.000462161257682424,3.2550529820023776e-05,3.925428737530972e-05,0,2.694630212062456e-05,0,0.0001053745250024504,3.2449385198909764e-05,0.00013010903818631207,0.00012180621859011668,0.00018301935986457158,0,0,0.0011832930831744135,0.00020898254076990872,0.00022008679769272902,0.00014921886868900913,8.591884721825765e-05,9.710588509578186e-05,8.244242513884758e-05,9.409781132670247e-05,2.9420228362451622e-05,2.265537725605833e-05,0.00012051737332128797,9.30471985800559e-05,6.028298700264853e-05,6.250548753113594e-05,7.448071834818762e-05,3.858803349023538e-05,4.41754405829461e-05,6.448592955149416e-05,0.00016351362305937368,0.00018078303240814798,8.936148420503668e-05,8.746717905139949e-05,5.806215209666179e-05,7.482634382769198e-05,7.843035212643603e-05,4.9408692663855464e-05,5.022410125448928e-05,0.00014363227701443302,0.00021490088577729965,8.811443006391168e-05,0.00011273544326961268,0.0002608001302975793,0.00020300714962409317,7.32401336143742e-05,0.0009209670312895815,0.00015777323472263304,0.00027060541467023157,0.00015645337159743788,0.00018198284970020196,0.00022551372065725058,0.0004196175995771583,0.0001239443391347612,6.180409940230729e-05,7.635404491900497e-05,5.585238359502476e-05,5.402200855290603e-05,5.1234603030777634e-05,4.895651658771155e-05,7.620069943362882e-05,4.682913857120316e-05,8.984977436377788e-05,0.0003537686452893821,7.386306663529012e-05,6.250548753113594e-05,0.00020898254076990872,9.30471985800559e-05,0.00034252205505545726,4.8022175164184e-05,7.843035212643603e-05,5.33141482638368e-05,8.929451524915908e-05,6.448592955149416e-05,7.52561783144815e-05
