viral,Preys,Caspase 3_score
e,6,0.0006466191572901138
m,30,0.003088451572608741
n,15,0.002635104837495129
spike,2,0.00010118340242434421
nsp1,6,0.0005697084622243698
nsp10,5,0.0006280809260384389
nsp11,1,0.00014915201097595384
nsp12,20,0.0030715114768140434
nsp13,40,0.007695437253983453
nsp14,3,0.00028391985294856046
nsp15,3,0.0004793561485744864
nsp2,7,0.0007733871066945412
nsp4,8,0.000661042549967729
nsp5,1,0.00031765513375299205
nsp5_c145a,2,0.00016981100541039673
nsp6,4,0.00028358281150439146
nsp7,32,0.0037119300828712975
nsp8,24,0.00263365510549376
nsp9,16,0.0015913691778580874
orf10,9,0.0015128199807773347
orf3a,8,0.0006333440056494752
orf3b,1,0.00012661055444569192
orf6,3,0.0003733862140938649
orf7a,2,0.00018572577746233355
orf8,47,0.004066918471978402
orf9b,11,0.001097162400832931
orf9c,26,0.0018790751347483902
